"plantID"	"betaOcimene"	"alphapinene"	"DMNT"	"Hexanol"	"Hexenal"	"Hexen1olE"	"Hexen1olacetateE"	"Undecatrien3592one610dimethyl"	"Hexen1olZ"	"Undecadien2one610dimethyl"	"Aceticacidbutylester"	"Aceticacidphenylmethylester"	"Caryophyllene"	"Caryophylleneoxide"	"DLimonene"	"Petasitene"	"cyperene"	"Hexane234trimethyl"	"alphaFarnesene"	"betaMyrcene"	"deltaCadinene"	"betaElemene"	"Benzylalcohol"	"Linalool"	"betaPinene"	"alfaCopaene"	"alphaTerpineol"	"Indole"	"alphaThujene"	"GermacreneD"	"Methylsalicylate"	"Methylbenzoate"	"Hexen1olZ"	"Ylangene"	"Methylpentanoicacid"	"Octadiene"
"1B655July11_07182018"	0	3.71128	0	0	0.49885	0	1.55332	0	7.89561	0.6672	0	0	1.35551	0	4.1998	0	0	0	0	0	0	0	0.4368	5.21238	3.26954	0	0	0	0	0	3.14025	0	0	0	0	0
"1B657_190726_822019_04_NOT_3C131_190726_822019_03"	0	12.37164	0	0	0	0	0	3.86797	0	0	0.13424	0	4.58788	0	0.86269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1B664_July5_08032018"	0	6.40443	0	0	0	0	0.75741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.5181	0	0	0	0	0	1.17573	0	0	0	0	0
"1B670_190724_812019_12"	0	71.87209	0	0	0	0	0.34623	1.57705	0	0	0	0	4.48556	0	4.31177	1.73986	1.08694	0	0	0	0	0	0.2288	5.32726	0	0	0	0	0	0	2.26851	0	0	0	0.07516	0
"1B678_July5_08032018"	1.65654	7.30726	0	0	0	0	0	0	0	0	0.63546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1B684_190717_7262019_08_NOT_1C47_190717_7262019_07"	2.78025	8.75222	0	0	0	5.1309	0	0	0	0	0	0	1.52947	0	7.0195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.59574	0	0	0	0.20953	0
"1B99_July5_08032018"	0	14.86218	0	0	0.32193	0	0.87531	0	0	0.2774	0	0	0	0	0	0.72073	0	0.81089	0	0	0	0	0	0	0	0	0	0	0	0	1.22454	0	0	0	0	0
"1C43_190717_7262019_14_NOT_Blank2_7262019_13"	0	15.02541	0	0	0	0	1.84425	0	0	1.61628	2.88402	0	11.22207	0	27.78964	0	0	0	0	0	0	0	0	19.09787	0	0	0	0	0	0	7.89917	0	0	0	0	0
"1C47_190717_7262019_07_NOT_Air_190716_7262019_06"	0	9.97031	0	0	0	0	1.23084	0	0	0	3.31208	0	0	0	46.99631	0	0	0	0	0	0	0	0	29.16331	0	0	0	0	0	0	9.86207	0	0	0	0	0
"1C60_July11_08042018"	0	10.57463	0	0	0.31961	0	0	0	0	0.22177	0	0	0.33091	0	0	0.50432	0	0.78522	0	0	0	0	0	0	3.62799	0	0	0	0	0	0.29737	0	0	0	0	0
"1C62_July5_08032018"	0	1.66164	0	0	0	0	0.20864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.51028	0	0.09598	0
"1D19_190724_7282019_16"	2.2459	3.29346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.76955	0	0	0	6.21413	0	0	9.67411	0	6.47875	0	0.44965	0
"1D29_July11_08042018"	0	3.14577	0	0	0	0	0.47926	0	0	0	0	0	0	0	0	0.23345	0	0	0	0	0	0	0.35763	0	0	0	0	0	0	0	0	0	0	0	0	0
"1D29_July24_07252018"	0	6.49302	0.05366	0	0.15471	0	0	0	0.85811	0.37997	0	0.15386	0	0	0	0.16652	0	0	0	0	0	0	0	0.41268	0	0	0	0	0	0	0.27208	0	0	0	0	0
"1D29_July5_08032018"	0	2.8008	0	0	0.06573	0	0.59857	0	0	0.34528	0	0	0.2293	0	0	0	0	0	0	0	0	0	0	2.48121	0	0	0	0	0	0	2.75825	0	0	0	0	0.14663
"1D34_190724_812019_08"	5.46866	121.14424	0	1.27326	0.99422	8.32517	1.09242	0	0	0	0	0	11.73248	1.23677	8.22677	0	1.3695	0	0	5.69942	0	0	0	0	0	0	0	0	0	0	0.69398	0	0	0	0.05041	0
"1D5_190724_7282019_14"	9.04895	561.76017	2.19889	0	0	7.59391	0	0	0	1.00821	0	0	6.39426	0	49.53804	14.44771	0	0	0	36.6287	0	0	0	6.49159	61.96422	0	0	0	1.43632	0	2.54566	0	0	0	0.06154	0
"2A158_190722_7272019_14"	8.92535	328.14467	3.266	0	0	60.81815	10.69838	0	0	0	1.74344	0	219.71511	9.13164	140.73381	0	0	0	0	99.29623	0	0	0	47.90963	0	7.84566	0	0	1.90371	0	7.8125	0	0.08239	0	0	0
"2A166_190724_7282019_13"	8.86693	286.3345	1.8312	1.53549	2.02189	28.93309	10.96638	0	0	0	0	0	71.05639	7.19128	39.05131	36.77064	0	0	0	33.09963	0	0	0	34.56173	0	0.9502	0	0	0	0	4.36835	0	0	0	0.12055	0
"2A171_July11_08042018"	0	12.52561	0	0	0	0	0	0	0	0.78559	0.96604	0.54065	0	0	7.65618	2.06056	0	0	0	0	0	0	0	0	4.16676	0	0	0	0	0	3.37112	0	0	0	0	0
"2A171_July9_08052018"	0	4.17947	0	0	0	0	0.56561	0	0	0	0	0	0	0	0	0.27195	0	1.25624	0	0	0	0	0	0	0	0	0	0	0	0	1.86072	0	0	0	0	0
"2A172_Aug2_08022018"	0	1.8618	0	0	0	0	0	0	0	0	0	0	0.11161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.60002	0	0	0	0	0
"2A172_July5_07282018"	0	4.5995	0	0	0	0	0.61751	0	0	0.49655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.72192	0	0	0	0	0	0	0	0	0	0	0
"2A679_190722_7272019_15"	8.31064	70.77697	0	0	0	0	2.32279	0	0	3.05177	3.04207	0	13.86476	0	40.15281	0	0	0	0	0	0	0	1.80749	43.80722	0	0	0	0	0	0	10.93903	0	0	0	0.20478	0
"2B129_July9_07292018"	0	3.55506	0.28855	0	0	0	0	0	0	0	0.33746	0	1.64643	0	0	1.1989	0	0	0	0	0	0	0	0	4.56296	0	0	0	0	0	0.57709	0	1.41606	0	0	0
"2B177_190729_812019_05"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"2B195_June29_07282018"	0	4.17744	0	0	0.37629	0	0	0	0	0	0.83448	0.60824	0	0	0	0	0	2.80114	0	0	0	0	0	0	0	0	0	0	0	0	5.28904	0	0	0	0	0
"2B199_July9_08012018_2A172_July9_08012018"	0	5.6912	1.5738	0	0	0	0	0	0	0	0	0	0	0	7.20841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.09723	0	0	0	0	0
"2B201_19072_7272019_09"	2.15975	395.46548	0	1.8241	0	9.10568	3.16422	0	0	0	0	0	0	0	17.37454	5.05286	0	0	0	6.04349	0	0	0.21197	8.89936	54.3983	0.81197	0	0	0	0	1.77338	0	0	0	0.0631	0
"2B87_July5_07292018"	0	3.79955	0	0	0.10911	0	0	0	0	0.27076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18385
"2B92_190722_7272019_13"	0	118.88933	0	0	0	0	0.2812	0	0	0	3.2078	0	20.70769	0	119.04992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"2B99_190729_812019_07"	0	50.76564	0	0	0	0	0.75557	0	0	0	0	0	22.85126	0	16.4823	12.79869	0	0	0	8.99655	0	0	0	0	0	0	0	0	0	0	1.07492	0	0	0	0	0
"2C100_July9_07302018"	0	10.19901	1.42743	0	0	0	1.95184	0	13.92528	0	0	0	7.06693	0	10.35747	6.09864	1.6483	1.97623	5.09557	0	0	0.73644	0	0	0	0	0	0	0	0	4.69804	0	0	0	0	0
"2C202_190724_7282019_15"	2.04006	4.34882	0	0	0	4.41052	0	0	0	0	0	0	2.19774	0	12.09079	0.40786	0	0	0	0	0	0	0	21.17826	0	0	0	4.67486	0	0	6.12755	0	0	0	0.22728	0
"2C202_190726_822019_07_NOT_2D212B_190726_822019_06"	15.95086	37.88239	0	0	0	37.2673	27.4688	0	0	0.90505	0.11027	0	4.82721	0	44.13382	9.16506	4.45554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"2C202_190729_812019_11"	0	2.84045	0	0	0	0	0.71673	0	0	0	0	0	1.0907	0	4.15733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.45994	0
"2C258July24_07252018"	0	3.9453	0	0	0	0	0	0	2.43812	0.33635	0	0.08013	0.60344	0	0	2.25353	0	0	0	0	0	0	0.33574	0.79437	0	0	0	0	0	0	0.81459	0	0	0	0	0
"2C265_July11_08042018"	0	3.69947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33162	0	0	0	0	0.09859
"2C266_July5_07302018"	4.37169	4.98228	1.67784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.27765	0	0	0	0	0	5.15039	0	0	0	0	0	0	1.64762	0	0	0	0	0
"2C268_190722_7272019_10"	0	50.60967	0	6.36514	0	0	1.7093	0	0	0	0	0	5.80003	0	8.13773	1.9763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.19266	0	7.68889	0	0.26554	0
"2C268_190729_812019_06"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"2C276_July9_08012018_2B199_July9_08012018"	0	26.13996	0	0	0	0	2.64133	0	35.31819	0.21301	0	0	0.90134	0	4.6853	0.64165	0	0	0	0	0	0	0	0	3.62497	0	0	0	0	0	1.02776	0	0	0	0	0.08324
"2C277_190729_812019_08"	0	267.62211	0	0	0	0	0	0	0	0	0	0	5.16632	0	23.8217	6.96842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"2C288_190729_812019_16"	2.67011	8.74809	0	0	0	5.81093	0.56853	0	0	1.05443	0	0	0.69213	0	5.70077	0	0	0	0	0	0	0	0	10.11574	0	0	0	0	0	0	2.14125	0	0	0	0.28493	0
"2C298_190729_812019_02"	9.20879	210.30251	8.07035	2.26157	0	19.46397	1.08083	0	0	0	0	0	35.95218	2.83549	69.00554	14.1039	0	0	0	49.79297	0	0	0	15.40861	0	1.89019	0	0	0	0	0	0	0	0	0	0
"2C300_190724_7272019_24"	18.93746	293.20997	0	0	0	71.31139	5.38492	0	0	0	0.39291	0	54.53571	0	120.88468	1.55936	0	0	0	108.94604	3.52343	0	0	15.69252	0	5.51672	0	0	0	0	2.30994	0	0	2.36599	0.05166	0
"2C300_190726_822019_11_NOT_2D256_190726_822019_10"	0	0	0	0	0	0	17.27776	0	0	0	0	0	0	0	0	29.53957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"2D189_July11_08042018"	0	5.42291	0	0	0	0	0	0	0	0	0.94482	1.13324	0	0	0	0	0	3.66621	0	0	0	0	0.8539	0	0	0	0	0	0	0	9.36712	0	0	0	0	0
"2D189_July17_08042018"	0	3.11583	0	0	0.45397	0	0.73206	0	3.29746	0.37671	0	0	0	0	0	0	0	0.88668	0	0	0	0	0.40618	0	0	0	0	0	0	0	1.032	0	0	0	0	0.10227
"2D200_July24_07262018"	0	3.5131	0	0	0	0	0	0	0	0.35688	0	0.11865	0.73489	0	0	0	0	0	0	0	0	0	0.12679	0	0	0	0	0	0	0	0	0	0	0	0	0.06224
"2D200_June29_07292018"	0	2.17355	0	0	0.10951	0	0	0	0	0.2788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.03254	0	0	0	0	0	0.65666	0	0	0	0	0
"2D205_190726_822019_09_NOT_2D212A_190726_822019_08"	2.7998	63.26697	0	0.62299	0	2.52005	0.64487	2.6017	0	0	0	0	0	0	11.45398	9.81683	0	0	0	3.67705	0	0	0	4.01992	0	0	0	0	0	0	1.38718	0	0	0	0.1405	0
"2D206_2_Aug2_08022018_2D206_Aug2_08022018"	0	5.30269	0.3291	0	0.21724	0	1.75528	0	3.02304	0	0	0	4.27187	0	4.76473	2.85258	0	0	0	4.53686	0	0	0	1.73478	0	0	0	0	0	0	0.68025	0	0	0	0	0
"2D206_Aug2_08022018_3C163_Aug2_08022018"	0	7.35736	0	0	0	0	0	0	0	0	0	0	0	0	1.22746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.88011	0	0	0
"2D206_July24_07262018"	0	7.12995	0.16635	0	0.24207	0	0	0	2.31218	0.60831	0	0.25036	5.45738	0	4.5121	1.69678	0	0	0	3.62183	0	0	0	0	1.29825	0	0	0	0	0	0	0	0	0	0	0.04026
"2D209_190726_822019_05_NOT_1B657_190726_822019_04"	8.73051	24.37621	0	0	0	19.91482	7.91734	1.61709	0	0	0	0	2.71628	1.49618	24.6373	8.08008	8.50426	0	0	15.3928	0	0	0	5.91003	0	0	0	0	0	0	1.81192	0	0	0	0.41218	0
"2D211_190707_7262019_19_NOT_3C183_190717_7262019_18"	3.27324	74.15259	0	0	0	0	1.13049	0	0	0	2.36368	0	5.49946	0	26.87216	0	0	0	0	20.59307	0	0	0.91817	25.81203	0	0	0	0	0	0	3.9329	0	0	0	0	0
"2D212A_190726_822019_08_NOT_ 2C202_190726_822019_07"	2.63166	27.78932	0	2.53683	0	8.95076	1.36748	1.57927	0	0	0	0	0	0	6.20949	2.87416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18978	0
"2D212B_190726_822019_06_NOT_2D209_190726_822019_05"	0	2.18545	0	0	0	0	0.43901	1.68147	0	0	0	0	0	0	2.59912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"2D212July09_07182018"	0	5.61709	0	0	0.39017	0	0	0	3.64848	0	0.72499	0.24468	0	0	14.35004	0.89136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.18439	0	0	0	0	0
"2D218_July17_08042018"	15.84363	35.38265	0	0	0	0	0	0	4.21298	12.73709	0	0	0	0	0	14.42715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"2D218_July5_07292018"	0	37.29424	0	0	0	0	3.87369	0	13.50203	1.17895	0	0	20.01188	3.3423	13.8536	14.60282	2.94022	0	0	11.06287	0	0	0	3.62269	6.16777	0	0	0	0	0	1.54259	0	0	0	0	0
"2D218July11_07182018"	0	3.20432	0	0	0.35882	0	0	0	5.90227	0.5762	0	0	2.9708	0	6.24014	0.86161	0.16681	0.089	0	0	0	0	0	12.45533	0	0	0	0	0	0	4.72601	0	0	0	0	0
"2D221_190724_7272019_16"	2.19342	26.2461	0	0	0	7.42169	0	0	0	0	0	0	5.28559	0	14.14495	0.9864	0	0	0	5.24381	0	0	0.24918	29.2726	0	0	0	2.96803	1.1884	0	9.81493	0	0	0	0.30577	0
"2D222_190724_7282019_05"	0	9.40548	0	0	0	3.52081	0.43938	0	0	0	0	0	1.29137	0	3.36434	1.82393	0	0	0	0	0	0	0.14586	6.58048	0	0	0	0	0	0	4.065	0	0	0	0.1305	0
"2D256_190726_822019_10_NOT_2D205_190726_822019_09"	4.76937	27.6612	0	0	0	0	5.75274	6.59636	0	0	0	0	0	0	2.14348	4.02664	0	3.85736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"2D257_190722_7272019_12"	6.59227	45.24614	5.6157	0	0	31.41013	1.57694	0	0	2.01839	0	0	10.82285	4.35491	28.51635	15.59589	0	0	0	20.17836	0	0	0	11.31065	0	0	0	0	0	0	3.23719	0	0	0	0	0
"2D258_190724_7282019_06"	4.71148	71.2921	0	2.28161	0	8.43146	0.79184	0	0	0	0	0	22.68119	3.48229	9.87715	0	0	0	0	0	0	0	0	0	0	2.58932	0	0	0	0	1.47098	0.8924	0	0	0.16141	0
"2D258_July6_07282018"	0	2.94058	0	0	0.13172	0	0	0	0	0.37442	0.28531	0	0	0	0	0.2995	0	0	0	9.72438	0	0	0	0	0	0	0	0	0	0	1.01984	0	0	0	0	0.07402
"3A120_190722_7282019_10"	1.8591	27.36782	0	0	0	20.81771	0	2.48079	0	2.68097	0	0	4.26707	0	7.89697	3.79697	0	0	0	5.71074	0	0	0	4.89667	0	0	0	0	0	0	0.97671	0	0	0	0.09854	0
"3A127_July5_08022018_5C205_July6_08022018"	0	3.96793	0	0	0	0	0.95038	0	0	0	0	0	0	0	2.30967	0.46695	0	0.27117	0	0	0	0	0	0	1.5235	0	0	0	0	0	0.95844	0	0	0	0	0
"3A127July09_07182018"	0	4.48626	1.22893	0	0.41304	0	0	0	0	0	0	0.8727	0	0	27.09103	0	0	0	0	0	0	0	0	17.37722	0	0	0	0	0	0	27.56049	0	0	0	0	0
"3A128_Aug2_08022018_Air_Aug2_08022018"	0	1.73197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.94769	0	0	0	0	0	0	0	0	0	0	0	0	0.86597	0	0	0	0	0.00402
"3A128_June29_07292018"	0	5.40365	0	0	0.2471	0	0.40446	0	2.47325	0	0	0	0.12112	0	4.70541	0	0	0	0	2.66683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"3A128_v2_Aug2_08032018"	0	14.89379	0.68476	0	0.83591	0	2.10366	0	21.98699	1.03947	0	0	8.57326	0	9.79068	0	0	0	0	6.23385	0	0	0	6.96734	0	0.9673	0	0	0	0	0	0	0	0	0	0.06136
"3A172_190724_7282019_04"	2.14899	7.88309	0	0	0	0	0	0	0	1.12623	0.41622	0	0	0	9.78544	0	0	0	0	0	0	0	0.56616	7.85799	0	0	0	0	0	0	1.83944	0	0	0	0.13372	0
"3A642_190724_7282019_07"	6.28789	25.27703	0	0	0	0	0	1.68509	0	1.56029	0.38225	0	1.88421	0	11.75167	3.70126	0	0	0	7.81338	0	0	0.35531	0	0	0	0	0	0	0	0	0	0	0	0.11409	0
"3A647_July5_08032018"	0	7.33126	0	0	0.23284	0	0	0	4.05688	1.05444	0	0	4.60449	0	3.92002	2.29527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.38385	0	0	0	0	0
"3A659_190724_812019_11"	3.5898	421.80194	1.21277	0	0	16.70866	4.56991	0	0	15.67783	0.05021	0	71.71446	4.49747	47.90105	18.0349	0	0	0	28.31667	0	0	0	2.56818	57.9154	2.39363	0	0	0.98883	0	0.87692	0	0	0	0	0
"3B601_July24_07262018"	0	4.17882	0	0	0.20499	0	0	0	0	0.44865	0	0.04216	1.02253	0	0	0	0	0	0	0	0	0	0.24863	1.5485	0	0	0	0	0	0	1.21049	0	0	0	0	0.08186
"3B601July09_07182018"	3.05601	6.45247	0	0	0	0	0	0	0	0	0.7666	0.73552	0	0	35.97812	0	0	3.80435	0	0	0	0	0	0	0	0	0	0	0	0	6.32787	0	0	0	0	0
"3B605_190729_812019_15"	0	21.36249	0	0	0	0	0	0	0	1.39178	0	0	0.91631	0	0	0	0	0	0	0	0	0	0	15.03007	0	0	0	0	0	0	3.82244	0	0	0	0.3734	0
"3B686_190724_822019_17_NOT_5B19_190724_822019_16"	1.7831	0	0	0.95104	0	0	0.36053	3.32225	0	0	0	0	0	0	1.72297	0.32472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09976	0
"3B687_190724_812019_14"	2.20766	16.79562	0	0.33558	0	1.33856	0.18337	0	0	0	0	0	1.52245	0	5.94306	2.5164	0	0	0	0	0	0	0	3.20596	0	0.60806	0	0	0	0.25564	1.52859	0	0	0	0	0
"3B823_190729_812019_09"	0	0	0	0	0	0	0	0	0	21.41657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"3B824_July5_08032018"	0	6.89124	0	0	0.56443	0	4.80588	0	4.49195	0	0.52167	0	0	0	0	0	0	0	0	0	0	0	0	0	6.53658	0	0	0	3.41138	0	0	0	0	0	0	0.03206
"3B833_July24_07262018"	0	0.59145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.82096	0	0	0	0	0
"3B833_June28_07282018"	0	1.09503	0.74453	0	0	0	0.53735	0	0	0.43255	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00264	0	0	0	0	0	0	0.44637	0	0	0	0	0
"3C131_190726_822019_03_NOT_Air_190729_822019_02"	13.69415	11.35704	0	0	0	14.05669	4.09731	2.98332	0	0	0	0	8.5453	0	14.26407	8.96997	0	0	0	17.87102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"3C140_190726_822019_10_NOT_5A193_190726_822019_09"	6.67172	5.26638	0	2.62432	0	30.32709	3.55619	0	0	0	0	0	0	0	3.74708	4.71421	0	0	0	0	0	0	0.57517	0	0	0	0	0	0	0	0	0	0	0	0.45094	0
"3C142_190726_822019_13_NOT_3C146_190726_822019_12"	7.13844	0	6.82109	0	0	0	0	0	0	0	0	0	0	0	4.13067	3.37413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.65912	0	0	0	0.28975	0
"3C146_190726_822019_12_NOT_2C300_190726_822019_11"	0	3.09887	0	0	0	0	0	3.55446	0	1.43285	0	0	2.10655	0	0	1.19357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.31922	0	0	0	0.35859	0
"3C147__1_Aug2_July30_08022018"	0	11.66311	0	0	0	0	5.11698	0	8.32369	0.64374	0	0.20365	4.53019	0	5.04741	4.18815	0	0	0	3.76051	0	0	0.24861	2.55744	0	0	0	0	0	0	0	0	0	0	0	0
"3C147_2_Aug2_08022018_3D858_Aug2_08022018"	0	1.67194	0	0	0	0	0	0	0	0	0	0	0	0	2.32597	0	0	0	0	0	0	0	0.20436	0	0	0	0	0	0	0	0	0	0	0	0	0
"3C147_July5_07292018"	0	2.02975	0.14639	0	0.25898	0	0.43249	0	0	0	0	0	0.74386	0	0	0.56067	0	0	0	0	0	0	0	2.10731	0	0	0	0	0	0	0.88909	0	1.51168	0	0	0
"3C147July24_07252018"	0	3.47404	0	0	0	0	0	0	1.79984	0	0	0.34137	0	0	0	1.02254	0	0	0	0	0	0	0	0.69142	0	0	0	0	0	0	0	0	0	0	0	0
"3C148_190726_812019_05"	0	0	0	0	0.70957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"3C149_190724_822019_03"	3.94854	5.44741	0	0.52799	0	1.97219	1.01894	0	0	0.40539	0	0	0	0	3.12992	1.04565	0	0	0	3.06035	0	0	0	1.7319	0	0	0	0	0	0	0.31611	0.33073	0	0	0	0
"3C156_July9_07302018"	0	4.40792	0	0	0.38286	0	0	0	0	0	1.48264	1.0713	2.0255	0	32.715	0	0	3.30475	0	0	0	0	0	0	0	0	0	0	0	0	12.21708	0	0	0	0	0
"3C161__190726_822019_18_NOT_3B686_190724_822019_17"	2.77004	18.51435	0	2.23846	0	0	0.37023	2.78537	0	0	0	0	5.81602	0	5.83719	0	0	0	0	0	0	0	0	0	0	1.54906	0	0	0	0	2.0257	0	0	0	0.31123	0
"3C163_Aug2_08022018_3C147_2_Aug2_08022018"	0	11.98968	0	0	0	0	5.45337	0	10.42849	0	0	0.26893	6.71042	0	7.3126	4.12843	0	0	0	4.09786	0	0	0	2.49478	0	0	0	0	0	0	0	0	0	0	0	0.05167
"3C163_July5_08032018"	0	2.10707	0	0	0.08112	0	0.49695	0	0	0.17116	0	0	0.2011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25386	0	1.31157	0	0	0
"3C167_190722_822019_05"	3.17524	21.10728	1.27395	1.23324	0	9.85132	3.23039	0	0	0	0	0	6.17328	0	18.7182	8.82115	0	0	0	17.60509	0	0	0	5.70351	0	0	0	0	0	0	1.62485	0	0	0	0.07705	0
"3C168_June29_07282018"	0	6.85627	0	0	0.52484	0	5.22915	0	7.23219	0.29043	0	0	1.02965	0	4.09919	0	0.13456	0	0	6.32058	0	0	0.62893	1.45388	0	0	0	0	0	0	1.54167	0	0	0	0	0.10034
"3C171_July5_07302018"	0	5.50894	0.37635	0	0	0	0	0	0	0.41414	0	0	0.34274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.32548	0	2.18963	0	0	0	0	0
"3C171_July9_07282018"	0	4.7743	0	0	0.27373	0	0	0	0	0	0	0	0.89849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.87151	0	0	0	0	0
