vt.n,sampledate,plot,subplot,plant,in.vt,FileName,in.volsmeta
372,2018-07-05,3,C,147,TRUE,3C147_July5_07292018.qgd,TRUE
373,2018-07-05,3,C,163,TRUE,3C163_July5_08032018.qgd,TRUE
374,2018-07-05,3,C,171,TRUE,3C171_July5_07302018.qgd,TRUE
375,2018-07-05,5,C,206,TRUE,5C206_July5_08032018.qgd,TRUE
376,2018-07-05,1,C,266,TRUE,NA,FALSE
378,2018-07-05,1,D,29,TRUE,1D29_July5_08032018.qgd,TRUE
379,2018-07-05,1,D,218,TRUE,NA,FALSE
380,2018-07-05,5,D,232,TRUE,5D232_July5_08032018.qgd,TRUE
381,2018-07-05,5,D,251,TRUE,Air_July6_08022018_5D251_July5_08022018.qgd,TRUE
382,2018-07-05,3,D,853,TRUE,3D853_July5_08032018.qgd,TRUE
383,2018-07-06,4,A,75,TRUE,4A75_July6_07302018.qgd,TRUE
384,2018-07-06,4,A,95,TRUE,4A95_July6_07302018.qgd,TRUE
385,2018-07-06,5,A,189,TRUE,5A189_July6_07302018.qgd,TRUE
386,2018-07-06,5,A,194,TRUE,5A194_July6_07302018.qgd,TRUE
387,2018-07-06,6,B,20,TRUE,6B20_July6_07302018.qgd,TRUE
388,2018-07-06,6,B,34,TRUE,6B34_July6_07302018.qgd,TRUE
389,2018-07-06,5,B,574,TRUE,NA,FALSE
390,2018-07-06,6,B,632,TRUE,6B632_July6_07302018.qgd,TRUE
391,2018-07-06,6,C,109,TRUE,6C109_July6_07302018.qgd,TRUE
392,2018-07-06,4,C,118,TRUE,5C205_July6_08022018_4C_118_July6_08022018.qgd,TRUE
393,2018-07-06,5,C,205,TRUE,3A127_July5_08022018_5C205_July6_08022018.qgd,TRUE
395,2018-07-06,4,D,26,TRUE,4D26_July6_07302018.qgd,TRUE
396,2018-07-06,4,D,35,TRUE,4D35_July6_07302018.qgd,TRUE
397,2018-07-06,5,D,228,TRUE,5D228July06_07182018.qgd,TRUE
398,2018-07-06,5,D,232,TRUE,5D232_July6_07292018.qgd,TRUE
399,2018-07-06,5,D,245,TRUE,5D245_July6_08032018.qgd,TRUE
400,2018-07-06,5,D,258,TRUE,NA,FALSE
401,2018-07-09,6,A,125,TRUE,6A125_July9_08042018.qgd,TRUE
402,2018-07-09,3,A,127,TRUE,3A127July09_07182018.qgd,TRUE
403,2018-07-09,6,A,143,TRUE,6A143_July9_07282018.qgd,TRUE
404,2018-07-09,6,A,167,TRUE,6A167_July9_08052018.qgd,TRUE
405,2018-07-09,2,A,171,TRUE,2A171_July9_08052018.qgd,TRUE
406,2018-07-09,2,A,172,TRUE,2B199_July9_08012018_2A172_July9_08012018.qgd,TRUE
407,2018-07-09,5,A,176,TRUE,5A176_July9_07292018.qgd,TRUE
408,2018-07-09,5,A,180,TRUE,5A180July09_07182018.qgd,TRUE
409,2018-07-09,5,A,182,TRUE,5D251_July5_08022018_5A182_July9_08_02_2018.qgd,TRUE
410,2018-07-09,5,B,15,TRUE,5B15_July9_08052018.qgd,TRUE
411,2018-07-09,5,B,22,TRUE,5B22_July9_08042018.qgd,TRUE
412,2018-07-09,2,B,129,TRUE,2B129_July9_07292018.qgd,TRUE
413,2018-07-09,2,B,199,TRUE,2C276_July9_08012018_2B199_July9_08012018.qgd,TRUE
414,2018-07-09,5,B,292,TRUE,5B292_July9_07292018.qgd,TRUE
415,2018-07-09,3,B,601,TRUE,3B601July09_07182018.qgd,TRUE
416,2018-07-09,2,C,100,TRUE,2C100_July9_07302018.qgd,TRUE
417,2018-07-09,3,C,156,TRUE,3C156_July9_07302018.qgd,TRUE
418,2018-07-09,3,C,171,TRUE,3C171_July9_07282018.qgd,TRUE
418,2018-07-09,3,C,171,TRUE,3C171_July9_v2_07302018.qgd,TRUE
419,2018-07-09,2,C,276,TRUE,6D38_July30_08012018_2C276_July9_08012018.qgd,TRUE
421,2018-07-09,6,D,44,TRUE,NA,FALSE
422,2018-07-09,6,D,51,TRUE,6D51_July9_08042018.qgd,TRUE
423,2018-07-09,2,D,212,TRUE,2D212July09_07182018.qgd,TRUE
424,2018-07-09,2,D,218,TRUE,2D218_July9_07262018.qgd,TRUE
425,2018-07-09,3,D,877,TRUE,NA,FALSE
426,2018-07-09,3,D,879,TRUE,3D879_July9_07282018.qgd,TRUE
427,2018-07-11,4,A,117,TRUE,4A117_July11_08042018.qgd,TRUE
428,2018-07-11,4,A,90,TRUE,4a90July11_07182018.qgd,TRUE
429,2018-07-11,4,B,175,TRUE,4B175_July11_08032018.qgd,TRUE
430,2018-07-11,4,D,45,TRUE,4D45_July11_08032018.qgd,TRUE
431,2018-07-11,1,D,29,TRUE,1D29_July11_08042018.qgd,TRUE
432,2018-07-11,1,C,50,TRUE,NA,FALSE
433,2018-07-11,1,A,253,TRUE,1A253_July11_07292018.qgd,TRUE
434,2018-07-11,1,B,655,TRUE,1B655July11_07182018.qgd,TRUE
435,2018-07-11,2,A,171,TRUE,2A171_July11_08042018.qgd,TRUE
436,2018-07-11,2,D,118,TRUE,NA,FALSE
437,2018-07-11,2,C,265,TRUE,2C265_July11_08042018.qgd,TRUE
439,2018-07-11,2,D,189,TRUE,2D189_July11_08042018.qgd,TRUE
440,2018-07-16,3,D,874,TRUE,3D874_July16_07262018.qgd,TRUE
441,2018-07-16,3,D,858,TRUE,3D858_July16_07262018.qgd,TRUE
441,2018-07-16,3,D,858,TRUE,3D858_July16_07282018.qgd,TRUE
441,2018-07-16,3,D,858,TRUE,3D858_July16v2_07282018.qgd,TRUE
442,2018-07-16,3,C,94,TRUE,3C94July16_07162018.qgd,TRUE
443,2018-07-16,3,C,147,TRUE,3C147_July16_07262018.qgd,TRUE
444,2018-07-16,3,B,601,TRUE,3B601_July16_07262018.qgd,TRUE
445,2018-07-16,5,D,283,TRUE,5D283_July16_07262018.qgd,TRUE
446,2018-07-16,5,A,173,TRUE,5A173_July16_08042018.qgd,TRUE
447,2018-07-16,5,C,221,TRUE,5C221_July16_07262018.qgd,TRUE
448,2018-07-16,5,C,216,TRUE,5C216_July16_07262018.qgd,TRUE
449,2018-07-16,5,B,284,TRUE,5B284_July16_07262018.qgd,TRUE
451,2018-07-16,6,C,82,TRUE,6C82_July16_08042018.qgd,TRUE
452,2018-07-16,6,D,54,TRUE,6D54_July16_07262018.qgd,TRUE
453,2018-07-16,6,C,106,TRUE,6C106_July16_08042018.qgd,TRUE
454,2018-07-16,6,C,271,TRUE,NA,FALSE
455,2018-07-16,6,B,28,TRUE,6B28_July16_08042018.qgd,TRUE
456,2018-07-16,6,D,55,TRUE,6D55_July16_07262018.qgd,TRUE
457,2018-08-02,1,A,232,TRUE,4A63_Aug2_08022018_1A232_1_Aug2_08022018.qgd,TRUE
457,2018-08-02,1,A,232,TRUE,4A63_Aug2_08022018_1A232_1_Aug2_08022018.qgd,TRUE
457,2018-08-02,1,A,232,TRUE,1A232_1_Aug2_08022018_1A232_2_Aug2_08022018.qgd,TRUE
457,2018-08-02,1,A,232,TRUE,1A232_1_Aug2_08022018_1A232_2_Aug2_08022018.qgd,TRUE
458,2018-08-02,1,A,232,TRUE,4A63_Aug2_08022018_1A232_1_Aug2_08022018.qgd,TRUE
458,2018-08-02,1,A,232,TRUE,4A63_Aug2_08022018_1A232_1_Aug2_08022018.qgd,TRUE
458,2018-08-02,1,A,232,TRUE,1A232_1_Aug2_08022018_1A232_2_Aug2_08022018.qgd,TRUE
458,2018-08-02,1,A,232,TRUE,1A232_1_Aug2_08022018_1A232_2_Aug2_08022018.qgd,TRUE
459,2018-08-02,2,D,206,TRUE,1A232_2_Aug2_08022018_2D206_2_Aug2_08022018.qgd,TRUE
459,2018-08-02,2,D,206,TRUE,1A232_2_Aug2_08022018_2D206_2_Aug2_08022018.qgd,TRUE
459,2018-08-02,2,D,206,TRUE,2D206_2_Aug2_08022018_2D206_Aug2_08022018.qgd,TRUE
459,2018-08-02,2,D,206,TRUE,2D206_2_Aug2_08022018_2D206_Aug2_08022018.qgd,TRUE
460,2018-08-02,2,D,206,TRUE,1A232_2_Aug2_08022018_2D206_2_Aug2_08022018.qgd,TRUE
460,2018-08-02,2,D,206,TRUE,1A232_2_Aug2_08022018_2D206_2_Aug2_08022018.qgd,TRUE
460,2018-08-02,2,D,206,TRUE,2D206_2_Aug2_08022018_2D206_Aug2_08022018.qgd,TRUE
460,2018-08-02,2,D,206,TRUE,2D206_2_Aug2_08022018_2D206_Aug2_08022018.qgd,TRUE
461,2018-08-02,3,C,163,TRUE,2D206_Aug2_08022018_3C163_Aug2_08022018.qgd,TRUE
462,2018-08-02,3,C,147,TRUE,3C147__1_Aug2_July30_08022018.qgd,TRUE
462,2018-08-02,3,C,147,TRUE,3C147__1_Aug2_July30_08022018.qgd,TRUE
462,2018-08-02,3,C,147,TRUE,3C163_Aug2_08022018_3C147_2_Aug2_08022018.qgd,TRUE
462,2018-08-02,3,C,147,TRUE,3C163_Aug2_08022018_3C147_2_Aug2_08022018.qgd,TRUE
463,2018-08-02,3,C,147,TRUE,3C147__1_Aug2_July30_08022018.qgd,TRUE
463,2018-08-02,3,C,147,TRUE,3C147__1_Aug2_July30_08022018.qgd,TRUE
463,2018-08-02,3,C,147,TRUE,3C163_Aug2_08022018_3C147_2_Aug2_08022018.qgd,TRUE
463,2018-08-02,3,C,147,TRUE,3C163_Aug2_08022018_3C147_2_Aug2_08022018.qgd,TRUE
464,2018-08-02,3,D,858,TRUE,3C147_2_Aug2_08022018_3D858_Aug2_08022018.qgd,TRUE
465,2018-08-02,2,A,172,TRUE,2A172_Aug2_08022018.qgd,TRUE
466,2018-08-02,3,A,128,TRUE,3A128_v2_Aug2_08032018.qgd,TRUE
468,2018-08-02,4,A,63,TRUE,Air_Aug2_08022018_4A63_Aug2_08022018.qgd,TRUE
469,2018-07-17,4,A,76,TRUE,4A76_July17_07262018.qgd,TRUE
470,2018-07-17,4,D,45,TRUE,4D45_July17_08042018.qgd,TRUE
471,2018-07-17,2,D,189,TRUE,2D189_July17_08042018.qgd,TRUE
472,2018-07-17,2,D,218,TRUE,2D218_July17_08042018.qgd,TRUE
472,2018-07-17,2,D,218,TRUE,2D218_July17_08042018.qgd,TRUE
473,2018-07-17,2,D,212,TRUE,2D212_July17_07262018.qgd,TRUE
474,2018-07-17,2,C,100,TRUE,2C100_July17_07262018.qgd,TRUE
475,2018-07-24,5,C,216,TRUE,5C216July24_07252018.qgd,TRUE
476,2018-07-24,5,C,221,TRUE,NA,FALSE
478,2018-07-24,3,B,833,TRUE,3B833_July24_07262018.qgd,TRUE
479,2018-07-24,3,B,601,TRUE,3B601_July24_07262018.qgd,TRUE
480,2018-07-24,3,C,98,TRUE,3C98July24_07252018.qgd,TRUE
481,2018-07-24,3,C,147,TRUE,3C147July24_07252018.qgd,TRUE
483,2018-07-24,1,A,253,TRUE,1A253July24_07252018.qgd,TRUE
484,2018-07-24,1,D,29,TRUE,1D29_July24_07252018.qgd,TRUE
485,2018-07-24,2,D,200,TRUE,2D200_July24_07262018.qgd,TRUE
486,2018-07-24,2,D,206,TRUE,2D206_July24_07262018.qgd,TRUE
487,2018-07-24,2,C,258,TRUE,2C258July24_07252018.qgd,TRUE
NA,2018-07-11,2,D,218,FALSE,2D218July11_07182018.qgd,TRUE
NA,2018-07-19,3,D,877,FALSE,3D877_July19_07262018.qgd,TRUE
NA,2018-07-27,5,D,245,FALSE,5D245_July27_07262018.qgd,TRUE
NA,2018-06-22,3,D,844,FALSE,3D844_June22_07262018_5D231_June27.qgd,TRUE
NA,2018-06-27,5,C,205,FALSE,5C205_June27_07262018_5A181_June25.qgd,TRUE
NA,2018-06-28,3,B,833,FALSE,3B833_June28_07282018.qgd,TRUE
NA,2018-07-03,5,C,103,FALSE,5C103_July3_07282018.qgd,TRUE
NA,2018-07-05,2,A,172,FALSE,2A172_July5_07282018.qgd,TRUE
NA,2018-07-06,2,D,258,FALSE,2D258_July6_07282018.qgd,TRUE
NA,2018-07-05,2,B,87,FALSE,2B87_July5_07292018.qgd,TRUE
NA,2018-06-29,2,D,200,FALSE,2D200_June29_07292018.qgd,TRUE
NA,2018-07-05,2,D,218,FALSE,2D218_July5_07292018.qgd,TRUE
NA,2018-06-28,4,D,45,FALSE,4D45_June28_07302018.qgd,TRUE
NA,2018-07-05,6,D,66,FALSE,6D66_July5_07302018.qgd,TRUE
NA,2018-07-05,2,C,266,FALSE,2C266_July5_07302018.qgd,TRUE
NA,2018-07-03,6,D,258,FALSE,6D258_3_July3_07302018.qgd,TRUE
NA,2018-07-30,6,A,160,FALSE,6A160_July30_08012018.qgd,TRUE
NA,2018-07-30,5,A,173,FALSE,5A173_2_July30_08012018.qgd,TRUE
NA,2018-07-30,6,D,45,FALSE,5A175_July30_08012018_6D45_08012018.qgd,TRUE
NA,2018-07-30,5,A,173,FALSE,6D45_July30_08012018_5A173_July30_08012018.qgd,TRUE
NA,2018-07-30,6,B,25,FALSE,5A173_July30_08012018_6B25_July30_08012018.qgd,TRUE
NA,2018-07-30,5,A,181,FALSE,6B25_July30_08012018_5A181_July30_08012018.qgd,TRUE
NA,2018-07-30,6,C,102,FALSE,5A181_July30_08012018_6C102_1_July30_08012018.qgd,TRUE
NA,2018-07-30,5,C,221,FALSE,6C102_1_July30_08012018_5C221_July30_08012018.qgd,TRUE
NA,2018-07-30,6,C,82,FALSE,5C221_July30_08012018_6C82_July30_08012018.qgd,TRUE
NA,2018-07-30,5,C,216,FALSE,6C82_July30_08012018_5C216_July30_08012018.qgd,TRUE
NA,2018-07-30,6,C,87,FALSE,Air_July30_08012018_6C87_July30_08012018.qgd,TRUE
NA,2018-07-30,6,B,34,FALSE,6C87_July30_08012018_6B34_July30_08012018.qgd,TRUE
NA,2018-07-30,6,C,102,FALSE,6B34_July30_08012018_6C102_July30_08012018.qgd,TRUE
NA,2018-07-30,6,D,38,FALSE,6C102_July30_08012018_6D38_July30_08012018.qgd,TRUE
NA,2018-07-30,5,A,175,FALSE,5A175_v3_July30_08032018.qgd,TRUE
NA,2018-07-06,5,B,15,FALSE,5B15_July6_08032018.qgd,TRUE
NA,2018-07-09,6,D,167,FALSE,6D167_July9_08042018.qgd,TRUE
NA,2018-07-11,1,C,60,FALSE,1C60_July11_08042018.qgd,TRUE
NA,2019-07-17,1,C,47,FALSE,Air_190716_7262019_06.qgd,TRUE
NA,2019-07-17,1,B,684,FALSE,1C47_190717_7262019_07.qgd,TRUE
NA,2019-07-16,3,D,282,FALSE,4D61_190716_7262019_10.qgd,TRUE
NA,2019-07-17,1,C,43,FALSE,Blank2_7262019_13.qgd,TRUE
NA,2019-07-17,3,C,183,FALSE,4C109_190716_7262019_17.qgd,TRUE
NA,2019-07-07,2,D,211,FALSE,3C183_190717_7262019_18.qgd,TRUE
NA,2019-07-17,4,D,199,FALSE,2D211_190707_7262019_19.qgd,TRUE
NA,2019-07-22,4,D,357,FALSE,Air_190717_7262019_21.qgd,TRUE
NA,2019-07-17,6,C,83,FALSE,4D357_190722_7262019_22.qgd,TRUE
NA,2019-07-17,6,D,40,FALSE,6D40_190717_7272019_03.qgd,TRUE
NA,2019-07-17,6,A,156,FALSE,6A156_190717_7272019_04.qgd,TRUE
NA,2019-07-17,6,B,29,FALSE,6B29_190717_7272019_05.qgd,TRUE
NA,2019-07-17,5,C,214,FALSE,5C214_190717_7272019_06.qgd,TRUE
NA,2019-07-17,5,D,264,FALSE,5D264_190717_7272019_07.qgd,TRUE
NA,2019-07-17,5,B,1,FALSE,5B1_190717_7272019_08.qgd,TRUE
NA,2019-07-02,2,B,201,FALSE,2B201_19072_7272019_09.qgd,TRUE
NA,2019-07-22,5,C,214,FALSE,5C214_190722_7272019_23.qgd,TRUE
NA,2019-07-17,4,A,68,FALSE,4A68_190717_7272019_26.qgd,TRUE
NA,2019-07-24,3,A,172,FALSE,3A172_190724_7282019_04.qgd,TRUE
NA,2019-07-24,4,D,641,FALSE,4D641_190724_7282019_21.qgd,TRUE
NA,2019-07-24,5,C,151,FALSE,5C151_190724_822019_02.qgd,TRUE
NA,2019-07-22,3,C,167,FALSE,3C167_190722_822019_05.qgd,TRUE
NA,2019-07-26,2,D,212B,FALSE,2D209_190726_822019_05.qgd,TRUE
NA,2019-07-26,2,D,212A,FALSE,2C202_190726_822019_07.qgd,TRUE
NA,2019-08-05,2,D,288,FALSE,2D288_190805_8132019_05.qgd,TRUE
NA,2020-07-01,4,B,576,FALSE,4B576_200701_752021_10.qgd,TRUE
NA,2020-07-08,3,B,851,FALSE,3B851_200708_762021_24.qgd,TRUE
NA,2020-07-15,6,C,99,FALSE,6C99_200715_772021_05.qgd,TRUE
NA,2020-07-15,6,C,96,FALSE,6C96_200715_772021_06.qgd,TRUE
NA,2020-07-15,6,A,169,FALSE,6A169_200715_772021_07.qgd,TRUE
NA,2020-07-15,6,B,243,FALSE,6B243_200715_772021_08.qgd,TRUE
NA,2020-07-15,6,B,21,FALSE,6B21_200715_772021_09.qgd,TRUE
NA,2020-07-15,6,B,120,FALSE,6B120_200715_772021_10.qgd,TRUE
NA,2020-07-15,6,A,136,FALSE,6A136_200715_772021_11.qgd,TRUE
NA,2020-07-15,6,A,685,FALSE,6A685_200715_772021_12.qgd,TRUE
NA,2020-07-15,6,A,165,FALSE,6A165_200715_772021_13.qgd,TRUE
NA,2020-06-08,2,A,674,FALSE,2A674_200608_772021_16.qgd,TRUE
NA,2020-06-08,2,D,214,FALSE,2D214_200608_772021_17.qgd,TRUE
NA,2020-06-08,2,B,145,FALSE,2B145_200608_772021_18.qgd,TRUE
NA,2020-06-08,2,D,204,FALSE,2D204_200608_772021_19.qgd,TRUE
NA,2020-06-08,2,D,187,FALSE,2D187_200608_772021_20.qgd,TRUE
NA,2020-06-08,2,C,270,FALSE,2C270_200608_772021_22.qgd,TRUE
NA,2020-06-08,2,C,277,FALSE,2C277_200608_772021_23.qgd,TRUE
NA,2020-06-08,2,A,94,FALSE,2A94_200608_772021_24.qgd,TRUE
NA,2019-07-08,1,C,64,FALSE,1C64_100708_782021_33.qgd,TRUE
NA,2020-07-22,1,B,650B,FALSE,1B650B_200722_7112021_07.qgd,TRUE
NA,2020-07-22,2,D,219,FALSE,2D219_200722_7112021_33.qgd,TRUE
NA,2020-07-22,2,D,220,FALSE,2D220_200722_7112021_34.qgd,TRUE
NA,2020-07-22,2,D,194,FALSE,2D194_200722_7112021_35.qgd,TRUE
NA,2020-07-22,2,D,207,FALSE,2D207_200722_7112021_36.qgd,TRUE
NA,2020-07-22,1,B,650A,FALSE,1B650A_200722_redo_7122021_03.qgd,TRUE
