index	diff	note	RI_2022	RI_pubchem	RI_diff	shortname	name	target_ion	RT	ref_ions	registered
32	0.00	delete-dupe	1004		1004	(2E)-2,7-dimethylocta-2,6-dien-1-ol  	2,6-Octadien-1-ol, 2,7-dimethyl-	41	8.18	69.00-93.00\r\n85.22-80.96\r\n0-0	Registered\r\n10038-10249-10746-10783-11183-11270-11524-12803-13064-13316-13591-13827-14157-14405-14658-14935-15119-16131-16651-16900-17182-17423-17877-17985-18197-18436-19742-19973-20256-20500-20753-21001-21281-21538-21780-23346-23577-24011-24085-24843-25092-26885-27400-28422-28676-28933-30987-32775-34824-35331
39	0.24	terpene A	1018		1018	tricyclo[5.2.1.02,6]dec-2-ene	4,7-Methano-1H-indene, 2,4,5,6,7,7a-hexahydro-	91	8.42	93.00-119.00-134.00\r\n68.03-57.42-35.33\r\n0-0-0	Registered\r\n9732-10025-10246-10544-11062-12807-13080-13320-13586-13829-14099-14342-16137-16387-16674-16901-17217-17670-19458-19817-19991-20266-20491-20741-21024-22789-23546-23656-23978-24077-24836-26115-26375-26632-26930-27157-27395-27651-27907-29454-29700-29980-30213-30608-30735-34052-34392-34571-34845-35075
26	0.01		1018		1018	[(E)-hex-3-enyl] acetate	3-Hexen-1-ol, acetate, (E)-	67	8.43	43.00-82.00\r\n93.39-56.37\r\n0-0	Registered\r\n9729-10006-10244-10533-10760-11242-11268-12801-13059-13314-13578-13844-14098-14337-14594-14849-15617-16129-16646-16899-17402-17423-17670-17921-18177-18694-19714-19969-20229-20481-20752-21133-21259-21761-23297-23553-23811-24065-24834-25858-27905-29185-30465-34817
45	0.12		1025		1025	3-carene	3-Carene	93	8.55	91.00-79.00\r\n51.16-32.05\r\n0-0	Registered\r\n10015-10244-10544-10756-11057-12803-13068-13317-13586-14118-14341-14614-14859-16133-16659-16900-17178-17414-17671-17929-18197-19789-19982-20304-20534-20746-21257-21523-21770-23424-23628-24058-24093-24327-24840-26379-26628-26984-27150-27412-27654-27907-28933-29444-30472-31026-31236-34318-34859-35077
34	0.30		1042		1042	D-limonene	D-Limonene	68	8.85	93.00-67.00\r\n86.28-72.27\r\n0-0	Registered\r\n9473-9730-10023-10254-10523-10756-12803-13067-13318-13616-13828-14084-15873-16132-16385-16658-16903-17333-17658-17678-19457-19756-19977-20305-20514-20760-20997-23355-23621-24024-24157-24343-24577-26113-26372-26625-26895-27141-27450-27661-27905-29442-29697-29953-30466-30721-31033-31238-34879-35079
5	0.13		1049		1049	(Z)-b-ocimene	trans-.beta.-Ocimene	93	8.97	91.00-92.00\r\n28.00-35.00\r\n0-0	Registered\r\n9730-10016-10250-10542-10755-11025-11266-12803-13067-13317-13596-13827-14101-15873-16132-16385-16656-16901-17177-17416-19201-19781-19977-20304-20515-20748-20994-21251-21509-23401-23652-24058-24089-24322-26114-26374-26626-26922-27146-27404-27906-29442-29954-30472-30722-31001-31234-32257-33282-34820
6	0.18		1059		1059	(E)-b-ocimene	.beta.-Ocimene	93	9.15	91.00-80.00\r\n45.00-43.00\r\n0-0	Registered\r\n9730-10023-10247-10554-10756-11036-11265-12804-13069-13319-13601-13828-14107-14338-14850-15873-16133-16385-16659-16902-17183-17417-17670-19791-19980-20327-20583-20756-20994-22785-23409-23616-24058-24094-24324-26376-26626-26931-27148-27412-27651-27905-29442-29954-30473-30722-31017-31236-34835-35074
7	0.22		1072		1072	g-terpinene	.gamma.-Terpinene	93	9.37	91.00-136.00\r\n46.00-39.00\r\n0-0	Registered\r\n10004-10514-11153-11284-13068-13579-14098-14862-16669-18200-18956-19809-19990-20267-20495-22791-23446-23626-24058-24101-25102-25485-25606-26402-26920-27153-27420-27655-28681-29458-29706-30545-30728-31043-31244-34323-34571-34928-35082-36613-36870-38669-42246-57604-64778-65029-0-18438-19460-20484-22028
52	0.26	terpene B	1087		1087	3-ethenyl-1,2-dimethylcyclohexa-1,4-diene	1,4-Cyclohexadiene, 3-ethenyl-1,2-dimethyl-	91	9.63	119.00-134.00\r\n87.03-45.11\r\n0-0	\r\n
8	0.34		1106		1106	methyl benzoate	Benzoic acid, methyl ester	105	9.97	77.00-136.00\r\n54.00-33.00\r\n0-0	Registered\r\n9729-10247-11780-12820-13111-13314-13827-15621-16133-16386-17154-18945-19465-19844-19979-20998-22274-23300-23563-27130-27161-27396-27651-30211-30722-31490-33793-34572-34897-35075-35330-36098-36609-36865-38407-40706-40962-41474-42498-48386-53251-53506-60931-63746-64771-0-6658-15362-18946-21505-23042
9	0.03		1108		1108	linalool	Linalool	71	10.00	93.00-55.00\r\n77.00-53.00\r\n0-0	Registered\r\n9730-10018-10250-10646-10759-11103-11522-13314-13602-13828-14259-14357-15117-15620-16649-16898-17217-17451-17798-18426-18451-19970-20260-20586-20772-21008-21299-22019-23326-23599-24040-24096-24331-24604-24840-26373-27138-27417-27655-27928-28164-28430-30466-31047-31238-31489-34826-35074-35587-39425
10	0.25		1123		1123	(3E)-4,8-dimethylnona-1,3,7-triene	(E)-4,8-Dimethylnona-1,3,7-triene	69	10.25	41.00-81.00\r\n44.00-13.00\r\n0-0	Registered\r\n9731-10013-10247-10624-10766-11033-11271-11523-12803-13064-13320-13598-13828-14093-14341-14612-16131-16654-16901-17175-17424-17914-17949-18194-19722-19972-20254-20484-20771-21011-21251-21768-22531-23333-23574-23817-24076-24324-24586-24841-25104-27413-27654-30986-31253-31491-32266-32515-34577-38419
40	0.07	terpene C	1127		1127	cosmene	2,6-Dimethyl-1,3,5,7-octatetraene, E,E-	91	10.32	119.00-134.00\r\n79.74-49.97\r\n0-0	Registered\r\n9475-9732-10031-10559-12809-13084-13323-13593-14116-14598-14853-15120-15876-16145-16402-16678-16904-17156-18977-19206-19796-20001-20287-20486-22019-22290-22788-23546-23617-23843-24070-25097-25862-26118-26394-26638-26925-27157-27404-28426-29463-29700-29997-30663-30743-32515-34055-34429-34575-34827
41	0.11		1133		1133	(4E,6Z)-alloocimene	2,4,6-Octatriene, 2,6-dimethyl-, (E,Z)-	121	10.43	105.00-136.00\r\n44.07-41.16\r\n0-0	Registered\r\n9473-9729-10006-10241-10524-12802-13065-13317-13585-13826-14087-14849-15105-16131-16650-16900-17163-17414-17666-19201-19756-19976-20302-20487-20741-22273-23345-23862-24073-24321-26113-26378-26625-26990-27155-27406-27650-29185-29441-30467-30723-31226-31257-31490-33025-34561-34919-35082-35329-0-21505
38	0.04	terpene D	1135		1135	p-mentha-1,3,8-triene	1,3,8-p-Menthatriene	119	10.47	91.00-134.00\r\n99.44-64.47\r\n0-0	Registered\r\n9732-10032-10248-10559-11025-12807-13082-13323-13592-14122-14600-14854-15876-16140-16389-16680-16906-17159-17670-17923-18179-18693-19794-19997-20281-20496-20741-20995-21251-22789-23545-23609-23834-24069-26115-26391-26640-26912-27156-27402-29463-29702-30004-30216-30714-30744-34056-34465-34576-0-22019
11	0.18		1145		1145	2-methylbenzonitrile	Benzonitrile, 2-methyl-	117	10.64	90.00-116.00\r\n59.00-40.00\r\n0-0	Registered\r\n9476-9734-10009-10245-10507-12546-12816-13086-13317-13571-13827-14091-14344-14850-15361-15621-15883-16156-16394-16652-16898-17677-18690-18950-19204-19460-19728-19971-20226-20737-21269-21587-21767-22018-22276-22533-22851-23176-23318-23554-24841-25091-28418-29443-29795-30202-30230-30466-35848-38657
27	0.03		1147		1147	[(E)-hex-3-enyl] butanoate	Butanoic acid, 3-hexenyl ester, (E)-	67	10.67	82.00-43.00\r\n69.26-59.21\r\n0-0	Registered\r\n10013-10246-10572-10755-11156-12803-13062-13315-13584-13839-14132-14346-14609-15108-15363-15619-16131-16645-16900-17402-17426-17688-17928-18287-18436-18702-19718-19972-20250-20483-20766-21165-21268-21511-21765-22276-22544-22793-23052-23299-23822-24084-24326-24845-25097-27664-28427-29706-29967-0-22021
28	0.66		1187		1187	[(Z)-hex-3-enyl] butanoate	Butanoic acid, 3-hexenyl ester, (Z)-	67	11.33	43.00-82.00\r\n79.51-73.16\r\n0-0	Registered\r\n9998-10243-10532-11207-11269-13569-13836-14089-14341-14861-15108-16130-16385-16646-16900-17402-17419-17926-18294-18433-19201-20744-21175-21771-22531-22787-23041-23301-25601-25857-27650-28161-29186-29955-30466-30721-32523-32773-33539-34597-35585-38408-38657-43265-0-3076-3329-3585-6145-6913-10241
53	0.05		1190		1190	decan-2-one	2-Decanone	58	11.38	43.00-71.00\r\n75.12-33.61\r\n0-0	\r\n
29	0.11		1197		1197	a-terpineol	L-.alpha.-Terpineol	59	11.49	93.00-121.00\r\n62.51-51.59\r\n0-0	Registered\r\n9998-10244-10510-11045-11523-12803-13063-13316-13583-13834-14101-15354-15367-15620-15874-16648-16900-17197-17433-19737-19973-20252-20495-20825-20995-22539-23319-23603-23964-24082-24354-24585-25859-26370-26626-26895-27138-27411-27660-27909-31105-31249-31502-32516-33026-34923-35084-35340-35602-35842
35	0.05		1200		1200	methyl salicylate	Methyl salicylate	120	11.55	152.00-92.00\r\n49.17-48.26\r\n0-0	Registered\r\n9475-9736-10017-10241-11521-11777-12545-12803-13059-13314-13579-13825-14081-15105-15361-15618-15878-16150-16413-16682-16901-17153-18946-19202-19460-19714-20225-20481-20738-23298-23673-23840-24066-24321-27649-27905-30465-30970-31044-31238-31489-35073-38657-39035-39179-39425
12	0.04		1203		1203	a-campholenal	.alpha.-Campholenal	108	11.59	95.00-93.00\r\n65.00-30.00\r\n0-0	Registered\r\n9991-10257-10528-10758-12805-13065-13579-13827-14128-14344-15108-17196-17431-17718-17944-18691-19722-19972-20240-20487-20758-20996-21255-22275-23311-23870-24071-24471-24590-24840-26888-27898-27960-28185-28438-29443-29699-29963-30473-31237-31747-32004-34065-35086-37637-37906-38924-39173-56579-0-7172
13	0.01	contam	1203		1203		Decanal	57	11.60	43.00-41.00\r\n82.00-73.00\r\n0-0	Registered\r\n10024-10243-10679-10813-11200-11372-11555-11777-13058-13581-13863-14248-14445-14842-14865-15106-16643-16914-17245-17521-17748-18055-18297-18458-18690-20229-20484-20818-21121-21338-21556-21775-22021-24066-24381-24635-24850-25090-25352-25604-27932-28207-28419-28745-28938-31490-32513-32783-33025-35333
50	0.20		1216		1216	verbenone	Bicyclo[3.1.1]hept-3-en-2-one, 4,6,6-trimethyl-, (1S)-	107	11.80	91.00-135.00\r\n60.01-54.12\r\n0-0	Registered\r\n10041-10557-10761-11075-11539-13076-13319-13595-13836-14128-14359-14602-16135-16669-16905-17184-17674-17942-18207-19746-20292-20585-21018-21537-21788-22792-23446-23574-23828-24346-24589-25095-25356-26912-27144-27642-27726-27947-29449-29962-30475-30747-30994-31287-31497-31752-34695-34826-38486-38663
47	0.20		1228		1228	[(Z)-hex-3-enyl] 2-methylbutanoate	cis-3-Hexenyl-.alpha.-methylbutyrate	57	12.00	67.00-82.00\r\n94.98-91.89\r\n0-0	Registered\r\n9993-10243-10553-10759-11047-12034-13572-13834-14112-14351-14842-14854-17390-17419-18190-20231-20741-21222-21276-21851-22022-22787-24073-24858-25093-25602-26376-26636-28532-28709-28934-29187-29443-29962-30466-31750-32019-32514-35587-35859-36100-37380-38148-38914-39172-39682-41987-43266-43526-46338
54	0.14		1237		1237	geranial	2,6-Octadienal, 3,7-dimethyl-, (E)-	41	12.14	69.00-94.00\r\n94.06-30.87\r\n0-0	\r\n
55	0.01	needs shortname	1238		1238		1,2,3-Propanetriol, 1-acetate	43	12.16	103.00-86.00\r\n19.63-11.08\r\n0-0	\r\n
14	0.19	contam	1250		1250		Caprolactam	55	12.34	113.00-56.00\r\n94.00-86.00\r\n0-0	Registered\r\n9473-9732-10033-10252-10596-10863-11042-11276-11521-11777-12545-12802-13060-13315-13578-13834-14330-14545-14614-14851-15106-15873-16129-16643-16898-17187-17423-17674-17924-18434-20481-20737-20994-21268-21618-21903-22023-23809-24065-24321-24578-25092-28680-29159-29200-29441
48	0.11		1257		1257	2-butyloctan-1-ol	1-Octanol, 2-butyl-	57	12.45	43.00-85.00\r\n92.07-70.05\r\n0-0	Registered\r\n10028-10248-10633-10787-11238-11272-13585-13846-14230-14423-14842-14858-16645-16902-17184-17440-17741-18066-18295-18451-19718-20244-20490-20772-21012-21327-21563-21935-22044-23822-24077-24337-24587-24871-25128-25380-25605-27410-27654-28184-28434-28684-28942-30986-32520-34567-34825-35845-36113-39693
15	0.03	contam	1258		1258		Nonanoic acid	60	12.47	73.00-57.00\r\n81.00-64.00\r\n0-0	Registered\r\n10009-10245-10589-10783-11086-11269-11541-13057-13574-13831-14186-14385-14757-14858-15115-15610-15650-15874-17160-17414-17707-17938-18180-18892-18962-19202-19714-20742-21264-21522-22308-22531-23298-23810-24588-24840-25127-25352-25879-26114-26881-28417-28950-29519-29702-31234-33088-33286-40454-64769
16	0.53		1293		1293	indole	Indole	117	13.00	90.00-89.00\r\n44.00-29.00\r\n0-0	Registered\r\n9474-9732-10000-10507-10755-11015-11521-12804-13062-13315-13572-13830-14089-14341-14607-14870-15620-15882-16156-16392-16643-16898-17173-17412-17667-18180-19202-20227-20482-20741-20997-21264-21586-21773-22019-22274-22531-22852-23146-23306-23810-24323-27906-29186-29715-30202-30231-30465-31490-38916
56	0.49	needs shortname	1327		1327		Benzamide	105	13.49	77.00-121.00\r\n95.52-81.54\r\n0-0	\r\n
57	0.54	no ipochem	1365		1365	#N/A	Benzenebutanoic acid, .gamma.-oxo-	105	14.03	77.00-51.00\r\n43.83-16.33\r\n0-0	\r\n
17	0.18		1379		1379	a-copaene	.alfa.-Copaene	119	14.21	161.00-105.00\r\n76.00-96.00\r\n0-0	Registered\r\n9991-10267-13581-15366-15622-16138-16657-18696-19744-19980-20262-20796-23370-23620-23903-24091-24328-25862-26374-26629-27118-27171-27422-27656-29451-29701-29970-30220-30714-30776-31006-32776-33038-33542-34083-34324-34568-34837-36870-37127-37643-40966-41461-41507-48400-52282-52491-64532-65030-0-18438
18	0.31		1402		1402	petasitene	Petasitene	137	14.52	95.00-121.00\r\n28.00-29.00\r\n0-0	Registered\r\n9991-10242-10515-11017-13058-13575-14089-14613-16647-16898-17169-17669-19727-19971-20241-20482-20761-23319-23555-23821-24069-24391-24581-26372-26903-27140-27406-27650-27913-29444-29956-30480-30724-31045-31241-32770-33026-33538-34054-34567-34856-35322-35356-35586-37638-41225-41475-48403-48643-52233
30	0.15		1413		1413	cis-a-bergamotene	cis-.alpha.-Bergamotene	119	14.67	93.00-69.00\r\n89.18-36.98\r\n0-0	Registered\r\n10004-10581-10757-11027-13061-13588-14138-14360-14603-16652-17178-17413-17757-17932-19762-19977-20282-20499-20758-21000-21253-23376-23588-24031-24096-24338-26372-26949-27150-27470-27660-27932-28164-29957-30212-30714-30761-30997-31240-31495-34066-34313-34568-37640-37895-38151-41237-41476-48393-52229
20	0.15		1425		1425	b-caryophyllene	Caryophyllene	93	14.82	69.00-133.00\r\n87.00-85.00\r\n0-0	Registered\r\n10033-10252-10675-11033-13067-13322-13624-14177-14615-16676-17251-17428-17886-17934-19796-19990-20387-20526-20832-21020-23497-23616-24058-24120-24375-26379-27041-27226-27518-27681-27959-29966-30563-30830-31048-31254-31500-34264-34361-34589-34832-37701-37949-38163-41291-41492-44823-45070-48428-52243
21	0.29		1447		1447	trans-b-bergamotene	(1S,5S,6R)-6-Methyl-2-methylene-6-(4-methylpent-3-en-1-yl)bicyclo[3.1.1]heptane	69	15.11	41.00-93.00\r\n65.00-55.00\r\n0-0	Registered\r\n10006-10246-10635-10758-11017-13060-13593-14126-14340-14606-15363-16653-16900-17203-17423-17914-17934-18187-18692-19737-19972-20277-20488-20780-21009-21252-23339-23573-23945-24082-24334-26902-27144-27415-27651-27921-28420-30485-30774-30990-31491-34113-34319-34565-37640-37897-41248-41479-48388-52232
31	0.16		1460		1460	(1Z,4Z,7Z)-1,5,9,9-tetramethylcycloundeca-1,4,7-triene	1,4,7,-Cycloundecatriene, 1,5,9,9-tetramethyl-, Z,Z,Z-	93	15.27	80.00-121.00\r\n32.95-26.40\r\n0-0	Registered\r\n9998-10243-10524-11012-13060-13587-14085-16650-16899-17179-18183-18700-19459-19741-19974-20265-20563-20752-21001-23335-23595-24058-24115-24339-25868-26372-26627-26912-27145-27435-27659-27932-28932-29443-29957-30483-30724-31042-31258-31495-34054-34309-34565-34824-37380-37686-37899-41228-48390-52239
19	0.31		1486		1486	trans-a-bergamotene	trans-.alpha.-Bergamotene	119	15.58	93.00-91.00\r\n94.00-36.00\r\n0-0	Registered\r\n10007-10248-10587-11030-13065-13590-14142-14361-14606-16655-17182-17414-17752-17934-19771-19980-20290-20501-20762-21003-21253-23391-23591-24030-24097-24343-26375-26967-27153-27485-27666-27935-29446-29959-30714-30758-30998-31242-31499-34070-34314-34583-37643-37893-38152-38421-41245-41478-48394-52230
22	0.18		1501		1501	a-farnesene	.alpha.-Farnesene	93	15.76	69.00-41.00\r\n56.00-58.00\r\n0-0	Registered\r\n10014-10245-10642-10758-11049-13062-13600-14199-14346-14602-16656-16901-17183-17413-17814-17930-19774-19979-20333-20545-20799-20999-21252-23385-23573-24058-24095-24333-26373-26949-27149-27532-27669-27922-29444-29958-30582-30743-30999-31242-31597-31758-34064-34313-34571-34820-37639-37894-41231-48391
36	0.69	no ipochem	1561		1561	#N/A	1,6,10-Dodecatrien-3-ol, 3,7,11-trimethyl-	93	16.46	69.00-43.00\r\n99.87-78.89\r\n0-0	Registered\r\n10021-10679-11205-13600-14150-14381-14763-14904-16655-17173-17455-17914-18025-18312-19215-19728-20537-20801-23353-24058-24079-25357-25891-27458-27991-28706-28947-31249-31574-32536-32782-33298-34574-34859-35112-36882-38420-42010-43287-44837-45330-47887-49425-49936-50198-50475-50704-52498-55565-63504
23	0.27		1585		1585	pseudoionone	3,5,9-Undecatrien-2-one, 6,10-dimethyl-	69	16.72	81.00-41.00\r\n60.00-53.00\r\n0-0	Registered\r\n10003-10246-10635-10759-11098-11268-13060-13581-13827-14094-14342-14602-16657-17168-17914-17932-18183-19725-20247-20507-20893-21007-21256-21764-23323-23555-23813-24068-24326-24838-26886-27398-28027-28171-28420-29956-30516-30725-30981-31836-32009-32259-33795-34308-38157-39182-45315-48657-48906-49162
42	0.08		1592		1592	3,6-diethyl-3,6-dimethyltricyclo[3.1.0.02,4]hexane	Tricyclo[3.1.0.0(2,4)]hexane, 3,6-diethyl-3,6-dimethyl-, trans-	107	16.80	135.00-93.00\r\n77.50-47.29\r\n0-0	Registered\r\n10000-10242-10576-10755-11068-13060-13314-13584-14109-14615-14852-15106-16652-16899-17163-17689-19749-19975-20266-20485-20744-21768-23383-23563-23926-24075-24327-25347-26373-26628-26935-27143-27642-27670-29442-29958-30488-30735-30983-31235-34054-34307-34754-34837-38158-38402-45059-45316-52282-52490
46	0.10		1602		1602	b-caryophyllene oxide	Caryophyllene oxide	79	16.90	41.00-91.00\r\n93.36-76.08\r\n0-0	Registered\r\n10025-10710-11095-13614-14233-14842-17272-17438-17803-18010-19776-19997-20453-20520-20823-21056-21323-21547-21971-23471-23584-23975-24121-24468-24677-25410-26955-27223-27499-27695-28028-28237-28977-30521-30770-31018-31542-32290-32600-33564-34075-34330-34589-34836-35366-36120-37653-41241-46870-54077
24	1.36	needs shortname	1737		1737		trans-Geranylgeraniol	69	18.26	41.00-81.00\r\n36.00-29.00\r\n0-0	Registered\r\n10007-10614-10758-11071-13592-14110-14603-15120-16650-17212-17441-17914-17973-18204-19737-20264-20491-20837-21014-21258-23316-23559-23876-24081-24433-24588-24909-26891-27654-27935-28172-28436-30482-31010-31241-31505-32006-32519-33286-34314-34885-35110-35343-35846-40714-41228-45318-45833-58650-0-4366
