index	observer	date	plot.x	subplot.x	plant	bag	pump	end	flowers	buds	pump_id	VWC	notes	plotid	plantid	plot.y	subplot.y	water	snow	water4
27	ST	2020-07-08T00:00:00Z	3	B	831	1899-12-30T09:52:00Z	1899-12-30T10:22:00Z	1899-12-30T10:37:00Z	1	0	7	5.9	NA	3B	3B831	3	B	Control	Normal	Mock rainout
28	ST	2020-07-08T00:00:00Z	3	D	892	1899-12-30T09:58:00Z	1899-12-30T10:28:00Z	1899-12-30T10:43:00Z	1	0	3	3.5	NA	3D	3D892	3	D	Control	Normal	Control
29	ST	2020-07-08T00:00:00Z	3	D	875	1899-12-30T10:19:00Z	1899-12-30T10:45:00Z	1899-12-30T11:00:00Z	1	0	10	3.7	NA	3D	3D875	3	D	Control	Normal	Control
30	ST	2020-07-08T00:00:00Z	5	A	196	1899-12-30T10:31:00Z	1899-12-30T11:01:00Z	1899-12-30T11:16:00Z	1	1	7	3.7	NA	5A	5A196	5	A	Addition	Early	Addition
31	ST	2020-07-08T00:00:00Z	5	A	185	1899-12-30T10:35:00Z	1899-12-30T11:05:00Z	1899-12-30T11:20:00Z	1	0	3	8.9	NA	5A	5A185	5	A	Addition	Early	Addition
32	ST	2020-07-08T00:00:00Z	5	D	274	1899-12-30T10:52:00Z	1899-12-30T11:22:00Z	1899-12-30T11:37:00Z	1	0	10	4.7	NA	5D	5D274	5	D	Control	Early	Control
33	JP	2020-07-08T00:00:00Z	2	B	81	1899-12-30T09:15:00Z	1899-12-30T09:48:00Z	1899-12-30T10:03:00Z	1	0	NA	4.9	NA	2B	2B81	2	B	Control	Early	Mock rainout
34	JP	2020-07-08T00:00:00Z	2	A	674	1899-12-30T09:18:00Z	1899-12-30T09:54:00Z	1899-12-30T10:09:00Z	1	0	NA	4.6	NA	2A	2A674	2	A	Control	Early	Control
35	JP	2020-07-08T00:00:00Z	2	D	214	1899-12-30T09:20:00Z	1899-12-30T09:57:00Z	1899-12-30T10:12:00Z	1	0	NA	5.3	NA	2D	2D214	2	D	Addition	Early	Addition
36	JP	2020-07-08T00:00:00Z	2	B	195	1899-12-30T09:38:00Z	1899-12-30T10:13:00Z	1899-12-30T10:28:00Z	1	0	NA	5.3	NA	2B	2B195	2	B	Control	Early	Mock rainout
37	JP	2020-07-08T00:00:00Z	2	D	204	1899-12-30T09:40:00Z	1899-12-30T10:16:00Z	1899-12-30T10:31:00Z	1	0	NA	NA	watered before getting soil moisture - near 2D-187	2D	2D204	2	D	Addition	Early	Addition
38	JP	2020-07-08T00:00:00Z	2	D	187	1899-12-30T09:41:00Z	1899-12-30T10:18:00Z	1899-12-30T10:54:00Z	1	0	5	7.6	popped out, reset 10:32, popped again, reset 10:44. Do not use	2D	2D187	2	D	Addition	Early	Addition
39	JP	2020-07-08T00:00:00Z	2	C	270	1899-12-30T10:25:00Z	1899-12-30T10:55:00Z	1899-12-30T11:10:00Z	1	0	1	4.7	NA	2C	2C270	2	C	Reduction	Early	Reduction
40	JP	2020-07-08T00:00:00Z	2	C	277	1899-12-30T10:27:00Z	1899-12-30T10:57:00Z	1899-12-30T11:17:00Z	1	0	5	3.8	NA	2C	2C277	2	C	Reduction	Early	Reduction
41	JP	2020-07-08T00:00:00Z	2	A	94	1899-12-30T10:29:00Z	1899-12-30T11:05:00Z	1899-12-30T11:20:00Z	1	0	9	3.7	NA	2A	2A94	2	A	Control	Early	Control
42	JP	2020-07-08T00:00:00Z	2	A	air	1899-12-30T10:13:00Z	1899-12-30T10:43:00Z	1899-12-30T10:58:00Z	NA	NA	9	NA	NA	2A	2Aair	2	A	Control	Early	Control
43	BV	2020-07-08T00:00:00Z	1	A	246	1899-12-30T09:24:00Z	1899-12-30T09:54:00Z	1899-12-30T10:09:00Z	1	2	8	5.8	NA	1A	1A246	1	A	Addition	Normal	Addition
44	BV	2020-07-08T00:00:00Z	1	A	255	1899-12-30T09:27:00Z	1899-12-30T09:57:00Z	1899-12-30T10:12:00Z	1	0	4	6.1	NA	1A	1A255	1	A	Addition	Normal	Addition
45	BV	2020-07-08T00:00:00Z	1	A	235	1899-12-30T09:38:00Z	1899-12-30T10:10:00Z	1899-12-30T10:25:00Z	1	0	8	8.9	NA	1A	1A235	1	A	Addition	Normal	Addition
46	BV	2020-07-08T00:00:00Z	1	A	133	1899-12-30T09:41:00Z	1899-12-30T10:15:00Z	1899-12-30T10:30:00Z	1	0	4	7.5	NA	1A	1A133	1	A	Addition	Normal	Addition
47	BV	2020-07-08T00:00:00Z	1	A	230	1899-12-30T10:19:00Z	1899-12-30T10:49:00Z	1899-12-30T11:04:00Z	1	0	8	7.9	NA	1A	1A230	1	A	Addition	Normal	Addition
48	BV	2020-07-08T00:00:00Z	1	A	243	1899-12-30T10:22:00Z	1899-12-30T10:52:00Z	1899-12-30T11:07:00Z	1	0	4	7	NA	1A	1A243	1	A	Addition	Normal	Addition
49	BV	2020-07-08T00:00:00Z	1	B	649	1899-12-30T10:44:00Z	1899-12-30T11:14:00Z	1899-12-30T11:29:00Z	1	0	8	5.3	NA	1B	1B649	1	B	Control	Normal	Control
50	BV	2020-07-08T00:00:00Z	1	C	63	1899-12-30T10:57:00Z	1899-12-30T11:27:00Z	1899-12-30T11:42:00Z	1	3	4	4	NA	1C	1C63	1	C	Control	Normal	Mock rainout
51	BV	2020-07-08T00:00:00Z	1	C	64	1899-12-30T11:03:00Z	1899-12-30T11:33:00Z	1899-12-30T11:48:00Z	1	0	8	4.2	NA	1C	1C64	1	C	Control	Normal	Mock rainout
52	BV	2020-07-15T00:00:00Z	1	C	60	1899-12-30T09:10:00Z	1899-12-30T09:40:00Z	1899-12-30T09:55:00Z	1	1	8	4.7	NA	1C	1C60	1	C	Control	Normal	Mock rainout
53	BV	2020-07-15T00:00:00Z	1	C	46	1899-12-30T09:13:00Z	1899-12-30T09:43:00Z	1899-12-30T09:58:00Z	1	0	5	3.9	NA	1C	1C46	1	C	Control	Normal	Mock rainout
54	BV	2020-07-15T00:00:00Z	1	D	37	1899-12-30T09:15:00Z	1899-12-30T09:45:00Z	1899-12-30T10:00:00Z	1	0	3	3.3	NA	1D	1D37	1	D	Reduction	Normal	Reduction
55	BV	2020-07-15T00:00:00Z	1	D	33	1899-12-30T09:49:00Z	1899-12-30T10:19:00Z	1899-12-30T10:34:00Z	1	0	8	3.9	NA	1D	1D33	1	D	Reduction	Normal	Reduction
56	BV	2020-07-15T00:00:00Z	1	D	9	1899-12-30T09:50:00Z	1899-12-30T10:20:00Z	1899-12-30T10:35:00Z	1	0	5	4	NA	1D	1D9	1	D	Reduction	Normal	Reduction
57	BV	2020-07-15T00:00:00Z	1	D	17	1899-12-30T09:53:00Z	1899-12-30T10:23:00Z	1899-12-30T10:38:00Z	1	0	3	4.5	NA	1D	1D17	1	D	Reduction	Normal	Reduction
58	BV	2020-07-15T00:00:00Z	1	D	12	1899-12-30T10:11:00Z	1899-12-30T10:35:00Z	1899-12-30T10:50:00Z	1	2	8	3.5	NA	1D	1D12	1	D	Reduction	Normal	Reduction
59	BV	2020-07-15T00:00:00Z	1	D	24	1899-12-30T10:13:00Z	1899-12-30T10:38:00Z	1899-12-30T10:53:00Z	1	0	5	4.9	NA	1D	1D24	1	D	Reduction	Normal	Reduction
60	BV	2020-07-15T00:00:00Z	4	A	68	1899-12-30T10:58:00Z	1899-12-30T11:28:00Z	1899-12-30T11:43:00Z	1	0	3	3.5	NA	4A	4A68	4	A	Addition	Early	Addition
61	BV	2020-07-15T00:00:00Z	4	A	109	1899-12-30T11:00:00Z	1899-12-30T11:30:00Z	1899-12-30T11:45:00Z	1	0	8	7.9	NA	4A	4A109	4	A	Addition	Early	Addition
62	BV	2020-07-15T00:00:00Z	4	A	110	1899-12-30T11:01:00Z	1899-12-30T11:31:00Z	1899-12-30T11:46:00Z	1	0	5	6.1	NA	4A	4A110	4	A	Addition	Early	Addition
63	BV	2020-07-15T00:00:00Z	4	A	121	1899-12-30T11:18:00Z	1899-12-30T11:48:00Z	1899-12-30T12:03:00Z	2	0	3	7	NA	4A	4A121	4	A	Addition	Early	Addition
64	BV	2020-07-15T00:00:00Z	4	A	115	1899-12-30T11:20:00Z	1899-12-30T11:50:00Z	1899-12-30T12:05:00Z	2	0	8	3.8	NA	4A	4A115	4	A	Addition	Early	Addition
65	BV	2020-07-15T00:00:00Z	4	A	91	1899-12-30T11:23:00Z	1899-12-30T11:53:00Z	1899-12-30T12:08:00Z	1	0	5	8.4	NA	4A	4A91	4	A	Addition	Early	Addition
66	ST	2020-07-15T00:00:00Z	5	A	180	1899-12-30T10:01:00Z	1899-12-30T10:31:00Z	1899-12-30T10:46:00Z	1	0	9	6.8	NA	5A	5A180	5	A	Addition	Early	Addition
67	ST	2020-07-15T00:00:00Z	5	B	20	1899-12-30T10:06:00Z	1899-12-30T10:36:00Z	1899-12-30T10:51:00Z	1	0	6	4.8	NA	5B	5B20	5	B	Control	Early	Mock rainout
68	ST	2020-07-15T00:00:00Z	5	B	288	1899-12-30T10:23:00Z	1899-12-30T10:53:00Z	1899-12-30T11:08:00Z	1	0	9	5.2	NA	5B	5B288	5	B	Control	Early	Mock rainout
69	ST	2020-07-15T00:00:00Z	5	B	5	1899-12-30T10:26:00Z	1899-12-30T10:56:00Z	1899-12-30T11:11:00Z	1	0	6	4.3	NA	5B	5B5	5	B	Control	Early	Mock rainout
70	ST	2020-07-15T00:00:00Z	5	C	225	1899-12-30T10:43:00Z	1899-12-30T11:13:00Z	1899-12-30T11:28:00Z	1	0	9	4.4	NA	5C	5C225	5	C	Reduction	Early	Reduction
71	ST	2020-07-15T00:00:00Z	5	C	202	1899-12-30T10:47:00Z	1899-12-30T11:17:00Z	1899-12-30T11:32:00Z	1	0	6	4.2	NA	5C	5C202	5	C	Reduction	Early	Reduction
72	ST	2020-07-15T00:00:00Z	5	D	269	1899-12-30T11:15:00Z	1899-12-30T11:45:00Z	1899-12-30T12:00:00Z	1	0	9	3.6	NA	5D	5D269	5	D	Control	Early	Control
73	ST	2020-07-15T00:00:00Z	5	D	242	1899-12-30T11:19:00Z	1899-12-30T11:49:00Z	1899-12-30T12:04:00Z	1	0	6	2.6	NA	5D	5D242	5	D	Control	Early	Control
74	ST	2020-07-15T00:00:00Z	5	NA	air	1899-12-30T11:51:00Z	1899-12-30T12:21:00Z	1899-12-30T12:35:00Z	NA	NA	9	NA	NA	5NA	5NAair	NA	NA	NA	NA	NA
75	JP	2020-07-22T00:00:00Z	1	D	12	1899-12-30T09:16:00Z	1899-12-30T09:52:00Z	1899-12-30T10:07:00Z	1	0	NA	3	NA	1D	1D12	1	D	Reduction	Normal	Reduction
76	JP	2020-07-22T00:00:00Z	1	D	9	1899-12-30T09:17:00Z	1899-12-30T09:53:00Z	1899-12-30T10:08:00Z	1	0	NA	2.4	NA	1D	1D9	1	D	Reduction	Normal	Reduction
77	JP	2020-07-22T00:00:00Z	1	D	33	1899-12-30T09:19:00Z	1899-12-30T09:55:00Z	1899-12-30T10:10:00Z	1	0	NA	2.7	NA	1D	1D33	1	D	Reduction	Normal	Reduction
78	JP	2020-07-22T00:00:00Z	1	D	31	1899-12-30T09:20:00Z	1899-12-30T09:56:00Z	1899-12-30T10:11:00Z	1	0	NA	4.9	NA	1D	1D31	1	D	Reduction	Normal	Reduction
79	JP	2020-07-22T00:00:00Z	1	C	60	1899-12-30T09:46:00Z	1899-12-30T10:16:00Z	1899-12-30T10:31:00Z	1	0	NA	3.3	NA	1C	1C60	1	C	Control	Normal	Mock rainout
80	JP	2020-07-22T00:00:00Z	1	C	63	1899-12-30T09:46:00Z	1899-12-30T10:16:00Z	1899-12-30T10:33:00Z	1	0	NA	3.2	NA	1C	1C63	1	C	Control	Normal	Mock rainout
81	JP	2020-07-22T00:00:00Z	1	A	251	1899-12-30T10:05:00Z	1899-12-30T10:40:00Z	1899-12-30T10:55:00Z	1	0	NA	5.8	NA	1A	1A251	1	A	Addition	Normal	Addition
82	JP	2020-07-22T00:00:00Z	1	B	650	1899-12-30T10:10:00Z	1899-12-30T10:42:00Z	1899-12-30T10:57:00Z	1	0	NA	8.7	"Sample 650A. ""albino"" - yellow flowers, green leaves"	1B	1B650	1	B	Control	Normal	Control
83	JP	2020-07-22T00:00:00Z	1	B	653	1899-12-30T10:24:00Z	1899-12-30T11:07:00Z	1899-12-30T11:16:00Z	1	0	NA	4.4	NA	1B	1B653	1	B	Control	Normal	Control
84	JP	2020-07-22T00:00:00Z	1	B	656	1899-12-30T10:27:00Z	1899-12-30T11:03:00Z	1899-12-30T11:18:00Z	1	0	NA	3.2	NA	1B	1B656	1	B	Control	Normal	Control
85	JP	2020-07-22T00:00:00Z	1	B	672	1899-12-30T10:45:00Z	1899-12-30T11:15:00Z	1899-12-30T11:30:00Z	1	0	NA	3.6	NA	1B	1B672	1	B	Control	Normal	Control
86	JP	2020-07-22T00:00:00Z	1	B	650	1899-12-30T10:49:00Z	1899-12-30T11:19:00Z	1899-12-30T11:34:00Z	1	0	NA	8.7	"Sample 650B. ""albino"" - yellow flowers, green leaves"	1B	1B650	1	B	Control	Normal	Control
87	JP	2020-07-22T00:00:00Z	3	A	636	1899-12-30T11:08:00Z	1899-12-30T11:44:00Z	1899-12-30T12:02:00Z	1	0	1	6.9	NA	3A	3A636	3	A	Reduction	Normal	Reduction
88	JP	2020-07-22T00:00:00Z	3	A	273	1899-12-30T11:10:00Z	1899-12-30T11:47:00Z	1899-12-30T12:02:00Z	1	0	NA	3.9	NA	3A	3A273	3	A	Reduction	Normal	Reduction
89	JP	2020-07-22T00:00:00Z	3	A	air	1899-12-30T11:23:00Z	1899-12-30T11:53:00Z	1899-12-30T12:08:00Z	1	0	NA	NA	NA	3A	3Aair	3	A	Reduction	Normal	Reduction
90	ST	2020-07-22T00:00:00Z	2	C	270	1899-12-30T09:16:00Z	1899-12-30T09:46:00Z	1899-12-30T10:01:00Z	1	0	3	2.5	NA	2C	2C270	2	C	Reduction	Early	Reduction
91	ST	2020-07-22T00:00:00Z	2	C	277	1899-12-30T09:19:00Z	1899-12-30T09:49:00Z	1899-12-30T10:04:00Z	1	0	8	2.1	NA	2C	2C277	2	C	Reduction	Early	Reduction
92	ST	2020-07-22T00:00:00Z	2	C	274	1899-12-30T09:21:00Z	1899-12-30T09:51:00Z	1899-12-30T10:06:00Z	1	0	10	2.5	NA	2C	2C274	2	C	Reduction	Early	Reduction
93	ST	2020-07-22T00:00:00Z	2	C	289	1899-12-30T09:23:00Z	1899-12-30T09:53:00Z	1899-12-30T10:08:00Z	1	0	4	4	NA	2C	2C289	2	C	Reduction	Early	Reduction
94	ST	2020-07-22T00:00:00Z	2	C	262	1899-12-30T09:37:00Z	1899-12-30T10:07:00Z	1899-12-30T10:22:00Z	1	0	3	2.5	NA	2C	2C262	2	C	Reduction	Early	Reduction
95	ST	2020-07-22T00:00:00Z	2	C	297	1899-12-30T09:40:00Z	1899-12-30T10:10:00Z	1899-12-30T10:25:00Z	1	0	8	3.9	NA	2C	2C297	2	C	Reduction	Early	Reduction
96	ST	2020-07-22T00:00:00Z	2	C	293	1899-12-30T09:42:00Z	1899-12-30T10:12:00Z	1899-12-30T10:27:00Z	1	0	10	3.7	NA	2C	2C293	2	C	Reduction	Early	Reduction
97	ST	2020-07-22T00:00:00Z	2	C	292	1899-12-30T09:45:00Z	1899-12-30T10:15:00Z	1899-12-30T10:30:00Z	1	0	4	3.7	NA	2C	2C292	2	C	Reduction	Early	Reduction
98	ST	2020-07-22T00:00:00Z	2	B	185	1899-12-30T10:13:00Z	1899-12-30T10:43:00Z	1899-12-30T10:58:00Z	1	0	3	5.4	NA	2B	2B185	2	B	Control	Early	Mock rainout
99	ST	2020-07-22T00:00:00Z	2	B	188	1899-12-30T10:16:00Z	1899-12-30T10:46:00Z	1899-12-30T11:01:00Z	1	0	8	5.4	NA	2B	2B188	2	B	Control	Early	Mock rainout
100	ST	2020-07-22T00:00:00Z	2	B	189	1899-12-30T10:19:00Z	1899-12-30T10:49:00Z	1899-12-30T11:04:00Z	1	0	10	4.5	NA	2B	2B189	2	B	Control	Early	Mock rainout
101	ST	2020-07-22T00:00:00Z	2	B	186	1899-12-30T10:21:00Z	1899-12-30T10:51:00Z	1899-12-30T11:06:00Z	1	0	4	4.5	NA	2B	2B186	2	B	Control	Early	Mock rainout
102	ST	2020-07-22T00:00:00Z	2	B	183	1899-12-30T10:38:00Z	1899-12-30T11:08:00Z	1899-12-30T11:23:00Z	1	0	3	3.3	bag split open sometime between bag & end	2B	2B183	2	B	Control	Early	Mock rainout
103	ST	2020-07-22T00:00:00Z	2	B	190	1899-12-30T10:40:00Z	1899-12-30T11:10:00Z	1899-12-30T11:25:00Z	1	0	8	3.1	NA	2B	2B190	2	B	Control	Early	Mock rainout
104	ST	2020-07-22T00:00:00Z	2	B	184	1899-12-30T10:42:00Z	1899-12-30T11:12:00Z	1899-12-30T11:27:00Z	1	0	10	3.3	NA	2B	2B184	2	B	Control	Early	Mock rainout
105	ST	2020-07-22T00:00:00Z	2	B	air	1899-12-30T10:53:00Z	1899-12-30T11:23:00Z	1899-12-30T11:38:00Z	1	0	4	NA	NA	2B	2Bair	2	B	Control	Early	Mock rainout
106	ST	2020-07-22T00:00:00Z	2	B	81	1899-12-30T11:00:00Z	1899-12-30T11:30:00Z	1899-12-30T11:45:00Z	1	0	3	4.2	NA	2B	2B81	2	B	Control	Early	Mock rainout
107	ST	2020-07-22T00:00:00Z	2	B	83	1899-12-30T11:03:00Z	1899-12-30T11:33:00Z	1899-12-30T11:48:00Z	1	0	8	5.3	NA	2B	2B83	2	B	Control	Early	Mock rainout
108	ST	2020-07-22T00:00:00Z	2	B	89	1899-12-30T11:05:00Z	1899-12-30T11:35:00Z	1899-12-30T11:50:00Z	1	0	10	3.7	NA	2B	2B89	2	B	Control	Early	Mock rainout
109	ST	2020-07-22T00:00:00Z	2	B	138	1899-12-30T11:07:00Z	1899-12-30T11:38:00Z	1899-12-30T11:53:00Z	1	0	4	5.8	NA	2B	2B138	2	B	Control	Early	Mock rainout
110	ST	2020-07-22T00:00:00Z	2	B	219	1899-12-30T11:22:00Z	1899-12-30T11:42:00Z	1899-12-30T12:07:00Z	1	0	3	6.3	NA	2B	2B219	2	B	Control	Early	Mock rainout
111	ST	2020-07-22T00:00:00Z	2	B	220	1899-12-30T11:23:00Z	1899-12-30T11:43:00Z	1899-12-30T12:08:00Z	1	0	8	6.5	NA	2B	2B220	2	B	Control	Early	Mock rainout
112	ST	2020-07-22T00:00:00Z	2	B	194	1899-12-30T11:27:00Z	1899-12-30T22:47:00Z	1899-12-30T12:12:00Z	1	0	10	3	NA	2B	2B194	2	B	Control	Early	Mock rainout
113	ST	2020-07-22T00:00:00Z	2	B	207	1899-12-30T11:29:00Z	1899-12-30T11:59:00Z	1899-12-30T12:14:00Z	1	0	4	5.1	NA	2B	2B207	2	B	Control	Early	Mock rainout
114	JP	2020-07-29T00:00:00Z	3	C	137	NA	NA	NA	NA	NA	NA	NA	NA	3C	3C137	3	C	Addition	Normal	Addition
115	JP	2020-07-29T00:00:00Z	3	C	139	NA	NA	NA	NA	NA	NA	NA	NA	3C	3C139	3	C	Addition	Normal	Addition
116	JP	2020-07-29T00:00:00Z	3	C	153	NA	NA	NA	NA	NA	NA	NA	NA	3C	3C153	3	C	Addition	Normal	Addition
117	JP	2020-07-29T00:00:00Z	3	C	173	NA	NA	NA	NA	NA	NA	NA	NA	3C	3C173	3	C	Addition	Normal	Addition
118	JP	2020-07-29T00:00:00Z	3	C	166	NA	NA	NA	NA	NA	NA	NA	NA	3C	3C166	3	C	Addition	Normal	Addition
119	JP	2020-07-29T00:00:00Z	3	C	177	NA	NA	NA	NA	NA	NA	NA	NA	3C	3C177	3	C	Addition	Normal	Addition
120	JP	2020-07-29T00:00:00Z	3	C	133	NA	NA	NA	NA	NA	NA	NA	NA	3C	3C133	3	C	Addition	Normal	Addition
121	JP	2020-07-29T00:00:00Z	3	C	air	NA	NA	NA	NA	NA	NA	NA	NA	3C	3Cair	3	C	Addition	Normal	Addition
122	JP	2020-07-29T00:00:00Z	4	D	52	NA	NA	NA	NA	NA	NA	NA	NA	4D	4D52	4	D	Reduction	Early	Reduction
123	JP	2020-07-29T00:00:00Z	1	B	650	NA	NA	NA	NA	NA	NA	NA	NA	1B	1B650	1	B	Control	Normal	Control
124	JP	2020-07-29T00:00:00Z	1	B	653	NA	NA	NA	NA	NA	NA	NA	NA	1B	1B653	1	B	Control	Normal	Control
125	JP	2020-07-29T00:00:00Z	1	B	air	NA	NA	NA	NA	NA	NA	NA	NA	1B	1Bair	1	B	Control	Normal	Control
126	BV	2020-07-29T00:00:00Z	3	B	828	NA	NA	NA	NA	NA	NA	NA	JP has all this data - need to enter	3B	3B828	3	B	Control	Normal	Mock rainout
127	BV	2020-07-29T00:00:00Z	3	B	838	NA	NA	NA	NA	NA	NA	NA	NA	3B	3B838	3	B	Control	Normal	Mock rainout
128	BV	2020-07-29T00:00:00Z	3	B	618	NA	NA	NA	NA	NA	NA	NA	NA	3B	3B618	3	B	Control	Normal	Mock rainout
129	BV	2020-07-29T00:00:00Z	3	A	641	NA	NA	NA	NA	NA	NA	NA	NA	3A	3A641	3	A	Reduction	Normal	Reduction
130	BV	2020-07-29T00:00:00Z	3	D	881	NA	NA	NA	NA	NA	NA	NA	NA	3D	3D881	3	D	Control	Normal	Control
131	BV	2020-07-29T00:00:00Z	3	D	895	NA	NA	NA	NA	NA	NA	NA	NA	3D	3D895	3	D	Control	Normal	Control
132	BV	2020-07-29T00:00:00Z	3	A	180	NA	NA	NA	NA	NA	NA	NA	NA	3A	3A180	3	A	Reduction	Normal	Reduction
133	BV	2020-07-29T00:00:00Z	3	A	145	NA	NA	NA	NA	NA	NA	NA	NA	3A	3A145	3	A	Reduction	Normal	Reduction
134	ST	2020-07-29T00:00:00Z	4	A	124	1899-12-30T09:27:00Z	1899-12-30T09:57:00Z	1899-12-30T10:12:00Z	1	0	4	13.1	accidentally touched scent trap slightly	4A	4A124	4	A	Addition	Early	Addition
