year	plotid	plant	plantid	WUE_1819	discard	separate	modify	plantid_new	transition_fixed	status_18_fixed	status_19_fixed	status_20_fixed	modified	flowered	survived	plot	subplot
2018	6D	39	6D39	123.065				NA	vegetative > flowering > dead_nf	vegetative	flowering	dead_nf	FALSE	1	1	6	D
2018	1A	250	1A250	54.049				NA	vegetative > vegetative > flowering	vegetative	vegetative	flowering	FALSE	0	1	1	A
2018	2D	196	2D196	79.05		census20 leaf20		NA	vegetative > dead_nf > dead_nf	vegetative	dead_nf	dead_nf	FALSE	0	0	2	D
2018	3C	150	3C150	45.72				NA	vegetative > flowering > dead_nf	vegetative	flowering	dead_nf	FALSE	1	1	3	C
2018	4A	65	4A65	112.946				NA	vegetative > vegetative > flowering	vegetative	vegetative	flowering	FALSE	0	1	4	A
2018	5A	193	5A193	43.844				NA	vegetative > flowering > dead_nf	vegetative	flowering	dead_nf	FALSE	1	1	5	A
2018	6D	50	6D50	90.805				NA	vegetative > flowering > dead_nf	vegetative	flowering	dead_nf	FALSE	1	1	6	D
2018	1A	243	1A243	51.249				NA	vegetative > vegetative > flowering	vegetative	vegetative	flowering	FALSE	0	1	1	A
2018	2D	193	2D193	53.262				NA	vegetative > vegetative > flowering	vegetative	vegetative	flowering	FALSE	0	1	2	D
2018	3C	165	3C165	55.788				NA	vegetative > vegetative > vegetative	vegetative	vegetative	vegetative	FALSE	0	1	3	C
2018	4A	116	4A116	43.094				NA	vegetative > vegetative > flowering	vegetative	vegetative	flowering	FALSE	0	1	4	A
2018	5A	191	5A191	43.923				NA	vegetative > vegetative > flowering	vegetative	vegetative	flowering	FALSE	0	1	5	A
2018	6D	56	6D56	43.2				NA	vegetative > vegetative > flowering	vegetative	vegetative	flowering	FALSE	0	1	6	D
2018	1A	239	1A239	39.669				NA	vegetative > flowering > dead_nf	vegetative	flowering	dead_nf	FALSE	1	1	1	A
2018	2D	197	2D197	91.742		census20 leaf20		NA	vegetative > dead_nf > dead_nf	vegetative	dead_nf	dead_nf	FALSE	0	0	2	D
2018	3C	151	3C151	91.279				NA	vegetative > flowering > dead_nf	vegetative	flowering	dead_nf	FALSE	1	1	3	C
