plantid	other_notes_21	cen181920	size20	notes1818r2_19_20chk1920
6A138		 V | V | F 	1,,	count leaves,||,
6A139		 V | V | V 	1,20,23	,||left of tag,
6A140		 V | F |DNF	0,,	,||,
6A141		 V | V | V 	1,19,61	,||,
6A142		 V | V |DNF	0,,	,||,
6A143		 F |DNF|DNF	0,,	,|nf|,
6A144		 V |TNF|NA 	,,	,|tagnf|,
6A145		 V | V | F 	1,,	,||,
6A146		 V |DNF|DNF	0,,	,|nf|,
6A147		 V |DNF|DNF	0,,	,|dead|,
6A148		 V | V | V 	1,12,40	,||,
6A149		 V | V |DNF	0,,	,||,
6A150	ROSETTE A LITTLE FAR	 V | V | V 	1,23,41	,|plant right of tag|,
6A151		 F |DNF|DNF	0,,	check for 2 rosettes,|dead|,
6A152		 V |DNF|DNF	0,,	,|dead|,
6A153		 V | V |DNF	0,,	,|3 dead|,
6A154		 V | V | V 	1,17,57	,||,
6A155		 V | V | V 	1,18,24	,|left of tag|3 plants - one on left of tag,
6A156		 V | F |DNF	0,,	,||,
6A157		 V | V |DNF	0,,	count leaves,|1 ts|,
6A158		 V | V |DNF	0,,	,kaput|ts|,
6A159		 V | V | V 	2,10,25	,||,
6A160		 F |DNF|DNF	0,,	,|nf|,
6A161		 V |DNF|DNF	0,,	,|nf|,
6A162		 V | V | V 	1,11,42	,||,
6A163		 V | V | V 	1,10,38	,||,
6A164	KIND OF FAR FROM TAG	 V | V | V 	3,21,59	,|1 ts|,
6A165		 V | V | F 	1,,	,||,
6A166		 F |DNF|DNF	0,,	,|nf|,
6A167		 F |DNF|DNF	0,,	,|dead|,
6A168		 V | V | V 	2,12,36	,|2 ts|,
6A169		 V | V | F 	1,,	,||above tag,
6A170		 V |DNF|DNF	0,,	,kaput|nf|,
6A171		 V | F |DNF	0,,	,||square tag,check tag #
6A685		 V | V | F 	2,,	,||tagged in 2020,
6B1		 F |DNF|DNF	0,,	,|nf|,
6B10	FAR ISH	 V | F | V 	2,,	,||,flowered twice?
6B11		 V |DNF|DNF	0,,	,|dead|,
6B12		 V | V | V 	,,	,||,rosettes?
6B120		 V | V | F 	1,,	,||tagged in 2020,
6B13		 V | F |DNF	0,,	,||,
6B14		 V | V | F 	1,,	,||1 inflo chewed,
6B15		 V | V | V 	2,9,37	,||,
6B16		 V |DNF|DNF	0,,	,|dead|,
6B17		 V |DNF|DNF	,,	,|dead|,
6B17_20		 V |DNF|DNF	1,9,35	,||,resurrected?
6B18		 V | V |DNF	0,,	,||,
6B19		 V | V |TNF	,,	,||,
6B2		 V | F |DNF	0,,	,||,
6B20		 F |DNF|DNF	0,,	,|tagnf|,
6B21		 V | V | F 	1,27,55	,||might flower,
6B22		 V | V | V 	1,18,50	,||,
6B23		 V | F |DNF	0,,	,||,
6B24		 V | V |DNF	0,,	,||,
6B243		 V | V | F 	2,,	,||tagged in 2020,
6B25		 F |DNF|DNF	0,,	,|dead|,
6B26		 F |DNF|DNF	0,,	,|dead|,
6B266		 V | V | F 	1,,	,||tagged in 2020,
6B27		 F |DNF|DNF	0,,	,|dead|,
6B28		 F |DNF|DNF	0,,	,|dead|,
6B29		 V | F |DNF	0,,	,||,
6B3		 V | F |DNF	0,,	,||,
6B30		 V |DNF|DNF	0,,	check for 2 rosettes,kaput|nf|,
6B31		 V | F |DNF	0,,	check measurements on 2nd rosette,||,
6B32		 F |DNF|DNF	,,	,|dead|,
6B33		 V |DNF|DNF	0,,	,kaput|dead|,
6B34		 F |DNF|DNF	0,,	,|dead|,
6B35		 V | F |DNF	0,,	,||,
6B36		 V | F | F 	0,,	,||,
6B37		 V | F |DNF	0,,	,||square tag,
6B4		 V |DNF|DNF	0,,	,kaput|dead|,
6B5		 V | F |DNF	0,,	,||,
6B6		 F |DNF|DNF	0,,	,|dead|,
6B7		 V | F |DNF	0,,	,||,
6B8		 V | V | F 	1,,	,||,
6B9		 V | V | V 	2,11,71	,||,
6C100		 V | V | V 	2,9,35	,||,
6C101		 V |DNF|DNF	0,,	,|nf|,
6C102		 F |DNF|DNF	0,,	flowering stalk eaten,flowering plant|nf|,
6C103		 F |DNF|DNF	,,	,|nf|,
6C104		 V | V |DNF	0,,	,||,died and nf?
6C105		 V |DNF|DNF	0,,	,|nf|,
6C106		 F |DNF|DNF	0,,	,|nf|,
6C107		 V | F |DNF	0,,	,||,
6C108		 V | F |DNF	0,,	,||,
6C109		 F |DNF|DNF	0,,	,|nf|,
6C110		 V |DNF|DNF	,,	,|nf|,
6C110_20		 V |DNF|DNF	2,12,34	,||,refound?
6C111	possibly the same plant as 6C109	 V | V | F 	1,,	,|5 ts|1 stalk chewed,
6C112		 V |DNF|DNF	0,,	could be 2 rosettes-check,JP: checked 92 leaves against scan, OK|dead|,
6C113		 V | V | F 	1,,	,|2 ts|,
6C114		 V | V |DNF	0,,	,|1 inch above|,
6C115		 V | V |DNF	0,,	,|1 ts|,
6C116		 V | V | F 	1,,	,|4 ts|,
6C117		 V | V | V 	1,9,27	,|ts|,
6C118		 F |DNF|DNF	0,,	,|nf|,
6C119		 V |DNF|DNF	0,,	,kaput|nf|,
6C120		 V |DNF|DNF	0,,	,|nf|,
6C121		 V | V | F 	1,,	,|below 2 inches|,
6C122		 V | F | V 	1,17,30	,||,survived flowering?
6C123		 V | F |DNF	0,,	,||,
6C271		 F |DNF|DNF	0,,	,||,check tag #
6C447_20		NA |NA |DNF	0,,	,||out side of tag,check tag #
6C78		 F |DNF|DNF	0,,	,|nf|,
6C79		 V | V | V 	2,11,42	,||,
6C80		 V | F | V 	2,10,41	,|1 ts, just left of tag|,
6C81		 V | V | V 	0,,	,||,
6C82		 F |DNF|DNF	,,	2 flowering stalks,|nf|,
6C82_20		 F |DNF|DNF	1,16,51	,||,refound?
6C83		 V | F |DNF	0,,	could have 3 rosettes, plant is DR from tag,|2 ts|,
6C84		 V | V |DNF	0,,	plant is UR from tag,|plant is UR from tag|,
6C85		 V | V |DNF	0,,	plant is DR from tag,|plant is DR from tag|,died and nf?
6C86		 V | V | F 	1,,	,||,
6C87		 F |DNF|DNF	0,,	3-4 flowering stalks,|dead|,
6C88		DNF|DNF|DNF	0,,	eaten-no plant,|nf|,
6C89		 F | V |DNF	0,,	could be 2 rosettes-check,|1 ts|,
6C90		 V | V |DNF	0,,	plant is R from tag,|plant is R from tag|,died and nf?
6C91		 V | V | V 	1,13,43	plant is DR from tag,|plant is DR from tag|,
6C92		 V | V | V 	2,3,44	,||,
6C93		 V | V | F 	1,,	,||,
6C94		 V | V |DNF	0,,	plant measured is closest to tag on L,|R of tag|,died and nf?
6C95		 V | V | V 	1,14,57	plant L of tag,|plant L of tag|,
6C96		 V | F | F 	1,12,37	,||,
6C97		 V | V | F 	1,,	,|nf|,refound?
6C98		 V | V | V 	1,12,31	,||,
6C99		 V | V | F 	1,,	,|ts|,
6D18_20		NA |NA | V 	1,9,33	,||,check tag #
6D36		 V |DNF|DNF	0,,	,|nf|,
6D37		 V |DNF|DNF	0,,	,kaput|nf|,
6D38		 F |DNF|DNF	0,,	,flowering plant|nf|,
6D39		 V | F |DNF	0,,	,||,
6D40		 V | F |DNF	0,,	,||,
6D41		 V | V | F 	1,,	,||,
6D42		 F |DNF|DNF	0,,	,|nf|,
6D43		 F |DNF|DNF	,,	,flowering plant|dead|,
6D44		 F |DNF|DNF	0,,	,|dead|,
6D45		 F | V | F 	1,,	,|upper right of tag|,
6D46		 V | V | F 	1,,	,|nf|3 stalks chewed,refound?
6D47		 F |DNF|DNF	0,,	,|nf|,
6D48		 V | V | F 	1,,	,|upper left of tag|,
6D49		 V |DNF|DNF	0,,	,|dead|,
6D50		 V | F |DNF	0,,	,||,
6D51		 F |DNF|DNF	0,,	,flowering plant|dead|,
6D52		 V | V | F 	1,,	,||,
6D53		 V |DNF|DNF	0,,	,|nf|,
6D54		 F |DNF|DNF	0,,	,|dead|,
6D55		 F |DNF|DNF	0,,	,flowering plant|nf|,
6D56		 V | V | F 	1,,	,||,
6D57		 V | V | V 	1,21,49	,|plant directly above tag|,
6D58		 V | V | V 	1,18,24	,||,
6D59		 V | V | F 	1,,	,||,
6D60		 V |DNF|DNF	0,,	,|nf|,
6D61		 V |TNF|NA 	,,	,|tagnf|,
6D62		 V | V |DNF	0,,	,|tag is 1 inch down and to right of plant|,
6D63		 V |DNF|DNF	0,,	,|nf|,
6D64		 V | V | F 	,,	,|tagnf|,
6D65		 V | V | V 	1,11,42	,|right of tag, ts|,
6D66		 F |DNF|DNF	,,	,|tagnf|,
6D67		 V |DNF|DNF	0,,	,|nf|,
6D68		 V | V | F 	2,,	,||,
6D69		 V | F |DNF	0,,	,||,
6D70		 V | F |DNF	0,,	,||,
6D71		 V | V | F 	2,,	,||,
6D72		 V |DNF|DNF	0,,	,|nf|,
6D73	recheck - count stalks and rosettes	 V | V | V 	2,15,49	,||,
6D74		 V | V | V 	0,,	,||,
6D75		 V | V |DNF	0,,	,||,
6D76		 V | V |DNF	0,,	,||,
6D77		 V |DNF|DNF	0,,	,|dead|,
6D79		 V | F |DNF	0,,	,|barely out side plot|,
6D80		 V | F |DNF	,,	,||,
6D81		 V | F | V 	,,	,||,
6D86_20		NA |NA |DNF	0,,	,||,check tag #
