plantid	other_notes_21	cen181920	size20	notes1818r2_19_20chk1920
2B180		 V | V | F 	,,	,||,
2B181		 V | V |TNF	,,	,|below tag|,
2B182		 V | V | V 	1,6,23	,||,
2B183		 V | V | F 	,,	,||,
2B184	recheck - count stalks and rosettes	 V | V | F 	,,	,||,
2B185		 V | V | F 	1,,	,||,
2B186		 V | V | F 	,,	,|bottom r of tag|,
2B187		 V | V | V 	1,24,42	,||,
2B188		 V | V | F 	,,	,|up from tag|,
2B189		 V | V | F 	,,	,|tagnf|,tagnf last year
2B190		 V | V | F 	,,	,||,
2B191		 F | V | V 	1,8,26	,|chewed|,regrew?
2B192		 V |DNF|DNF	0,,	,|nf|,
2B193		 V |TNF|DNF	0,,	,|tagnf|,tagnf last year
2B194		 V | V | V 	1,12,21	,||,
2B195	changed from NF to O	 F |DNF|DNF	,,	,|dead|,
2B195_20		 F |DNF|DNF	,,	,||,resurrected?
2B196	moved V to 2B196_20	 V |DNF|DNF	,,	,|dead|,
2B196_20	said TNF, but tag found	 V |DNF|DNF	1,8,24	,||,resurrected?
2B197		 V | V | F 	,,	,||,
2B198		 V |DNF|DNF	0,,	,|nf|,
2B199		 F |DNF|DNF	0,,	,|dead|,
2B200		 V | F |DNF	0,,	,||,
2B201		 V | F |DNF	0,,	,||,
2B202		 V | F |DNF	0,,	,||,
2B81		 V | V | F 	,,	,|ts|,
2B82		 V |DNF|DNF	0,,	,totally dead|nf|,
2B83		 V | V | F 	,,	,|L of tag|,
2B84		 V | F | F 	0,,	,||,
2B85		 V | V | F 	,,	,||,
2B86		 V | V | F 	,,	,|ID ; ts|,
2B87		 F | F | V 	1,16,21	,|R of tag|,flowered and lived?
2B88		 V |DNF|DNF	0,,	,|nf|,
2B89		 V | V | F 	,,	,|L of tag|,
2B90		 V |DNF|DNF	0,,	,|nf|,
2B91		 F |DNF|DNF	0,,	,|tagnf|,tagnf last year
2B92		 V | F | F 	,,	,||,flowered twice?
2B93	recheck - count stalks	 V | V | V 	2,19,43	,|above tag; 2ts|,
2B94		 F |DNF|DNF	0,,	,|dead|,
2B95		 V | V |DNF	0,,	,||,died and nf?
2B96		 V |DNF|DNF	,,	,|dead|,
2B97		 V | V | F 	,,	,|r of tag|,
2B98		 F |DNF|DNF	0,,	,|nf|,
2B99		 V | F |DNF	0,,	,||,
2C100		 F |DNF|DNF	0,,	,|dead|,
2C202		 V | F | V 	1,9,26	,||,flowered and lived?
2C256_20		NA |NA |DNF	0,,	,||,check tag #
2C258		 F | V | V 	1,13,24	,||,
2C259		 V | V |TNF	,,	,|below tag; ts|,
2C260		 V | V |DNF	0,,	,||,died and nf?
2C261		 V | V | V 	1,32,39	,|tagnf|,tagnf last year
2C262		 V | V | F 	,,	,||,
2C263		 V |DNF|DNF	0,,	,dead|dead|,
2C264		 V |TNF|DNF	0,,	,|tagnf|,
2C265		 F |DNF|DNF	0,,	,|dead|,
2C266		 F | V |TNF	,,	probably 13 rosettes ll=13 is all other rosettes combined,||,
2C267		 V | V | V 	1,13,51	,||,
2C268		 V | F |DNF	0,,	,||,
2C269	recheck - count stalks and rosettes	 V |DNF|DNF	0,,	,|dead|,
2C270		 V | V | F 	,,	,|nf|,refound?
2C271		 V | V | F 	1,,	,||,
2C272		 V | V |TNF	,,	,||,
2C273		 V |TNF|DNF	0,,	,|tagnf|,
2C274		 V | V | F 	,,	,|nf|3 near plant,refound?
2C275		 F |DNF|DNF	,,	,|dead|,
2C275_20	recheck - count stalks and rosettes	 F |DNF|DNF	1,16,28	,||,resurrected?
2C276		 F |DNF|DNF	0,,	,|nf|,
2C277		 V | V | F 	,,	,|tagnf|close to flower,tagnf last year
2C278		 V |TNF|DNF	0,,	,|tagnf|,tagnf last year
2C279		 F |DNF|DNF	,,	,|nf|,
2C280		 V | V |TNF	,,	,||,
2C281		 F |DNF|DNF	0,,	,|nf|,
2C282		 V | F |DNF	0,,	,||,
2C283		 V |DNF|DNF	0,,	,|nf|,
2C284		 F |DNF|DNF	,,	,|nf|,
2C284_20		 F |DNF|DNF	1,20,49	,||,refound?
2C285		 V | F | V 	1,,28	,||,count leaves
2C286		 V | F |DNF	0,,	,||,died and nf?
2C287		 V | V | F 	,,	,||,
2C288		 V | F |DNF	,,	,||,
2C289		 V | V | F 	,,	,|tagnf|,tagnf last year
2C290		 V | V |DNF	0,,	,||,died and nf?
2C291		 F |DNF|DNF	,,	JP: checked 147 leaves against scan, OK,|dead|,
2C291_20		 F |DNF|DNF	1,8,29	,||,resurrected?
2C292	MAY NOT BE SAME PLANT	 V | V | F 	,,	,||,
2C293		 V | V | F 	,,	,||,
2C294		 F |DNF|DNF	,,	,|dead|,
2C294_20		 F |DNF|DNF	1,19,34	,||,resurrected?
2C295	recheck - confusing arrows	 F |DNF|DNF	0,,	maybe 8-9 rosettes,|dead|,
2C296	recheck - confusing arrows	 V | V | V 	1,12,42	,||,
2C297	recheck - confusing arrows	 V |DNF|DNF	,,	,|dead|,
2C297_20	recheck - confusing arrows	 V |DNF|DNF	,,	,||(+)1 veg. rosette far from tag (left),resurrected?
2C298		 V | F |DNF	0,,	,|3 ts|,died and nf?
2C299		 V | V |DNF	0,,	,|tagnf|,
2C300	recheck - no status. SHARED 258?	 V | F | V 	1,11,27	,||,flowered and lived?
2C89		 F |DNF|DNF	,,	,|nf|,
2C90		 F |DNF|DNF	0,,	,|dead|,
2C91		 V |DNF|DNF	0,,	,|dead|,
2C99		 V | V |TNF	,,	,||,
2D183	recheck - count stalks and rosettes	 V | V | V 	1,10,38	,||,
2D184	recheck - count stalks and rosettes	 V | V | V 	1,24,65	,|L of tag|3 plants counted big one to the left,
2D185		 V | V |DNF	0,,	,|ts|,died and nf?
2D186		 V | V | V 	2,17,55	,|r of tag|,
2D187		 V | V | F 	,,	,|3ts|,
2D188		 V | V | V 	2,15,34	,|4ts|,
2D189	TAG FOUND	 F | V |TNF	,,	,|below ts tag|,
2D190		 V | V | V 	1,21,38	,|below tag|,
2D191		 V | V | F 	1,,	,|ts|,
2D192		 V |DNF|DNF	,,	,|dead|,
2D192_20	recheck - count stalks and rosettes	 V |DNF|DNF	1,17,50	,||,resurrected?
2D193		 V | V | F 	,,	,||,
2D194		 V | V | F 	,,	,||,
2D195		 V | V | V 	1,25,32	,||,
2D196		 V |DNF|DNF	,,	,|nf|,
2D196_20		 V |DNF|DNF	3,10,48	,||,refound?
2D197		 V |DNF|DNF	,,	,|nf|,
2D197_20		 V |DNF|DNF	2,25,76	,||,refound?
2D198		 V |TNF|TNF	,,	,|tagnf|,
2D199	recheck - count stalks and rosettes	 V | V | V 	1,27,44	,|r of tag|,
2D200		 F |DNF|DNF	0,,	,|dead|,
2D201		 V | V | V 	1,41,40	,||,
2D202		 V |DNF|DNF	0,,	,|nf|,
2D203	TAG FOUND	 V | V |TNF	,,	,|ts|,
2D204		 V | V | F 	,,	,||,
2D205		 V | F |DNF	0,,	,||,
2D206		 F |DNF|DNF	0,,	maybe more rosettes,|dead|,
2D207		 V | V | F 	,,	maybe more rosettes,||,flowered twice?
2D208	TAG FOUND	 V | V |TNF	,,	,||,
2D209		 V | F |DNF	0,,	,||,
2D210		 V | V | F 	,,	,|below tag|,
2D211	recheck - count stalks and rosettes	 V | F | V 	1,22,62	,||flowered last year,flowered and lived?
2D212		 F | F |DNF	0,,	maybe more rosettes,|below tag|,
2D213		 V | F |DNF	0,,	JP:NA in r2_leaves,|below tag|,
2D214		 V | V | F 	,,	,|ts|,
2D215		 V | V | V 	1,20,44	,||,
2D216		 V |DNF|DNF	,,	,|dead|,
2D216_20		 V |DNF|DNF	1,27,35	,||,resurrected?
2D217		 V | F | V 	4,14,38	,|dead|,resurrected?
2D218		 F |DNF|DNF	0,,	,|tagnf|,tagnf last year
2D219		 V | V | F 	,,	,||,
2D220		 V | V | F 	,,	,||,
2D221		 V | F |DNF	0,,	,||,
2D222		 V | F |DNF	0,,	,||,
2D223		NA | F |TNF	,,	,||,
2D223_19		NA | F |TNF	,,	,||,
2D224		NA | F |TNF	,,	,||,
2D224_19		NA | F |TNF	,,	,||,
2D225		 V | F |DNF	0,,	,||,check tag #
2D256		 V | F |DNF	0,,	,||,
2D257		 V | F |DNF	0,,	,||,
2D258	TAG CAME OUT - changed from NF to TNF	 V | F |DNF	0,,	,||,
3A120		 V | F |DNF	0,,	,||,
3A121		 V | V |DNF	0,,	,||,died and nf?
3A122		 V |DNF|DNF	,,	,dead|nf|,
3A123		 V |DNF|DNF	0,,	,|dead|,
3A124		 V | V |TNF	,,	,|eaten;ts|,
3A125		 V | V | F 	1,,	,||,
3A126		 V |DNF|DNF	,,	,|dead|,
3A126_20	recheck - says 2 rosettes but 1 entry	 V |DNF|DNF	1,12,42	,||,resurrected?
3A127		 F |DNF|DNF	0,,	,|dead|,
3A128		 F |DNF|DNF	0,,	JP fixed r1_longest 4 > 40 from scan 2021-11-09,||,died and nf?
3A129		 V | V | V 	0,,	,||,died and nf?
3A174		NA | F |TNF	,,	,||,
3A174_19		NA | F |TNF	,,	,||,
3A269		 V | V | F 	1,,	,||,
3A270		 V | V |DNF	0,,	,||,
