plant	plantid	plotid	plot	subplot	water	water4	year	sun_time	sun_date	warm_time	warm_date	snow	melt_date	snow_new	melt_time	sun_date_normal_mean	melt_offset	seeds	fruits	fruits_split	aborts	fruits_fly_no_seeds	fruits_fly_with_seeds	seeds_fly	fruits_caterpillar	fruits_early_uncountable	flowers_buds	flowers_buds_collected_early	flowers_buds_collected_last	dates
137	3C137	3C	3	C	Addition	Addition	2020	2020-05-04T21:00:00Z	125	2020-05-04T15:00:00Z	125	Normal	126	normal	2020-05-05T18:00:00Z	125.66666666666667	-0.6666666666666714	28	6	1	10	2	0	0	0	0	7	0	7	2
138	2B138	2B	2	B	Control	Mock rainout	2020	2020-04-29T17:00:00Z	120	2020-04-28T19:00:00Z	119	Early	120	early	2020-04-29T18:00:00Z	125.66666666666667	-5.666666666666671	29	5	1	7	5	0	0	0	4	0	0	0	3
138	6A138	6A	6	A	Control	Control	2020	2020-05-06T18:00:00Z	127	2020-05-05T19:00:00Z	126	Normal	127	normal	2020-05-06T18:00:00Z	125.66666666666667	1.3333333333333286	40	3	1	0	0	0	0	0	0	0	0	0	2
139	3C139	3C	3	C	Addition	Addition	2020	2020-05-04T21:00:00Z	125	2020-05-04T15:00:00Z	125	Normal	126	normal	2020-05-05T18:00:00Z	125.66666666666667	-0.6666666666666714	21	10	2	14	5	0	0	0	0	1	0	1	2
14	1D14	1D	1	D	Reduction	Reduction	2020	2020-05-04T15:00:00Z	125	2020-05-02T18:00:00Z	123	Normal	125	normal	2020-05-04T18:00:00Z	125.66666666666667	-0.6666666666666714	2	1	21	41	16	0	0	0	0	5	0	5	1
14	6B14	6B	6	B	Reduction	Reduction	2020	2020-05-06T18:00:00Z	127	2020-05-05T19:00:00Z	126	Normal	127	normal	2020-05-06T18:00:00Z	125.66666666666667	1.3333333333333286	25	5	1	6	1	0	0	0	0	1	0	1	2
142	3C142	3C	3	C	Addition	Addition	2020	2020-05-04T21:00:00Z	125	2020-05-04T15:00:00Z	125	Normal	126	normal	2020-05-05T18:00:00Z	125.66666666666667	-0.6666666666666714	22	4	1	8	2	0	0	0	0	1	0	1	2
143	3C143	3C	3	C	Addition	Addition	2020	2020-05-04T21:00:00Z	125	2020-05-04T15:00:00Z	125	Normal	126	normal	2020-05-05T18:00:00Z	125.66666666666667	-0.6666666666666714	24	9	3	9	0	0	0	0	0	1	0	1	1
145	6A145	6A	6	A	Control	Control	2020	2020-05-06T18:00:00Z	127	2020-05-05T19:00:00Z	126	Normal	127	normal	2020-05-06T18:00:00Z	125.66666666666667	1.3333333333333286	31	2	4	3	3	0	0	0	1	0	0	0	3
152	3C152	3C	3	C	Addition	Addition	2020	2020-05-04T21:00:00Z	125	2020-05-04T15:00:00Z	125	Normal	126	normal	2020-05-05T18:00:00Z	125.66666666666667	-0.6666666666666714	33	5	2	14	1	0	0	0	0	2	0	2	3
153	3C153	3C	3	C	Addition	Addition	2020	2020-05-04T21:00:00Z	125	2020-05-04T15:00:00Z	125	Normal	126	normal	2020-05-05T18:00:00Z	125.66666666666667	-0.6666666666666714	2	2	2	29	3	0	0	0	0	6	1	5	3
154	3C154	3C	3	C	Addition	Addition	2020	2020-05-04T21:00:00Z	125	2020-05-04T15:00:00Z	125	Normal	126	normal	2020-05-05T18:00:00Z	125.66666666666667	-0.6666666666666714	0	0	2	10	2	0	0	0	0	4	0	4	3
159	3C159	3C	3	C	Addition	Addition	2020	2020-05-04T21:00:00Z	125	2020-05-04T15:00:00Z	125	Normal	126	normal	2020-05-05T18:00:00Z	125.66666666666667	-0.6666666666666714	14	1	1	9	1	0	0	0	0	0	0	0	3
16	5B16	5B	5	B	Control	Mock rainout	2020	2020-04-28T20:00:00Z	119	2020-04-28T17:00:00Z	119	Early	119	early	2020-04-28T18:00:00Z	125.66666666666667	-6.666666666666671	16	4	26	8	7	0	0	0	0	0	0	0	4
165	6A165	6A	6	A	Control	Control	2020	2020-05-06T18:00:00Z	127	2020-05-05T19:00:00Z	126	Normal	127	normal	2020-05-06T18:00:00Z	125.66666666666667	1.3333333333333286	55	10	16	3	6	0	0	0	1	0	0	0	2
165	6B165	6B	6	B	Reduction	Reduction	2020	2020-05-06T18:00:00Z	127	2020-05-05T19:00:00Z	126	Normal	127	normal	2020-05-06T18:00:00Z	125.66666666666667	1.3333333333333286	8	2	0	13	0	0	0	0	0	0	0	0	1
166	3C166	3C	3	C	Addition	Addition	2020	2020-05-04T21:00:00Z	125	2020-05-04T15:00:00Z	125	Normal	126	normal	2020-05-05T18:00:00Z	125.66666666666667	-0.6666666666666714	37	8	4	18	1	0	0	0	0	20	1	19	2
169	3C169	3C	3	C	Addition	Addition	2020	2020-05-04T21:00:00Z	125	2020-05-04T15:00:00Z	125	Normal	126	normal	2020-05-05T18:00:00Z	125.66666666666667	-0.6666666666666714	11	2	9	28	1	0	0	0	0	8	0	8	4
169	6A169	6A	6	A	Control	Control	2020	2020-05-06T18:00:00Z	127	2020-05-05T19:00:00Z	126	Normal	127	normal	2020-05-06T18:00:00Z	125.66666666666667	1.3333333333333286	20	5	4	0	2	0	0	0	0	0	0	0	2
17	1D17	1D	1	D	Reduction	Reduction	2020	2020-05-04T15:00:00Z	125	2020-05-02T18:00:00Z	123	Normal	125	normal	2020-05-04T18:00:00Z	125.66666666666667	-0.6666666666666714	11	3	10	14	5	0	0	0	0	3	0	3	4
173	3C173	3C	3	C	Addition	Addition	2020	2020-05-04T21:00:00Z	125	2020-05-04T15:00:00Z	125	Normal	126	normal	2020-05-05T18:00:00Z	125.66666666666667	-0.6666666666666714	28	2	6	0	2	0	0	0	0	0	0	0	3
174184	3C174184	3C	3	C	Addition	Addition	2020	2020-05-04T21:00:00Z	125	2020-05-04T15:00:00Z	125	Normal	126	normal	2020-05-05T18:00:00Z	125.66666666666667	-0.6666666666666714	0	0	1	21	0	0	0	0	0	6	0	6	1
177	3C177	3C	3	C	Addition	Addition	2020	2020-05-04T21:00:00Z	125	2020-05-04T15:00:00Z	125	Normal	126	normal	2020-05-05T18:00:00Z	125.66666666666667	-0.6666666666666714	4	4	10	30	2	0	0	0	0	1	0	1	2
178	2B178	2B	2	B	Control	Mock rainout	2020	2020-04-29T17:00:00Z	120	2020-04-28T19:00:00Z	119	Early	120	early	2020-04-29T18:00:00Z	125.66666666666667	-5.666666666666671	0	0	1	8	1	0	0	0	0	2	0	2	2
180	2B180	2B	2	B	Control	Mock rainout	2020	2020-04-29T17:00:00Z	120	2020-04-28T19:00:00Z	119	Early	120	early	2020-04-29T18:00:00Z	125.66666666666667	-5.666666666666671	61	6	6	11	8	0	0	0	1	2	0	2	3
180	5A180	5A	5	A	Addition	Addition	2020	2020-04-28T20:00:00Z	119	2020-04-28T17:00:00Z	119	Early	119	early	2020-04-28T18:00:00Z	125.66666666666667	-6.666666666666671	41	4	0	8	5	0	0	0	0	1	0	1	2
183	2B183	2B	2	B	Control	Mock rainout	2020	2020-04-29T17:00:00Z	120	2020-04-28T19:00:00Z	119	Early	120	early	2020-04-29T18:00:00Z	125.66666666666667	-5.666666666666671	45	6	4	12	3	0	0	0	1	3	0	3	3
184	2B184	2B	2	B	Control	Mock rainout	2020	2020-04-29T17:00:00Z	120	2020-04-28T19:00:00Z	119	Early	120	early	2020-04-29T18:00:00Z	125.66666666666667	-5.666666666666671	0	0	1	0	2	0	0	0	0	0	0	0	1
184	3C184	3C	3	C	Addition	Addition	2020	2020-05-04T21:00:00Z	125	2020-05-04T15:00:00Z	125	Normal	126	normal	2020-05-05T18:00:00Z	125.66666666666667	-0.6666666666666714	127	12	5	4	3	0	0	0	5	1	1	0	2
185	2B185	2B	2	B	Control	Mock rainout	2020	2020-04-29T17:00:00Z	120	2020-04-28T19:00:00Z	119	Early	120	early	2020-04-29T18:00:00Z	125.66666666666667	-5.666666666666671	12	3	2	1	1	0	0	0	0	0	0	0	1
185	5A185	5A	5	A	Addition	Addition	2020	2020-04-28T20:00:00Z	119	2020-04-28T17:00:00Z	119	Early	119	early	2020-04-28T18:00:00Z	125.66666666666667	-6.666666666666671	46	15	11	10	2	0	0	0	0	0	0	0	4
186	2B186	2B	2	B	Control	Mock rainout	2020	2020-04-29T17:00:00Z	120	2020-04-28T19:00:00Z	119	Early	120	early	2020-04-29T18:00:00Z	125.66666666666667	-5.666666666666671	0	0	3	13	3	0	0	0	0	6	0	6	2
187	2D187	2D	2	D	Addition	Addition	2020	2020-04-29T17:00:00Z	120	2020-04-28T19:00:00Z	119	Early	120	early	2020-04-29T18:00:00Z	125.66666666666667	-5.666666666666671	168	37	40	0	23	0	0	0	2	6	0	6	3
187	4C187	4C	4	C	Control	Control	2020	2020-04-30T19:00:00Z	121	2020-04-28T18:00:00Z	119	Early	119	early	2020-04-28T18:00:00Z	125.66666666666667	-4.666666666666671	29	5	0	20	0	0	0	0	1	4	0	4	3
188	2B188	2B	2	B	Control	Mock rainout	2020	2020-04-29T17:00:00Z	120	2020-04-28T19:00:00Z	119	Early	120	early	2020-04-29T18:00:00Z	125.66666666666667	-5.666666666666671	70	5	1	6	2	0	0	0	1	0	0	0	3
189	2B189	2B	2	B	Control	Mock rainout	2020	2020-04-29T17:00:00Z	120	2020-04-28T19:00:00Z	119	Early	120	early	2020-04-29T18:00:00Z	125.66666666666667	-5.666666666666671	80	5	12	22	3	0	0	0	0	5	0	5	3
189	3C189	3C	3	C	Addition	Addition	2020	2020-05-04T21:00:00Z	125	2020-05-04T15:00:00Z	125	Normal	126	normal	2020-05-05T18:00:00Z	125.66666666666667	-0.6666666666666714	0	0	0	0	1	0	0	0	0	0	0	0	1
189	5A189	5A	5	A	Addition	Addition	2020	2020-04-28T20:00:00Z	119	2020-04-28T17:00:00Z	119	Early	119	early	2020-04-28T18:00:00Z	125.66666666666667	-6.666666666666671	32	4	3	0	2	0	0	1	0	0	0	0	2
190	2B190	2B	2	B	Control	Mock rainout	2020	2020-04-29T17:00:00Z	120	2020-04-28T19:00:00Z	119	Early	120	early	2020-04-29T18:00:00Z	125.66666666666667	-5.666666666666671	137	24	38	47	4	0	0	0	1	2	0	2	3
191	2D191	2D	2	D	Addition	Addition	2020	2020-04-29T17:00:00Z	120	2020-04-28T19:00:00Z	119	Early	120	early	2020-04-29T18:00:00Z	125.66666666666667	-5.666666666666671	0	0	0	5	0	0	0	0	3	14	0	14	1
191	5A191	5A	5	A	Addition	Addition	2020	2020-04-28T20:00:00Z	119	2020-04-28T17:00:00Z	119	Early	119	early	2020-04-28T18:00:00Z	125.66666666666667	-6.666666666666671	2	1	9	1	1	0	0	0	0	0	0	0	3
191	5B191	5B	5	B	Control	Mock rainout	2020	2020-04-28T20:00:00Z	119	2020-04-28T17:00:00Z	119	Early	119	early	2020-04-28T18:00:00Z	125.66666666666667	-6.666666666666671	0	0	0	4	1	0	0	0	0	6	0	6	1
192	4C192	4C	4	C	Control	Control	2020	2020-04-30T19:00:00Z	121	2020-04-28T18:00:00Z	119	Early	119	early	2020-04-28T18:00:00Z	125.66666666666667	-4.666666666666671	5	1	0	7	0	0	0	0	0	9	0	9	1
193	2D193	2D	2	D	Addition	Addition	2020	2020-04-29T17:00:00Z	120	2020-04-28T19:00:00Z	119	Early	120	early	2020-04-29T18:00:00Z	125.66666666666667	-5.666666666666671	60	13	51	38	30	0	0	1	0	6	0	6	4
193	4C193	4C	4	C	Control	Control	2020	2020-04-30T19:00:00Z	121	2020-04-28T18:00:00Z	119	Early	119	early	2020-04-28T18:00:00Z	125.66666666666667	-4.666666666666671	31	6	2	3	3	0	0	0	2	1	1	0	2
194	2D194	2D	2	D	Addition	Addition	2020	2020-04-29T17:00:00Z	120	2020-04-28T19:00:00Z	119	Early	120	early	2020-04-29T18:00:00Z	125.66666666666667	-5.666666666666671	100	16	12	11	7	0	0	0	15	6	0	6	3
195	2B195	2B	2	B	Control	Mock rainout	2020	2020-04-29T17:00:00Z	120	2020-04-28T19:00:00Z	119	Early	120	early	2020-04-29T18:00:00Z	125.66666666666667	-5.666666666666671	44	5	1	8	6	0	0	0	2	0	0	0	2
195	4C195	4C	4	C	Control	Control	2020	2020-04-30T19:00:00Z	121	2020-04-28T18:00:00Z	119	Early	119	early	2020-04-28T18:00:00Z	125.66666666666667	-4.666666666666671	140	12	33	5	25	0	0	1	0	0	0	0	5
196	4C196	4C	4	C	Control	Control	2020	2020-04-30T19:00:00Z	121	2020-04-28T18:00:00Z	119	Early	119	early	2020-04-28T18:00:00Z	125.66666666666667	-4.666666666666671	25	3	0	11	0	0	0	0	0	1	0	1	2
196	5A196	5A	5	A	Addition	Addition	2020	2020-04-28T20:00:00Z	119	2020-04-28T17:00:00Z	119	Early	119	early	2020-04-28T18:00:00Z	125.66666666666667	-6.666666666666671	12	2	6	1	0	0	0	0	0	0	0	0	3
197	2B197	2B	2	B	Control	Mock rainout	2020	2020-04-29T17:00:00Z	120	2020-04-28T19:00:00Z	119	Early	120	early	2020-04-29T18:00:00Z	125.66666666666667	-5.666666666666671	0	0	0	10	1	0	0	0	0	4	0	4	2
20	1D20	1D	1	D	Reduction	Reduction	2020	2020-05-04T15:00:00Z	125	2020-05-02T18:00:00Z	123	Normal	125	normal	2020-05-04T18:00:00Z	125.66666666666667	-0.6666666666666714	57	6	8	15	3	0	0	0	0	1	1	0	3
20	5B20	5B	5	B	Control	Mock rainout	2020	2020-04-28T20:00:00Z	119	2020-04-28T17:00:00Z	119	Early	119	early	2020-04-28T18:00:00Z	125.66666666666667	-6.666666666666671	82	13	121	26	16	0	0	0	0	1	0	1	4
202	5A202	5A	5	A	Addition	Addition	2020	2020-04-28T20:00:00Z	119	2020-04-28T17:00:00Z	119	Early	119	early	2020-04-28T18:00:00Z	125.66666666666667	-6.666666666666671	0	0	0	17	0	0	0	2	0	2	0	2	2
202	5C202	5C	5	C	Reduction	Reduction	2020	2020-04-28T20:00:00Z	119	2020-04-28T17:00:00Z	119	Early	119	early	2020-04-28T18:00:00Z	125.66666666666667	-6.666666666666671	51	10	16	5	8	0	0	0	0	9	2	7	4
204	1D204	1D	1	D	Reduction	Reduction	2020	2020-05-04T15:00:00Z	125	2020-05-02T18:00:00Z	123	Normal	125	normal	2020-05-04T18:00:00Z	125.66666666666667	-0.6666666666666714	0	0	10	0	0	0	0	0	0	0	0	0	1
204	2D204	2D	2	D	Addition	Addition	2020	2020-04-29T17:00:00Z	120	2020-04-28T19:00:00Z	119	Early	120	early	2020-04-29T18:00:00Z	125.66666666666667	-5.666666666666671	70	13	7	25	9	0	0	0	0	2	0	2	3
204	3D204	3D	3	D	Control	Control	2020	2020-05-04T21:00:00Z	125	2020-05-04T15:00:00Z	125	Normal	126	normal	2020-05-05T18:00:00Z	125.66666666666667	-0.6666666666666714	40	3	0	0	6	0	0	0	0	0	0	0	1
207	2D207	2D	2	D	Addition	Addition	2020	2020-04-29T17:00:00Z	120	2020-04-28T19:00:00Z	119	Early	120	early	2020-04-29T18:00:00Z	125.66666666666667	-5.666666666666671	0	0	0	4	9	0	0	0	4	2	2	0	1
207	5C207	5C	5	C	Reduction	Reduction	2020	2020-04-28T20:00:00Z	119	2020-04-28T17:00:00Z	119	Early	119	early	2020-04-28T18:00:00Z	125.66666666666667	-6.666666666666671	11	1	6	6	2	0	0	0	0	3	0	3	4
208	5B208	5B	5	B	Control	Mock rainout	2020	2020-04-28T20:00:00Z	119	2020-04-28T17:00:00Z	119	Early	119	early	2020-04-28T18:00:00Z	125.66666666666667	-6.666666666666671	2	1	2	14	0	0	0	1	0	1	0	1	1
208	5C208	5C	5	C	Reduction	Reduction	2020	2020-04-28T20:00:00Z	119	2020-04-28T17:00:00Z	119	Early	119	early	2020-04-28T18:00:00Z	125.66666666666667	-6.666666666666671	2	1	2	5	0	0	0	11	0	0	0	0	2
21	6B21	6B	6	B	Reduction	Reduction	2020	2020-05-06T18:00:00Z	127	2020-05-05T19:00:00Z	126	Normal	127	normal	2020-05-06T18:00:00Z	125.66666666666667	1.3333333333333286	32	8	5	5	1	0	0	0	1	0	0	0	3
21	6C21	6C	6	C	Control	Mock rainout	2020	2020-05-06T18:00:00Z	127	2020-05-05T19:00:00Z	126	Normal	127	normal	2020-05-06T18:00:00Z	125.66666666666667	1.3333333333333286	57	12	0	14	0	0	0	0	0	0	0	0	1
210	2D210	2D	2	D	Addition	Addition	2020	2020-04-29T17:00:00Z	120	2020-04-28T19:00:00Z	119	Early	120	early	2020-04-29T18:00:00Z	125.66666666666667	-5.666666666666671	9	2	4	26	18	0	0	1	14	12	0	12	3
211	5C211	5C	5	C	Reduction	Reduction	2020	2020-04-28T20:00:00Z	119	2020-04-28T17:00:00Z	119	Early	119	early	2020-04-28T18:00:00Z	125.66666666666667	-6.666666666666671	0	0	0	0	0	0	0	0	0	0	0	0	1
213	4C213	4C	4	C	Control	Control	2020	2020-04-30T19:00:00Z	121	2020-04-28T18:00:00Z	119	Early	119	early	2020-04-28T18:00:00Z	125.66666666666667	-4.666666666666671	32	6	15	21	12	0	0	0	0	3	0	3	5
214	2D214	2D	2	D	Addition	Addition	2020	2020-04-29T17:00:00Z	120	2020-04-28T19:00:00Z	119	Early	120	early	2020-04-29T18:00:00Z	125.66666666666667	-5.666666666666671	0	0	5	6	1	0	0	0	3	1	0	1	2
218	5C218	5C	5	C	Reduction	Reduction	2020	2020-04-28T20:00:00Z	119	2020-04-28T17:00:00Z	119	Early	119	early	2020-04-28T18:00:00Z	125.66666666666667	-6.666666666666671	56	6	9	1	2	0	0	0	0	0	0	0	2
219	2D219	2D	2	D	Addition	Addition	2020	2020-04-29T17:00:00Z	120	2020-04-28T19:00:00Z	119	Early	120	early	2020-04-29T18:00:00Z	125.66666666666667	-5.666666666666671	52	8	14	11	14	0	0	0	11	9	0	9	3
22	1D22	1D	1	D	Reduction	Reduction	2020	2020-05-04T15:00:00Z	125	2020-05-02T18:00:00Z	123	Normal	125	normal	2020-05-04T18:00:00Z	125.66666666666667	-0.6666666666666714	15	3	7	0	3	0	0	0	0	0	0	0	2
22	3B22	3B	3	B	Control	Mock rainout	2020	2020-05-04T21:00:00Z	125	2020-05-04T15:00:00Z	125	Normal	126	normal	2020-05-05T18:00:00Z	125.66666666666667	-0.6666666666666714	0	0	0	3	0	0	0	0	0	0	0	0	1
220	2D220	2D	2	D	Addition	Addition	2020	2020-04-29T17:00:00Z	120	2020-04-28T19:00:00Z	119	Early	120	early	2020-04-29T18:00:00Z	125.66666666666667	-5.666666666666671	0	0	8	8	3	0	0	0	2	0	0	0	1
221	5C221	5C	5	C	Reduction	Reduction	2020	2020-04-28T20:00:00Z	119	2020-04-28T17:00:00Z	119	Early	119	early	2020-04-28T18:00:00Z	125.66666666666667	-6.666666666666671	5	1	18	13	2	0	0	0	0	0	0	0	3
224	5C224	5C	5	C	Reduction	Reduction	2020	2020-04-28T20:00:00Z	119	2020-04-28T17:00:00Z	119	Early	119	early	2020-04-28T18:00:00Z	125.66666666666667	-6.666666666666671	20	3	21	43	2	0	0	3	0	0	0	0	5
225	5C225	5C	5	C	Reduction	Reduction	2020	2020-04-28T20:00:00Z	119	2020-04-28T17:00:00Z	119	Early	119	early	2020-04-28T18:00:00Z	125.66666666666667	-6.666666666666671	42	8	3	16	3	0	0	0	0	2	0	2	5
230	1A230	1A	1	A	Addition	Addition	2020	2020-05-04T15:00:00Z	125	2020-05-02T18:00:00Z	123	Normal	125	normal	2020-05-04T18:00:00Z	125.66666666666667	-0.6666666666666714	21	3	10	22	7	0	0	0	0	0	0	0	3
230	5D230	5D	5	D	Control	Control	2020	2020-04-28T20:00:00Z	119	2020-04-28T17:00:00Z	119	Early	119	early	2020-04-28T18:00:00Z	125.66666666666667	-6.666666666666671	67	9	11	15	0	0	0	0	0	0	0	0	2
233	1A233	1A	1	A	Addition	Addition	2020	2020-05-04T15:00:00Z	125	2020-05-02T18:00:00Z	123	Normal	125	normal	2020-05-04T18:00:00Z	125.66666666666667	-0.6666666666666714	10	1	3	0	2	0	0	0	0	0	0	0	3
235	1A235	1A	1	A	Addition	Addition	2020	2020-05-04T15:00:00Z	125	2020-05-02T18:00:00Z	123	Normal	125	normal	2020-05-04T18:00:00Z	125.66666666666667	-0.6666666666666714	7	1	4	0	1	0	0	0	0	0	0	0	2
237	1A237	1A	1	A	Addition	Addition	2020	2020-05-04T15:00:00Z	125	2020-05-02T18:00:00Z	123	Normal	125	normal	2020-05-04T18:00:00Z	125.66666666666667	-0.6666666666666714	1	1	5	4	0	0	0	0	0	0	0	0	2
24	1D24	1D	1	D	Reduction	Reduction	2020	2020-05-04T15:00:00Z	125	2020-05-02T18:00:00Z	123	Normal	125	normal	2020-05-04T18:00:00Z	125.66666666666667	-0.6666666666666714	111	11	19	10	19	0	0	1	0	0	0	0	4
240	1A240	1A	1	A	Addition	Addition	2020	2020-05-04T15:00:00Z	125	2020-05-02T18:00:00Z	123	Normal	125	normal	2020-05-04T18:00:00Z	125.66666666666667	-0.6666666666666714	23	4	7	1	0	0	0	0	0	0	0	0	3
242	5D242	5D	5	D	Control	Control	2020	2020-04-28T20:00:00Z	119	2020-04-28T17:00:00Z	119	Early	119	early	2020-04-28T18:00:00Z	125.66666666666667	-6.666666666666671	74	10	22	16	3	0	0	0	0	0	0	0	4
243	1A243	1A	1	A	Addition	Addition	2020	2020-05-04T15:00:00Z	125	2020-05-02T18:00:00Z	123	Normal	125	normal	2020-05-04T18:00:00Z	125.66666666666667	-0.6666666666666714	51	5	8	31	2	0	0	0	0	1	1	0	2
243	6B243	6B	6	B	Reduction	Reduction	2020	2020-05-06T18:00:00Z	127	2020-05-05T19:00:00Z	126	Normal	127	normal	2020-05-06T18:00:00Z	125.66666666666667	1.3333333333333286	36	7	4	22	6	0	0	0	0	14	3	11	3
244	1A244	1A	1	A	Addition	Addition	2020	2020-05-04T15:00:00Z	125	2020-05-02T18:00:00Z	123	Normal	125	normal	2020-05-04T18:00:00Z	125.66666666666667	-0.6666666666666714	4	1	14	12	8	0	0	0	2	0	0	0	3
