plantid	plot	other_notes	subplot	flowering	plant	date	rosettes	r1_longest	r1_leaves	r2_longest	r2_leaves	r3_longest	r3_leaves	r4_longest	r4_leaves	r5_longest	r5_leaves	r6_longest	r6_leaves	plotid	year	notes	n_rosettes	discard	separate	modify	plantid_new	transition_fixed	status_18_fixed	status_20_fixed	modified	status	flowered	survived	water	water4	sun_time	sun_date	warm_time	warm_date	snow	melt_date	snow_new	melt_time	sun_date_normal_mean	melt_offset	water_begin	water_end	last_day	precip_prewater_mm	precip_postwater_mm	precip_est_mm
1B657	1	NA	B	y	657	2019-07-02T00:00:00Z	blank	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1B	2019	blank	NA				NA	vegetative > flowering > dead_nf	vegetative	dead_nf	FALSE	flowering	0	0	Control	Control	2019-06-06T17:00:00Z	157	2019-06-06T15:00:00Z	157	Normal	157	normal	2019-06-06T18:00:00Z	157.75	-0.75	175	227	219	18.420841963803518	26.20513324528178	44.6259752090853
1B658	1	NA	B	n	658	2019-07-02T00:00:00Z	one_or_more	21	10	42	15	NA	NA	NA	NA	NA	NA	NA	NA	1B	2019	blank	2				NA	vegetative > vegetative > flowering	vegetative	flowering	FALSE	vegetative	1	1	Control	Control	2019-06-06T17:00:00Z	157	2019-06-06T15:00:00Z	157	Normal	157	normal	2019-06-06T18:00:00Z	157.75	-0.75	175	227	219	18.420841963803518	26.20513324528178	44.6259752090853
1B659	1	2 ts	B	n	659	2019-07-02T00:00:00Z	one_or_more	28	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1B	2019	ts	3				NA	vegetative > vegetative > vegetative	vegetative	vegetative	FALSE	vegetative	0	1	Control	Control	2019-06-06T17:00:00Z	157	2019-06-06T15:00:00Z	157	Normal	157	normal	2019-06-06T18:00:00Z	157.75	-0.75	175	227	219	18.420841963803518	26.20513324528178	44.6259752090853
1B660	1	4 ts	B	n	660	2019-07-02T00:00:00Z	one_or_more	39	8	52	8	22	11	NA	NA	NA	NA	NA	NA	1B	2019	ts	7				NA	vegetative > vegetative > vegetative	vegetative	vegetative	FALSE	vegetative	0	1	Control	Control	2019-06-06T17:00:00Z	157	2019-06-06T15:00:00Z	157	Normal	157	normal	2019-06-06T18:00:00Z	157.75	-0.75	175	227	219	18.420841963803518	26.20513324528178	44.6259752090853
1B661	1	nf	B	blank	661	2019-07-02T00:00:00Z	blank	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1B	2019	nf	NA				NA	vegetative > vegetative > vegetative	vegetative	vegetative	FALSE	vegetative	0	1	Control	Control	2019-06-06T17:00:00Z	157	2019-06-06T15:00:00Z	157	Normal	157	normal	2019-06-06T18:00:00Z	157.75	-0.75	175	227	219	18.420841963803518	26.20513324528178	44.6259752090853
1B662	1	NA	B	n	662	2019-07-02T00:00:00Z	one_or_more	39	25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1B	2019	blank	1		pheno18		NA	vegetative > vegetative > vegetative	vegetative	vegetative	FALSE	vegetative	0	1	Control	Control	2019-06-06T17:00:00Z	157	2019-06-06T15:00:00Z	157	Normal	157	normal	2019-06-06T18:00:00Z	157.75	-0.75	175	227	219	18.420841963803518	26.20513324528178	44.6259752090853
1B663	1	NA	B	n	663	2019-07-02T00:00:00Z	indist	41	48	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1B	2019	blank	NA				NA	vegetative > vegetative > vegetative	vegetative	vegetative	FALSE	vegetative	0	1	Control	Control	2019-06-06T17:00:00Z	157	2019-06-06T15:00:00Z	157	Normal	157	normal	2019-06-06T18:00:00Z	157.75	-0.75	175	227	219	18.420841963803518	26.20513324528178	44.6259752090853
1B664	1	dead	B	n	664	2019-07-02T00:00:00Z	zero	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1B	2019	dead	0				NA	flowering > dead_nf > dead_nf	flowering	dead_nf	FALSE	dead_nf	0	0	Control	Control	2019-06-06T17:00:00Z	157	2019-06-06T15:00:00Z	157	Normal	157	normal	2019-06-06T18:00:00Z	157.75	-0.75	175	227	219	18.420841963803518	26.20513324528178	44.6259752090853
1B665	1	down from tag, ts	B	n	665	2019-07-02T00:00:00Z	indist	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1B	2019	ts	NA				NA	flowering > vegetative > vegetative	flowering	vegetative	FALSE	vegetative	0	1	Control	Control	2019-06-06T17:00:00Z	157	2019-06-06T15:00:00Z	157	Normal	157	normal	2019-06-06T18:00:00Z	157.75	-0.75	175	227	219	18.420841963803518	26.20513324528178	44.6259752090853
1B666	1	L of tag by about 1 inch	B	n	666	2019-07-02T00:00:00Z	one_or_more	66	43	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1B	2019	blank	1				NA	vegetative > vegetative > vegetative	vegetative	vegetative	FALSE	vegetative	0	1	Control	Control	2019-06-06T17:00:00Z	157	2019-06-06T15:00:00Z	157	Normal	157	normal	2019-06-06T18:00:00Z	157.75	-0.75	175	227	219	18.420841963803518	26.20513324528178	44.6259752090853
1B667	1	dead	B	n	667	2019-07-02T00:00:00Z	zero	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1B	2019	dead	0				NA	vegetative > dead_nf > dead_nf	vegetative	dead_nf	FALSE	dead_nf	0	0	Control	Control	2019-06-06T17:00:00Z	157	2019-06-06T15:00:00Z	157	Normal	157	normal	2019-06-06T18:00:00Z	157.75	-0.75	175	227	219	18.420841963803518	26.20513324528178	44.6259752090853
1B668	1	nf	B	blank	668	2019-07-02T00:00:00Z	blank	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1B	2019	nf	NA				NA	flowering > dead_nf > dead_nf	flowering	dead_nf	FALSE	dead_nf	0	0	Control	Control	2019-06-06T17:00:00Z	157	2019-06-06T15:00:00Z	157	Normal	157	normal	2019-06-06T18:00:00Z	157.75	-0.75	175	227	219	18.420841963803518	26.20513324528178	44.6259752090853
1B669	1	NA	B	n	669	2019-07-02T00:00:00Z	one_or_more	40	25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1B	2019	blank	1				NA	vegetative > vegetative > vegetative	vegetative	vegetative	FALSE	vegetative	0	1	Control	Control	2019-06-06T17:00:00Z	157	2019-06-06T15:00:00Z	157	Normal	157	normal	2019-06-06T18:00:00Z	157.75	-0.75	175	227	219	18.420841963803518	26.20513324528178	44.6259752090853
1B670	1	NA	B	y	670	2019-07-02T00:00:00Z	blank	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1B	2019	blank	NA				NA	vegetative > flowering > dead_nf	vegetative	dead_nf	FALSE	flowering	0	0	Control	Control	2019-06-06T17:00:00Z	157	2019-06-06T15:00:00Z	157	Normal	157	normal	2019-06-06T18:00:00Z	157.75	-0.75	175	227	219	18.420841963803518	26.20513324528178	44.6259752090853
1B671	1	1 ts	B	n	671	2019-07-02T00:00:00Z	one_or_more	40	35	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1B	2019	ts	2				NA	vegetative > vegetative > dead_nf	vegetative	dead_nf	FALSE	vegetative	0	0	Control	Control	2019-06-06T17:00:00Z	157	2019-06-06T15:00:00Z	157	Normal	157	normal	2019-06-06T18:00:00Z	157.75	-0.75	175	227	219	18.420841963803518	26.20513324528178	44.6259752090853
1B672	1	NA	B	n	672	2019-07-02T00:00:00Z	one_or_more	41	27	47	28	NA	NA	NA	NA	NA	NA	NA	NA	1B	2019	blank	2				NA	vegetative > vegetative > flowering	vegetative	flowering	FALSE	vegetative	1	1	Control	Control	2019-06-06T17:00:00Z	157	2019-06-06T15:00:00Z	157	Normal	157	normal	2019-06-06T18:00:00Z	157.75	-0.75	175	227	219	18.420841963803518	26.20513324528178	44.6259752090853
1B673	1	1 ts	B	n	673	2019-07-02T00:00:00Z	one_or_more	32	16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1B	2019	ts	2				NA	vegetative > vegetative > vegetative	vegetative	vegetative	FALSE	vegetative	0	1	Control	Control	2019-06-06T17:00:00Z	157	2019-06-06T15:00:00Z	157	Normal	157	normal	2019-06-06T18:00:00Z	157.75	-0.75	175	227	219	18.420841963803518	26.20513324528178	44.6259752090853
1B674	1	NA	B	n	674	2019-07-02T00:00:00Z	one_or_more	40	24	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1B	2019	blank	1				NA	vegetative > vegetative > vegetative	vegetative	vegetative	FALSE	vegetative	0	1	Control	Control	2019-06-06T17:00:00Z	157	2019-06-06T15:00:00Z	157	Normal	157	normal	2019-06-06T18:00:00Z	157.75	-0.75	175	227	219	18.420841963803518	26.20513324528178	44.6259752090853
1B675	1	dead	B	n	675	2019-07-02T00:00:00Z	zero	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1B	2019	dead	0				NA	flowering > dead_nf > dead_nf	flowering	dead_nf	FALSE	dead_nf	0	0	Control	Control	2019-06-06T17:00:00Z	157	2019-06-06T15:00:00Z	157	Normal	157	normal	2019-06-06T18:00:00Z	157.75	-0.75	175	227	219	18.420841963803518	26.20513324528178	44.6259752090853
1B676	1	dead	B	n	676	2019-07-02T00:00:00Z	zero	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1B	2019	dead	0				NA	vegetative > dead_nf > dead_nf	vegetative	dead_nf	FALSE	dead_nf	0	0	Control	Control	2019-06-06T17:00:00Z	157	2019-06-06T15:00:00Z	157	Normal	157	normal	2019-06-06T18:00:00Z	157.75	-0.75	175	227	219	18.420841963803518	26.20513324528178	44.6259752090853
1B677	1	NA	B	n	677	2019-06-25T00:00:00Z	one_or_more	41	37	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1B	2019	blank	1				NA	vegetative > vegetative > tagnf	vegetative	tagnf	FALSE	vegetative	NA	NA	Control	Control	2019-06-06T17:00:00Z	157	2019-06-06T15:00:00Z	157	Normal	157	normal	2019-06-06T18:00:00Z	157.75	-0.75	175	227	219	18.420841963803518	26.20513324528178	44.6259752090853
1B678	1	nf	B	blank	678	2019-06-25T00:00:00Z	blank	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1B	2019	nf	NA				NA	flowering > dead_nf > dead_nf	flowering	dead_nf	FALSE	dead_nf	0	0	Control	Control	2019-06-06T17:00:00Z	157	2019-06-06T15:00:00Z	157	Normal	157	normal	2019-06-06T18:00:00Z	157.75	-0.75	175	227	219	18.420841963803518	26.20513324528178	44.6259752090853
1B684	1	NA	B	y	684	2019-07-19T00:00:00Z	blank	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1B	2019	blank	NA				NA	vegetative > flowering > vegetative	vegetative	vegetative	FALSE	flowering	0	1	Control	Control	2019-06-06T17:00:00Z	157	2019-06-06T15:00:00Z	157	Normal	157	normal	2019-06-06T18:00:00Z	157.75	-0.75	175	227	219	18.420841963803518	26.20513324528178	44.6259752090853
1B685	1	NA	B	y	685	2019-06-25T00:00:00Z	blank	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1B	2019	blank	NA				NA	vegetative > flowering > dead_nf	vegetative	dead_nf	FALSE	flowering	0	0	Control	Control	2019-06-06T17:00:00Z	157	2019-06-06T15:00:00Z	157	Normal	157	normal	2019-06-06T18:00:00Z	157.75	-0.75	175	227	219	18.420841963803518	26.20513324528178	44.6259752090853
1D1	1	nf	D	blank	1	2019-06-25T00:00:00Z	blank	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1D	2019	nf	NA				NA	vegetative > dead_nf > dead_nf	vegetative	dead_nf	FALSE	dead_nf	0	0	Reduction	Reduction	2019-06-06T17:00:00Z	157	2019-06-06T15:00:00Z	157	Normal	157	normal	2019-06-06T18:00:00Z	157.75	-0.75	175	227	219	18.420841963803518	13.10256662264089	31.523408586444408
1D2	1	nf	D	blank	2	2019-06-25T00:00:00Z	blank	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1D	2019	nf	NA		census20 leaf20		NA	vegetative > dead_nf > dead_nf	vegetative	dead_nf	FALSE	dead_nf	0	0	Reduction	Reduction	2019-06-06T17:00:00Z	157	2019-06-06T15:00:00Z	157	Normal	157	normal	2019-06-06T18:00:00Z	157.75	-0.75	175	227	219	18.420841963803518	13.10256662264089	31.523408586444408
1D3	1	nf	D	blank	3	2019-06-25T00:00:00Z	blank	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1D	2019	nf	NA				NA	vegetative > dead_nf > dead_nf	vegetative	dead_nf	FALSE	dead_nf	0	0	Reduction	Reduction	2019-06-06T17:00:00Z	157	2019-06-06T15:00:00Z	157	Normal	157	normal	2019-06-06T18:00:00Z	157.75	-0.75	175	227	219	18.420841963803518	13.10256662264089	31.523408586444408
1D4	1	NA	D	n	4	2019-06-25T00:00:00Z	one_or_more	51	20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1D	2019	blank	1				NA	vegetative > vegetative > vegetative	vegetative	vegetative	FALSE	vegetative	0	1	Reduction	Reduction	2019-06-06T17:00:00Z	157	2019-06-06T15:00:00Z	157	Normal	157	normal	2019-06-06T18:00:00Z	157.75	-0.75	175	227	219	18.420841963803518	13.10256662264089	31.523408586444408
1D5	1	NA	D	y	5	2019-06-25T00:00:00Z	one_or_more	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1D	2019	blank	1		census20 pheno20 floral20 seeds20		NA	vegetative > flowering > dead_nf	vegetative	dead_nf	FALSE	flowering	0	0	Reduction	Reduction	2019-06-06T17:00:00Z	157	2019-06-06T15:00:00Z	157	Normal	157	normal	2019-06-06T18:00:00Z	157.75	-0.75	175	227	219	18.420841963803518	13.10256662264089	31.523408586444408
1D6	1	NA	D	n	6	2019-06-25T00:00:00Z	one_or_more	39	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1D	2019	blank	1				NA	vegetative > vegetative > flowering	vegetative	flowering	FALSE	vegetative	1	1	Reduction	Reduction	2019-06-06T17:00:00Z	157	2019-06-06T15:00:00Z	157	Normal	157	normal	2019-06-06T18:00:00Z	157.75	-0.75	175	227	219	18.420841963803518	13.10256662264089	31.523408586444408
1D7	1	NA	D	n	7	2019-06-25T00:00:00Z	indist	50	23	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1D	2019	blank	NA				NA	vegetative > vegetative > tagnf	vegetative	tagnf	FALSE	vegetative	NA	NA	Reduction	Reduction	2019-06-06T17:00:00Z	157	2019-06-06T15:00:00Z	157	Normal	157	normal	2019-06-06T18:00:00Z	157.75	-0.75	175	227	219	18.420841963803518	13.10256662264089	31.523408586444408
1D8	1	nf	D	blank	8	2019-06-25T00:00:00Z	blank	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1D	2019	nf	NA				NA	vegetative > dead_nf > dead_nf	vegetative	dead_nf	FALSE	dead_nf	0	0	Reduction	Reduction	2019-06-06T17:00:00Z	157	2019-06-06T15:00:00Z	157	Normal	157	normal	2019-06-06T18:00:00Z	157.75	-0.75	175	227	219	18.420841963803518	13.10256662264089	31.523408586444408
1D9	1	NA	D	n	9	2019-06-25T00:00:00Z	indist	40	35	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1D	2019	blank	NA				NA	vegetative > vegetative > flowering	vegetative	flowering	FALSE	vegetative	1	1	Reduction	Reduction	2019-06-06T17:00:00Z	157	2019-06-06T15:00:00Z	157	Normal	157	normal	2019-06-06T18:00:00Z	157.75	-0.75	175	227	219	18.420841963803518	13.10256662264089	31.523408586444408
1D10	1	nf	D	blank	10	2019-06-25T00:00:00Z	blank	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1D	2019	nf	NA				NA	vegetative > dead_nf > dead_nf	vegetative	dead_nf	FALSE	dead_nf	0	0	Reduction	Reduction	2019-06-06T17:00:00Z	157	2019-06-06T15:00:00Z	157	Normal	157	normal	2019-06-06T18:00:00Z	157.75	-0.75	175	227	219	18.420841963803518	13.10256662264089	31.523408586444408
1D11	1	below tag by 1 inch	D	n	11	2019-06-25T00:00:00Z	one_or_more	28	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1D	2019	blank	1				NA	vegetative > vegetative > vegetative	vegetative	vegetative	FALSE	vegetative	0	1	Reduction	Reduction	2019-06-06T17:00:00Z	157	2019-06-06T15:00:00Z	157	Normal	157	normal	2019-06-06T18:00:00Z	157.75	-0.75	175	227	219	18.420841963803518	13.10256662264089	31.523408586444408
1D12	1	NA	D	n	12	2019-06-25T00:00:00Z	indist	49	45	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1D	2019	blank	NA				NA	vegetative > vegetative > flowering	vegetative	flowering	FALSE	vegetative	1	1	Reduction	Reduction	2019-06-06T17:00:00Z	157	2019-06-06T15:00:00Z	157	Normal	157	normal	2019-06-06T18:00:00Z	157.75	-0.75	175	227	219	18.420841963803518	13.10256662264089	31.523408586444408
1D13	1	nf	D	blank	13	2019-06-25T00:00:00Z	blank	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1D	2019	nf	NA		census20 leaf20 licor20		NA	vegetative > dead_nf > dead_nf	vegetative	dead_nf	FALSE	dead_nf	0	0	Reduction	Reduction	2019-06-06T17:00:00Z	157	2019-06-06T15:00:00Z	157	Normal	157	normal	2019-06-06T18:00:00Z	157.75	-0.75	175	227	219	18.420841963803518	13.10256662264089	31.523408586444408
1D14	1	NA	D	n	14	2019-06-25T00:00:00Z	one_or_more	53	39	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1D	2019	blank	1				NA	vegetative > vegetative > flowering	vegetative	flowering	FALSE	vegetative	1	1	Reduction	Reduction	2019-06-06T17:00:00Z	157	2019-06-06T15:00:00Z	157	Normal	157	normal	2019-06-06T18:00:00Z	157.75	-0.75	175	227	219	18.420841963803518	13.10256662264089	31.523408586444408
1D15	1	chewed, ts	D	n	15	2019-06-25T00:00:00Z	zero	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1D	2019	chewed	0				NA	vegetative > vegetative > dead_nf	vegetative	dead_nf	FALSE	vegetative	0	0	Reduction	Reduction	2019-06-06T17:00:00Z	157	2019-06-06T15:00:00Z	157	Normal	157	normal	2019-06-06T18:00:00Z	157.75	-0.75	175	227	219	18.420841963803518	13.10256662264089	31.523408586444408
1D16	1	NA	D	n	16	2019-06-25T00:00:00Z	one_or_more	32	17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1D	2019	blank	1				NA	vegetative > vegetative > vegetative	vegetative	vegetative	FALSE	vegetative	0	1	Reduction	Reduction	2019-06-06T17:00:00Z	157	2019-06-06T15:00:00Z	157	Normal	157	normal	2019-06-06T18:00:00Z	157.75	-0.75	175	227	219	18.420841963803518	13.10256662264089	31.523408586444408
1D17	1	nf	D	blank	17	2019-06-25T00:00:00Z	blank	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1D	2019	nf	NA				NA	vegetative > vegetative > flowering	vegetative	flowering	FALSE	vegetative	1	1	Reduction	Reduction	2019-06-06T17:00:00Z	157	2019-06-06T15:00:00Z	157	Normal	157	normal	2019-06-06T18:00:00Z	157.75	-0.75	175	227	219	18.420841963803518	13.10256662264089	31.523408586444408
1D18	1	chewed	D	n	18	2019-06-25T00:00:00Z	zero	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1D	2019	chewed	0				NA	vegetative > vegetative > dead_nf	vegetative	dead_nf	FALSE	vegetative	0	0	Reduction	Reduction	2019-06-06T17:00:00Z	157	2019-06-06T15:00:00Z	157	Normal	157	normal	2019-06-06T18:00:00Z	157.75	-0.75	175	227	219	18.420841963803518	13.10256662264089	31.523408586444408
1D19	1	NA	D	y	19	2019-06-25T00:00:00Z	blank	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1D	2019	blank	NA				NA	vegetative > flowering > dead_nf	vegetative	dead_nf	FALSE	flowering	0	0	Reduction	Reduction	2019-06-06T17:00:00Z	157	2019-06-06T15:00:00Z	157	Normal	157	normal	2019-06-06T18:00:00Z	157.75	-0.75	175	227	219	18.420841963803518	13.10256662264089	31.523408586444408
1D20	1	chewed	D	n	20	2019-06-25T00:00:00Z	indist	41	17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1D	2019	chewed	NA				NA	vegetative > vegetative > flowering	vegetative	flowering	FALSE	vegetative	1	1	Reduction	Reduction	2019-06-06T17:00:00Z	157	2019-06-06T15:00:00Z	157	Normal	157	normal	2019-06-06T18:00:00Z	157.75	-0.75	175	227	219	18.420841963803518	13.10256662264089	31.523408586444408
1D21	1	NA	D	n	21	2019-06-25T00:00:00Z	one_or_more	29	13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1D	2019	blank	1				NA	vegetative > vegetative > vegetative	vegetative	vegetative	FALSE	vegetative	0	1	Reduction	Reduction	2019-06-06T17:00:00Z	157	2019-06-06T15:00:00Z	157	Normal	157	normal	2019-06-06T18:00:00Z	157.75	-0.75	175	227	219	18.420841963803518	13.10256662264089	31.523408586444408
1D22	1	nf	D	blank	22	2019-06-25T00:00:00Z	blank	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1D	2019	nf	NA		seeds20		NA	vegetative > dead_nf > dead_nf	vegetative	dead_nf	FALSE	dead_nf	0	0	Reduction	Reduction	2019-06-06T17:00:00Z	157	2019-06-06T15:00:00Z	157	Normal	157	normal	2019-06-06T18:00:00Z	157.75	-0.75	175	227	219	18.420841963803518	13.10256662264089	31.523408586444408
1D23	1	nf	D	blank	23	2019-06-25T00:00:00Z	blank	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1D	2019	nf	NA				NA	vegetative > dead_nf > dead_nf	vegetative	dead_nf	FALSE	dead_nf	0	0	Reduction	Reduction	2019-06-06T17:00:00Z	157	2019-06-06T15:00:00Z	157	Normal	157	normal	2019-06-06T18:00:00Z	157.75	-0.75	175	227	219	18.420841963803518	13.10256662264089	31.523408586444408
1D24	1	chewed, ts, down left of tag	D	n	24	2019-06-25T00:00:00Z	zero	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1D	2019	chewed	0				NA	vegetative > vegetative > flowering	vegetative	flowering	FALSE	vegetative	1	1	Reduction	Reduction	2019-06-06T17:00:00Z	157	2019-06-06T15:00:00Z	157	Normal	157	normal	2019-06-06T18:00:00Z	157.75	-0.75	175	227	219	18.420841963803518	13.10256662264089	31.523408586444408
