date_collected	plot	subplot	plant	wet_weight_g	dry_weight_g	trichomes	trichomes_AP	leaf_area_cm2	notes	trichome_density	sla	water_content	location	plotid	plantid	year	round	sla_wet	discard	separate	modify	plantid_new	transition_fixed	status_18_fixed	status_19_fixed	status_20_fixed	modified	flowered	survived	water	water4	sun_time	sun_date	warm_time	warm_date	snow	sun_date_normal_mean	melt_offset	water_begin	water_end	last_day	precip_prewater_mm	precip_postwater_mm	precip_est_mm
2018-08-15T00:00:00Z	2	B	93	0.04383	0.01396	220	NA	1.495	NA	147.15719063545149	107.09169054441261	0.6814966917636323	NA	2B	2B93	2018	2	34.10905772302076				NA	vegetative > vegetative > vegetative	vegetative	vegetative	vegetative	FALSE	0	1	Control	Mock rainout	2018-04-24T21:00:00Z	114	2018-04-25T05:00:00Z	114	Early	119	-5	157	222	212	7.917959090348241	32.20676240123067	40.12472149157891
2018-08-15T00:00:00Z	2	B	196	0.04539	0.01349	327	NA	1.3	NA	251.53846153846152	96.36767976278725	0.702797973121833	NA	2B	2B196	2018	2	28.640669751046488		census20		NA	vegetative > dead_nf > dead_nf	vegetative	dead_nf	dead_nf	FALSE	0	0	Control	Mock rainout	2018-04-24T21:00:00Z	114	2018-04-25T05:00:00Z	114	Early	119	-5	157	222	212	7.917959090348241	32.20676240123067	40.12472149157891
2018-08-15T00:00:00Z	2	B	90	0.04367	0.01226	221	NA	1.447	NA	152.72978576364892	118.02610114192497	0.7192580719029081	NA	2B	2B90	2018	2	33.13487520036639				NA	vegetative > dead_nf > dead_nf	vegetative	dead_nf	dead_nf	FALSE	0	0	Control	Mock rainout	2018-04-24T21:00:00Z	114	2018-04-25T05:00:00Z	114	Early	119	-5	157	222	212	7.917959090348241	32.20676240123067	40.12472149157891
2018-08-15T00:00:00Z	2	C	268	0.03156	0.01045	233	NA	1.041	NA	223.82324687800192	99.61722488038278	0.6688846641318124	NA	2C	2C268	2018	2	32.98479087452471				NA	vegetative > flowering > dead_nf	vegetative	flowering	dead_nf	FALSE	1	1	Reduction	Reduction	2018-04-24T21:00:00Z	114	2018-04-25T05:00:00Z	114	Early	119	-5	157	222	212	7.917959090348241	16.103381200615335	24.021340290963575
2018-08-15T00:00:00Z	2	C	297	0.03728	0.01316	209	NA	1.366	NA	153.00146412884334	103.79939209726444	0.6469957081545065	NA	2C	2C297	2018	2	36.641630901287556		census20 pheno20 floral20 volatiles20 seeds20		NA	vegetative > dead_nf > dead_nf	vegetative	dead_nf	dead_nf	FALSE	0	0	Reduction	Reduction	2018-04-24T21:00:00Z	114	2018-04-25T05:00:00Z	114	Early	119	-5	157	222	212	7.917959090348241	16.103381200615335	24.021340290963575
2018-08-15T00:00:00Z	2	C	274	0.03028	0.00976	225	NA	1.1	NA	204.54545454545453	112.70491803278689	0.6776750330250991	NA	2C	2C274	2018	2	36.32760898282695				NA	vegetative > vegetative > flowering	vegetative	vegetative	flowering	FALSE	0	1	Reduction	Reduction	2018-04-24T21:00:00Z	114	2018-04-25T05:00:00Z	114	Early	119	-5	157	222	212	7.917959090348241	16.103381200615335	24.021340290963575
2018-08-15T00:00:00Z	2	C	282	0.01589	0.00735	86	NA	0.755	NA	113.90728476821192	102.72108843537416	0.5374449339207049	NA	2C	2C282	2018	2	47.514159848961604				NA	vegetative > flowering > dead_nf	vegetative	flowering	dead_nf	FALSE	1	1	Reduction	Reduction	2018-04-24T21:00:00Z	114	2018-04-25T05:00:00Z	114	Early	119	-5	157	222	212	7.917959090348241	16.103381200615335	24.021340290963575
2018-08-15T00:00:00Z	2	D	194	0.05156	0.01604	212	NA	1.524	NA	139.10761154855643	95.01246882793018	0.6889061287820016	NA	2D	2D194	2018	2	29.5577967416602				NA	vegetative > vegetative > flowering	vegetative	vegetative	flowering	FALSE	0	1	Addition	Addition	2018-04-24T21:00:00Z	114	2018-04-25T05:00:00Z	114	Early	119	-5	157	222	212	7.917959090348241	128.45676240123066	136.3747214915789
2018-08-15T00:00:00Z	2	D	211	0.04513	0.01213	89	NA	1.437	NA	61.93458594293667	118.46661170651278	0.7312209173498782	NA	2D	2D211	2018	2	31.84134721914469				NA	vegetative > flowering > vegetative	vegetative	flowering	vegetative	FALSE	1	1	Addition	Addition	2018-04-24T21:00:00Z	114	2018-04-25T05:00:00Z	114	Early	119	-5	157	222	212	7.917959090348241	128.45676240123066	136.3747214915789
2018-08-15T00:00:00Z	2	D	196	0.059	0.01808	183	NA	2.006	NA	91.22632103688935	110.95132743362831	0.6935593220338984	NA	2D	2D196	2018	2	34		census20 leaf20		NA	vegetative > dead_nf > dead_nf	vegetative	dead_nf	dead_nf	FALSE	0	0	Addition	Addition	2018-04-24T21:00:00Z	114	2018-04-25T05:00:00Z	114	Early	119	-5	157	222	212	7.917959090348241	128.45676240123066	136.3747214915789
