year,site,plant,type,seeds_est,corolla_length,corolla_width,style_length,anther_max,anther_min,flowers_est,nectar_24_h_ul,redness,snowfall,octmay,junjul,meltday
2002,agg,31,AA,46,27.2,3.2,20,26.5,25.2,14,,,400,417,23,115
2002,agg,133,TA,6,30.5,3.9,,27.8,26.4,15,,,400,417,23,115
2002,agg,38,AA,31,25.3,4.2,23.4,26.4,24.2,69,,,400,417,23,115
2002,agg,189,AH,108,27,3.1,22.5,25.9,23.3,114,,,400,417,23,115
2002,agg,120,AT,65,30.3,3.3,27.8,28.2,25.4,57,,,400,417,23,115
2002,agg,27,AA,54,28.4,4.2,24.6,29,26.4,36,,,400,417,23,115
2002,agg,251,HH,140,27.1,3.6,25,24.8,22.3,169,,,400,417,23,115
2002,agg,58,TT,0,21.6,2.1,16.3,19,18.5,14,,,400,417,23,115
2002,agg,252,HH,5,27.7,3.3,26,24.9,23.3,47,,,400,417,23,115
2002,agg,199,AH,186,24.6,3.4,22.8,24.1,22.1,186,,,400,417,23,115
2002,agg,8,AA,197,,,,,,93,,,400,417,23,115
2002,agg,117,AT,132,26.5,3.3,21,24.4,22.3,90,,,400,417,23,115
2002,agg,2,AA,28,29,3.5,23.5,28.5,27.1,43,,,400,417,23,115
2002,agg,253,HH,33,29.9,3,26,27.3,25.4,77,,,400,417,23,115
2002,agg,32,AA,20,26.6,3,26.3,24.6,22.8,15,,,400,417,23,115
2002,agg,283,II,168,28.9,3.4,21.2,27,24.3,152,,,400,417,23,115
2002,agg,269,HH,6,24.7,3.1,20.7,22.4,22,38,,,400,417,23,115
2002,agg,93,TT,12,32.6,2.6,24.8,27.9,26.8,35,,,400,417,23,115
2002,agg,117,AT,82,28.2,3.2,22.9,27.1,25.4,204,,,400,417,23,115
2002,agg,106,AT,99,29.8,3.4,28.5,27.7,26.4,43,,,400,417,23,115
2002,agg,147,TA,3,26.7,3.1,26,24.2,24.2,17,,,400,417,23,115
2003,agg,171,HA,7,,,,,,50,,,610,632,33,142
2003,agg,14,AA,85,31.6,2.7,26.6,,,43,,,610,632,33,142
2003,agg,302,II,87,23.1,2.8,26.8,,,72,,,610,632,33,142
2003,agg,300,II,51,25.3,2.5,22.8,,,61,,,610,632,33,142
2003,agg,120,AT,48,20.4,2.7,22.9,,,48,,,610,632,33,142
2003,agg,252,HH,0,18.2,2.2,19.9,,,39,,,610,632,33,142
2003,agg,60,TT,115,23.3,2.7,23.8,,,39,,,610,632,33,142
2003,agg,156,HA,191,26.1,2.9,25.5,,,74,,,610,632,33,142
2003,agg,188,AH,209,24.9,3.3,24,,,78,,,610,632,33,142
2004,agg,251,HH,14,35.4,3.2,25.4,31.7,31.1,30,,,580,603,41,129
2004,agg,124,AT,0,35.9,3.6,30.4,33.5,33,10,,,580,603,41,129
2004,agg,253,HH,44,31.2,3.3,27.3,29.8,27.7,58,,,580,603,41,129
2004,agg,106,AT,28,32.5,3.1,27.2,30.9,29.8,46,,,580,603,41,129
2004,agg,263,HH,1,21.1,1.8,14.7,,,1,,,580,603,41,129
2004,agg,270,HH,64,34.3,3.3,29.2,32.8,31.4,45,,,580,603,41,129
2004,agg,28,AA,67,26.3,4,27.2,28.4,25.9,22,,,580,603,41,129
2004,agg,179,AH,153,30.2,3.4,29.2,29,27.2,104,,,580,603,41,129
2004,agg,73,TT,14,25.6,3.3,24.5,26.2,24.4,39,,,580,603,41,129
2004,agg,118,AT,19,15.2,3.4,18.9,15.6,14.3,24,,,580,603,41,129
2004,agg,61,TT,0,29.6,3.1,24.3,25.5,25.2,70,,,580,603,41,129
2004,agg,123,AT,74,33.4,3.4,30.2,29.3,29,52,,,580,603,41,129
2004,agg,197,AH,22,30.5,3.5,28.8,30.3,29.1,15,,,580,603,41,129
2004,agg,113,AT,131,33.5,3.2,27.4,31.4,29,46,,,580,603,41,129
2004,agg,257,HH,23,29.5,3.5,25.9,28.2,25.7,69,,,580,603,41,129
2005,agg,65,TT,216,28.9,3,20.7,26.5,25.4,118,,,761,774,69,146
2005,agg,230,TH,0,29.8,3,24.7,28.1,26.8,2,,,761,774,69,146
2005,agg,211,HT,237,32.9,3.1,26.5,30,28.8,276,,,761,774,69,146
2005,agg,174,HA,28,27.9,3.3,23,27.6,26.1,51,,,761,774,69,146
2005,agg,76,TT,33,33.8,2.9,24.9,29.7,28.8,47,,,761,774,69,146
2005,agg,123,AT,25,33.8,3.2,28.9,31.8,30.3,45,,,761,774,69,146
2006,agg,70,TT,3,31.7,3.4,24.3,27.9,26.4,52,,,630,685,106,132
2006,agg,55,TT,0,28.3,3.2,21.9,25.5,24.1,22,,,630,685,106,132
2006,agg,262,HH,7,26.6,3.3,21.9,24.2,22.2,38,,,630,685,106,132
2006,agg,108,AT,52,30.8,3.4,23.9,29.1,27.3,38,,,630,685,106,132
2006,agg,55,TT,39,30.6,3.8,24.7,27.1,25,81,,,630,685,106,132
2006,agg,292,II,63,28.2,3.7,23.8,26.3,25.1,32,,,630,685,106,132
2006,agg,147,TA,19,28.7,3.1,23.7,28.6,26,68,,,630,685,106,132
2006,agg,313,II,0,25.7,4.1,18.8,22.5,21.4,14,,,630,685,106,132
2006,agg,236,TH,58,28.8,3.5,24.3,25.8,24.1,65,,,630,685,106,132
2006,agg,195,AH,137,29,3.7,25.1,28.3,26.4,68,,,630,685,106,132
2010,agg,117,F2,81,22.5,3.8,23.1,23.2,20.8,40,,,674,691,54,132
2010,agg,120,F2,152,23.3,3.5,23.2,24.7,21.7,53,2.23,0.66,674,691,54,132
2011,agg,67,AT,36,29.8,3.1,24.6,27.8,26,87,1.68,0.6,1009,1040,66,157
2011,agg,87,TT,472,28.6,3.2,23.5,27.5,26.5,143,0.57,0.29,1009,1040,66,157
2011,agg,30,AA,202,26.4,3.3,23.5,24.7,21.8,136,2.54,0.73,1009,1040,66,157
2011,agg,41,F2,158,29,3.2,26.1,27,26.2,83,0.08,0.08,1009,1040,66,157
2011,agg,46,F2,32,21.9,3.4,18.1,19.8,19.3,144,0.86,0.36,1009,1040,66,157
2011,agg,63,AA,0,26.8,3.4,24.7,24.4,22.2,24,1.37,0.76,1009,1040,66,157
2011,agg,72,TA,26,35.5,3.6,25.7,32.2,31,33,1.02,0.5,1009,1040,66,157
2011,agg,79,AA,61,26.4,3.7,27,26.3,24.1,26,1.29,0.69,1009,1040,66,157
2011,agg,81,F2,78,28.9,3.6,27.4,28.1,26.5,33,,0.4,1009,1040,66,157
2011,agg,160,F2,487,31.8,3.5,27.6,29.5,28.5,177,1.52,0.31,1009,1040,66,157
2011,agg,163,F2,352,32.2,3.4,22.7,30.6,28.4,167,2.11,0.54,1009,1040,66,157
2011,agg,164,F2,144,31.8,3.7,29,29.9,29.4,62,0.16,0.56,1009,1040,66,157
2011,agg,101,F2,495,30.5,3.6,28.8,27.7,26.6,149,1.13,0.26,1009,1040,66,157
2011,agg,102,F2,245,28.4,3.7,26.7,26.9,25.5,47,2.58,0.37,1009,1040,66,157
2011,agg,116,F2,62,25.6,3.7,22.3,25.4,22.5,25,2.42,0.57,1009,1040,66,157
2011,agg,119,F2,181,25.9,3.3,21.7,24.5,22.5,67,2.34,0.36,1009,1040,66,157
2011,agg,124,F2,189,22.9,3.7,20.2,23.8,20,48,,0.38,1009,1040,66,157
2011,agg,128,F2,182,28.1,3.5,24.7,26.2,24.2,87,2.81,0.7,1009,1040,66,157
2011,agg,129,F2,567,27.6,3.6,26.2,25.1,24.5,169,1.09,0.34,1009,1040,66,157
2011,agg,130,F2,233,32.3,3.8,28.1,29.6,28.2,100,0.47,0.34,1009,1040,66,157
2011,agg,135,F2,1081,26.9,3.8,26.6,26.5,25.1,355,1.13,0.33,1009,1040,66,157
2011,agg,138,F2,160,22.1,3.3,19.6,23.1,21.2,55,1.45,0.45,1009,1040,66,157
2011,agg,58,TA,80,28.9,3.5,23.7,26.4,22.8,74,1.17,0.66,1009,1040,66,157
2011,agg,64,AA,128,28.2,3.3,22.7,25.7,24.6,97,2.54,0.43,1009,1040,66,157
2011,agg,86,TA,322,30.3,3.2,24.1,26,23.9,123,1.48,0.37,1009,1040,66,157
2011,agg,122,F2,179,25.4,3.2,23.8,25,21.9,44,2.54,0.81,1009,1040,66,157
2011,agg,154,F2,149,25.5,3.3,25.6,25.9,23.8,59,1.52,0.84,1009,1040,66,157
2012,agg,24,AA,3,30.7,3.4,23.1,23.2,21.1,30,3.32,0.67,422,455,57,113
2012,agg,43,TA,38,32,3.5,28.5,29.3,26.9,77,0.86,0.48,422,455,57,113
2012,agg,54,AT,26,35.2,3.3,26.9,29.8,28.4,230,0.39,0.45,422,455,57,113
2012,agg,70,TA,3,29.8,3,23.3,24.5,22.9,41,1.52,0.58,422,455,57,113
2012,agg,155,F2,71,21.8,3.6,20.1,18.5,17.8,137,2.03,0.75,422,455,57,113
2012,agg,107,F2,5,31.5,3.1,25.8,26.9,25.9,129,2.93,0.5,422,455,57,113
2012,agg,141,F2,7,30,3,18.9,27.1,25.6,47,1.25,0.34,422,455,57,113
2012,agg,142,F2,38,24,3.4,24.2,22.1,21.1,84,3.24,0.59,422,455,57,113
2012,agg,111,F2,0,,,,,,14,,,422,455,57,113
2012,agg,150,F2,0,24.9,3.1,,23.1,22,9,,0.52,422,455,57,113
2012,agg,112,F2,17,30.6,3.4,23.4,28.3,24.9,74,1.76,0.58,422,455,57,113
2012,agg,116,F2,7,25.5,3.7,21,24.1,20.6,25,0,0.37,422,455,57,113
2012,agg,140,F2,0,27,3.5,23.3,24.9,22.4,53,0.86,0.48,422,455,57,113
2012,agg,123,F2,15,19.7,3,20.8,10.8,9.5,36,0,0.35,422,455,57,113
2012,agg,120,F2,53,26.3,3.9,22.7,25.5,20.9,59,,0.58,422,455,57,113
2012,agg,137,F2,0,32.9,3.7,30.2,32.6,31.4,10,2.93,0.49,422,455,57,113
2012,agg,127,F2,13,26,3.4,24.5,22.8,20.5,8,1.88,0.38,422,455,57,113
2012,agg,128,F2,13,21,3,,16.9,15.8,23,,0.4,422,455,57,113
2012,agg,134,F2,5,25.6,3.6,22.1,22.1,21.2,62,1.6,0.54,422,455,57,113
2001,hyb,41,AA,71,28.9,3.5,17.8,26.8,25.4,28,,,563,601,80,137
2001,hyb,49,AA,176,23.6,3.4,24.6,23.7,21.4,63,,,563,601,80,137
2001,hyb,193,AH,82,,,,,,33,,,563,601,80,137
2001,hyb,107,AT,36,32.5,3.4,25.3,30.4,29.2,44,,,563,601,80,137
2001,hyb,123,AT,220,30.4,3.5,24.9,27.2,25.8,115,,,563,601,80,137
2001,hyb,165,HA,72,29.4,4.2,28.8,27.6,25.7,34,,,563,601,80,137
2001,hyb,146,TA,427,31.9,3.3,25.5,31,27.7,215,,,563,601,80,137
2001,hyb,242,TH,77,31.6,3.4,26.7,30,27.8,66,,,563,601,80,137
2001,hyb,62,TT,61,26.6,2.6,20.6,23.8,21.1,45,,,563,601,80,137
2002,hyb,29,AA,9,20.3,2.7,18.8,19.6,18.8,23,,,400,417,23,115
2002,hyb,35,AA,0,,,,,,15,,,400,417,23,115
2002,hyb,198,AH,37,24.2,3.4,20.3,22.1,21.3,156,,,400,417,23,115
2002,hyb,157,HA,3,25.6,2.2,25,24.7,23.6,66,,,400,417,23,115
2002,hyb,251,HH,47,20.9,3.1,21.6,19.9,17.8,64,,,400,417,23,115
2002,hyb,257,HH,8,30.2,2.7,27,26.8,24.4,126,,,400,417,23,115
2002,hyb,257,HH,74,24.6,2.6,19.4,22.3,20.6,150,,,400,417,23,115
2002,hyb,263,HH,50,29.5,2.8,27.8,27.2,25.2,83,,,400,417,23,115
2003,hyb,46,AA,41,25.4,3.3,18.1,,,33,,,610,632,33,142
2003,hyb,191,AH,0,,,,,,5,,,610,632,33,142
2003,hyb,198,AH,23,20.3,3.1,20.2,,,28,,,610,632,33,142
2004,hyb,204,HT,131,33.7,2.9,21.9,28.8,27.4,103,,,580,603,41,129
2004,hyb,27,AA,56,23.3,2.9,23,23.5,22.1,36,,,580,603,41,129
2004,hyb,69,TT,66,35.2,3.5,24.8,31.7,30.5,61,,,580,603,41,129
2005,hyb,27,AA,0,23.4,2.9,19.2,19.7,18.7,23,,,761,774,69,146
2005,hyb,30,AA,27,27.3,3.4,23,25.6,24.2,47,,,761,774,69,146
2005,hyb,210,HT,39,28.6,2.8,19.4,26.2,24.6,92,,,761,774,69,146
2006,hyb,25,AA,100,27.5,3.6,22.4,25.2,24.2,28,,,630,685,106,132
2006,hyb,154,HA,56,30.6,3.6,25.3,27.9,25.8,10,,,630,685,106,132
2006,hyb,256,HH,17,29.5,3.4,19.5,27,25.5,41,,,630,685,106,132
2006,hyb,150,TA,116,29.1,3.5,20.5,24,23.2,56,,,630,685,106,132
2006,hyb,150,TA,107,31.2,3.7,19.8,27.3,26.4,115,,,630,685,106,132
2006,hyb,82,TT,121,31.9,3,23.4,26.4,25.9,131,,,630,685,106,132
2010,hyb,56,F2,58,27.3,3.9,21.7,28.1,26.8,48,1.37,,674,691,54,132
2010,hyb,58,AA,56,23.7,3.8,23.5,24.4,22.1,50,1.56,0.76,674,691,54,132
2010,hyb,64,AA,84,27.1,3.1,24.5,24.7,23.2,126,1.91,0.53,674,691,54,132
2010,hyb,75,F2,175,27.8,2.6,22,23.2,22.6,103,1.02,,674,691,54,132
2011,hyb,51,TA,78,28.3,3.1,22.7,26.7,23.8,95,0.26,0.53,1009,1040,66,157
2011,hyb,54,F2,161,26.7,3.3,21.6,24.7,23.6,182,0.7,0.68,1009,1040,66,157
2011,hyb,59,TA,376,31.8,3.1,25.3,28.2,26.6,140,1.09,0.48,1009,1040,66,157
2011,hyb,66,TT,268,30.5,3,21.5,27.7,26.4,162,0.16,0.25,1009,1040,66,157
2011,hyb,70,TA,59,25.8,3.1,20.7,24.7,23.5,34,1.02,0.57,1009,1040,66,157
2011,hyb,102,F2,128,27,3.4,23.1,24.8,22.6,59,0.18,0.7,1009,1040,66,157
2011,hyb,105,AA,287,26.8,3.6,29.1,27.2,25,95,1.8,0.74,1009,1040,66,157
2012,hyb,1,AA,46,23.9,3.5,21.3,20.5,16,37,1.8,0.83,422,455,57,113
2012,hyb,209,F2,23,27.6,3.4,,21.3,20.3,39,,0.57,422,455,57,113
2012,hyb,18,AA,9,25.4,3.9,25.1,24,23.3,21,,0.94,422,455,57,113
2012,hyb,13,TA,113,27.9,3.4,20.8,24.6,23.9,131,1.02,0.81,422,455,57,113
2012,hyb,42,TA,2,27.9,2.3,21.5,20.1,19.2,70,,0.34,422,455,57,113
2012,hyb,49,AA,35,27.6,3.4,23.6,24.6,22.6,68,2.97,0.76,422,455,57,113
2012,hyb,44,TT,39,33.3,3,24.7,27,24.9,121,1.25,0.33,422,455,57,113
2012,hyb,55,TA,48,26,3.1,19.7,20.3,19,71,,0.64,422,455,57,113
2012,hyb,78,TA,38,29.5,2.8,20.6,26.3,24.6,27,,0.39,422,455,57,113
2012,hyb,79,AT,143,18.8,2.8,14,15.4,14.2,152,2.46,0.7,422,455,57,113
2012,hyb,85,F2,3,30.5,2.9,24.1,24.5,22.4,79,0.55,0.01,422,455,57,113
2012,hyb,95,AA,9,19.9,2.5,20.1,18.6,15.4,38,,0.55,422,455,57,113
2012,hyb,96,TA,24,32.7,3.3,22.2,30.4,28.3,47,1.68,0.73,422,455,57,113
2012,hyb,97,TA,24,22,2.5,19.5,21.1,18.3,69,,0.81,422,455,57,113
2013,agg,19,TA,5,30.4,2.9,18.9,27.2,26.1,24,1.3,0.37,523,531,11,135
2013,agg,72,TA,68,35.2,3.5,28.2,32.2,31.3,98,2.1,0.56,523,531,11,135
2013,agg,73,AA,56,26.7,3.2,22.3,25.8,23.7,37,1.48,0.48,523,531,11,135
2013,agg,115,F2,97,28.4,3.4,24.8,28.3,26.2,58,4.65,0.49,523,531,11,135
2013,agg,116,F2,23,25.5,3.7,21,24.1,20.6,29,0,0.34,523,531,11,135
2013,agg,126,F2,8,32.8,3.3,25.3,30.8,29.8,36,1,0.5,523,531,11,135
2013,agg,143,F2,47,29,2.8,23.1,25.3,24.5,36,1,0.66,523,531,11,135
2013,hyb,18,AA,57,27.4,3.7,23.4,27.2,25,64,3.2,0.49,523,531,11,135
2013,hyb,80,F2,62,32.6,3.2,23.5,30.5,29.2,125,1.9,0.57,523,531,11,135
2013,hyb,122,TA,49,33.4,3.6,25,29,26.8,144,0.8,0.68,523,531,11,135
2013,hyb,128,AA,57,30.7,2.5,21.7,28.7,27.3,105,1.9,0.57,523,531,11,135
2013,hyb,129,AA,130,26.9,3.1,23.8,25.6,23.9,192,2,0.74,523,531,11,135
2013,agg,V1,agg,54,27.2,3,20.6,25.8,24.6,37,0.7,0.57,523,531,11,135
2013,agg,V2,agg,56,34.9,3.6,29.8,32.1,30.7,30,2.2,0.59,523,531,11,135
2013,agg,V3,agg,93,27.3,3.4,23.1,26.5,24.6,77,2.3,0.53,523,531,11,135
2013,agg,V32,agg,92,26.5,3.8,21.7,24.1,21.2,38,2.4,0.48,523,531,11,135
2013,agg,V4,agg,81,25.3,3.7,24,25.5,22.5,45,0.9,0.62,523,531,11,135
2013,agg,V5,agg,0,26.5,3.8,24.8,25.9,23.9,20,3.28,0.65,523,531,11,135
2013,agg,V6,agg,66,25.8,3.5,22.8,25.7,24.1,33,2.5,0.61,523,531,11,135
2013,agg,V7,agg,127,22.5,3.4,23,23.5,21.4,35,2.73,0.65,523,531,11,135
2013,hyb,V8,hyb,6,23.5,2.4,20,21.6,20.8,29,,0.47,523,531,11,135
2013,hyb,V11,hyb,5,28.2,2.4,24.6,24.7,23,28,,,523,531,11,135
2013,hyb,V12,hyb,31,37,2.8,32.2,31.5,30.1,111,0.2,0.27,523,531,11,135
