response,set,year,term,estimate,std.error,statistic,p.value,n_obs,round
RGR,lt1,2018,water_content,-0.26111139999048955,1.1236939208159855,-0.23236879291905396,0.8228991016582391,11,1
RGR,lt1,2019,sla,1.07371232255363,0.9438418686744181,1.1375976826092795,0.27749328064383344,16,1
RGR,lt1,2019,trichome_density,-0.42915344111998466,0.9465671911289352,-0.45337874071902856,0.6583653748275057,16,1
RGR,lt1,2019,water_content,0.643292058699336,0.9913353212551173,0.6489146960736474,0.5286174378059478,16,1
RGR,lt1,2020,sla,0.8351444860654242,1.5659773430915858,0.5333055996944784,0.6067388181845639,13,1
RGR,lt1,2020,trichome_density,0.969947107927769,1.57782797411357,0.6147356516940252,0.5539511867367768,13,1
RGR,lt1,2020,water_content,0.49359297917089995,1.4939797984460987,0.3303879876316201,0.7486679314841198,13,1
RGR,lt2,2018,sla,-0.3412614619060631,0.8368979563813347,-0.40776950081422647,0.6956259002587161,11,2
RGR,lt2,2018,trichome_density,-0.5751161822737094,0.8229914604697888,-0.698811846656848,0.5072158027426317,11,2
RGR,lt2,2018,water_content,0.38711271240987716,0.8275224792979412,0.467797216503772,0.6541441900777467,11,2
RGR,lt2,2020,sla,0.05063622809290816,2.1107701660417506,0.023989456032470085,0.9813844911221435,13,2
RGR,lt2,2020,trichome_density,1.5998848780944697,2.0956172230216095,0.763443276051932,0.4647403335960536,13,2
RGR,lt2,2020,water_content,-0.4665472029354835,2.080667921257663,-0.2242295361834955,0.8275863450201622,13,2
RGR,pt,2018,photosynthesis,-0.7180640879936145,2.6808302289707973,-0.2678513843337584,0.7955902666814088,12,1
RGR,pt,2018,conductance,1.2576934964893347,3.268178071947363,0.3848301618828042,0.710392122421776,12,1
RGR,pt,2018,WUE,-0.07257699943020487,1.889219885826912,-0.03841638550106512,0.9702970617265573,12,1
flowered,lt1,2018,sla,0.04643747982697696,0.4568602535468188,0.10164482348039951,0.92005075479004,24,1
flowered,lt1,2018,trichome_density,0.7463315001468994,0.42287316099286654,1.7649062863071825,0.09284599970084788,24,1
flowered,lt1,2018,water_content,-0.18432378892818005,0.46543221600422197,-0.39602713905499837,0.6962782163972776,24,1
flowered,lt1,2019,sla,-0.7086591929991798,0.2943780717192844,-2.407309718622484,0.021322694877871615,40,1
flowered,lt1,2019,trichome_density,-0.06715034722624917,0.2809962071572461,-0.2389724327797481,0.812482205644815,40,1
flowered,lt1,2019,water_content,0.4089938636229012,0.29742416349985007,1.3751198248662382,0.1775923267584029,40,1
flowered,lt1,2020,sla,1.0209598150870454,0.6591000215480072,1.5490210616123934,0.140928060749931,20,1
flowered,lt1,2020,trichome_density,1.448954601691865,0.6579799275577005,2.2021258415437015,0.04267010114700618,20,1
flowered,lt1,2020,water_content,0.7168925270089876,0.6652822968369366,1.0775764369763485,0.2972019375032249,20,1
flowered,lt2,2018,sla,0.2902251777652479,0.3703146601128947,0.7837258662046201,0.4423842125313572,24,2
flowered,lt2,2018,trichome_density,0.4337889889675415,0.35831877974428505,1.2106230917539849,0.240152904289237,24,2
flowered,lt2,2018,water_content,-0.6228056096202051,0.3707611957326021,-1.6798025704647388,0.1085502302368377,24,2
flowered,lt2,2020,sla,-0.9487886453241837,0.7207802904308592,-1.3163354463494394,0.20457817413848675,22,2
flowered,lt2,2020,trichome_density,0.01691346372441627,0.7259383374475954,0.023298760861541125,0.981668304426256,22,2
flowered,lt2,2020,water_content,0.45218610032643075,0.7269880525249557,0.6219993557747062,0.5417414891242858,22,2
