year	plotid	plant	plantid	plantid_uncorrected	date	VWC.plant	photosynthesis	conductance	WUE	notes	duplicate	plot	subplot	n_leaves	round	date.sm	date_diff	VWC.sm	discard	separate	modify	plantid_new	transition_fixed	status_18_fixed	status_19_fixed	status_20_fixed	modified	flowered	survived	water	water4	sun_time	sun_date	warm_time	warm_date	snow	sun_date_normal_mean	melt_offset	water_begin	water_end	last_day	precip_prewater_mm	precip_postwater_mm	precip_est_mm	VWC.sm.year	census	RGR	size
2018	2A	160	2A160	2A160	2018-07-13T00:00:00Z	NA	7.7299874605	0.086450314565	89.485	NA	NA	2	A	NA	2018-07-13	2018-07-16T00:00:00Z	2.97	4.96				NA	no_record > vegetative > dead_nf	no_record	vegetative	dead_nf	FALSE	0	1	Control	Control	2018-04-24T21:00:00Z	114	2018-04-25T05:00:00Z	114	Early	119	-5	157	222	212	4.276832370277091	36.83907882579586	41.11591119607295	3.76	19	-1.0153160216022534	1100
2018	2A	161	2A161	2A161	2018-07-10T00:00:00Z	NA	7.9133343125	0.1133732484	70.543	NA	NA	2	A	NA	2018-07-10	2018-07-16T00:00:00Z	5.94	4.96				NA	no_record > dead_nf > dead_nf	no_record	dead_nf	dead_nf	FALSE	0	0	Control	Control	2018-04-24T21:00:00Z	114	2018-04-25T05:00:00Z	114	Early	119	-5	157	222	212	4.276832370277091	36.83907882579586	41.11591119607295	3.76	19	NA	820
2018	2A	164	2A164	2A164	2018-07-06T00:00:00Z	NA	7.0579985815	0.07457474508	95.638	NA	NA	2	A	NA	2018-07-06	2018-07-02T00:00:00Z	4.04	1.24				NA	no_record > vegetative > dead_nf	no_record	vegetative	dead_nf	FALSE	0	1	Control	Control	2018-04-24T21:00:00Z	114	2018-04-25T05:00:00Z	114	Early	119	-5	157	222	212	4.276832370277091	36.83907882579586	41.11591119607295	3.76	19	NA	1364
2018	2A	167	2A167	2A167	2018-07-27T00:00:00Z	NA	11.74720639	0.084684736245	138.549	NA	NA	2	A	NA	2018-07-27	2018-07-30T00:00:00Z	2.97	3.2				NA	no_record > vegetative > dead_nf	no_record	vegetative	dead_nf	FALSE	0	1	Control	Control	2018-04-24T21:00:00Z	114	2018-04-25T05:00:00Z	114	Early	119	-5	157	222	212	4.276832370277091	36.83907882579586	41.11591119607295	3.76	19	0.5296823541385841	906
2018	2A	158	2A158	2A168	2018-07-17T00:00:00Z	NA	34.252239005	0.24399387545	140.445	DRC updated plant number	NA	2	A	NA	2018-07-17	2018-07-16T00:00:00Z	1.01	4.96				NA	no_record > flowering > dead_nf	no_record	flowering	dead_nf	FALSE	1	1	Control	Control	2018-04-24T21:00:00Z	114	2018-04-25T05:00:00Z	114	Early	119	-5	157	222	212	4.276832370277091	36.83907882579586	41.11591119607295	3.76	19	NA	960
2018	2A	173	2A173	2A173	2018-07-03T00:00:00Z	NA	13.16435905	0.09644544122	69.592	NA	NA	2	A	NA	2018-07-03	2018-07-02T00:00:00Z	1.01	1.24				NA	no_record > dead_nf > dead_nf	no_record	dead_nf	dead_nf	FALSE	0	0	Control	Control	2018-04-24T21:00:00Z	114	2018-04-25T05:00:00Z	114	Early	119	-5	157	222	212	4.276832370277091	36.83907882579586	41.11591119607295	3.76	19	NA	989
2018	2B	130	2B130	2B130	2018-07-27T00:00:00Z	NA	19.760319215	0.1135804021	173.801	NA	NA	2	B	NA	2018-07-27	2018-07-30T00:00:00Z	2.97	2.82				NA	vegetative > flowering > dead_nf	vegetative	flowering	dead_nf	FALSE	1	1	Control	Mock rainout	2018-04-24T21:00:00Z	114	2018-04-25T05:00:00Z	114	Early	119	-5	157	222	212	4.276832370277091	36.83907882579586	41.11591119607295	3.63	19	NA	840
2018	2B	183	2B183	2B183	2018-07-17T00:00:00Z	NA	43.008247635	0.52599311125	81.868	NA	NA	2	B	NA	2018-07-17	2018-07-16T00:00:00Z	1.01	5.68				NA	vegetative > vegetative > flowering	vegetative	vegetative	flowering	FALSE	0	1	Control	Mock rainout	2018-04-24T21:00:00Z	114	2018-04-25T05:00:00Z	114	Early	119	-5	157	222	212	4.276832370277091	36.83907882579586	41.11591119607295	3.63	19	-0.7721347594127757	945
2018	2B	184	2B184	2B184	2018-07-06T00:00:00Z	NA	9.2784890345	0.092543307895	101.241	NA	NA	2	B	NA	2018-07-06	2018-07-02T00:00:00Z	4.04	1.6				NA	vegetative > vegetative > flowering	vegetative	vegetative	flowering	FALSE	0	1	Control	Mock rainout	2018-04-24T21:00:00Z	114	2018-04-25T05:00:00Z	114	Early	119	-5	157	222	212	4.276832370277091	36.83907882579586	41.11591119607295	3.63	19	0.27316111697693873	1521
2018	2B	190	2B190	2B190	2018-07-10T00:00:00Z	NA	10.6479568	0.096324602325	111.97	NA	NA	2	B	NA	2018-07-10	2018-07-16T00:00:00Z	5.94	5.68				NA	vegetative > vegetative > flowering	vegetative	vegetative	flowering	FALSE	0	1	Control	Mock rainout	2018-04-24T21:00:00Z	114	2018-04-25T05:00:00Z	114	Early	119	-5	157	222	212	4.276832370277091	36.83907882579586	41.11591119607295	3.63	19	0.8150322678191871	950
