plantid	notes	observer	date	plot	subplot	plant	inflor	height_cm	open_1	buds_1	eggs_1	open_2	buds_2	eggs_2	open_3	buds_3	eggs_3	open_4	buds_4	eggs_4	open_5	buds_5	eggs_5	open_6	buds_6	eggs_6	open_7	buds_7	eggs_7	damage	plotid	julian	year	discard	separate	modify	plantid_new	transition_fixed	status_18_fixed	status_19_fixed	status_20_fixed	status_21_fixed	modified	flowered	survived
5B20	NA	JP	2020-06-26T00:00:00Z	5	B	20	6	34	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5B	178	2020		pheno18 pheno19		NA	vegetative > vegetative > flowering	vegetative	vegetative	flowering	dead_nf	FALSE	0	0
5B12	NA	JP	2020-06-26T00:00:00Z	5	B	12	1	39	2	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5B	178	2020				NA	vegetative > vegetative > flowering	vegetative	vegetative	flowering	dead_nf	FALSE	0	0
5B89	NA	JP	2020-06-26T00:00:00Z	5	B	89	1	33	4	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5B	178	2020				NA	NA	NA	NA	NA	NA	FALSE	NA	NA
6D71	NA	JP	2020-06-26T00:00:00Z	6	D	71	3	34	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6D	178	2020				NA	vegetative > vegetative > flowering	vegetative	vegetative	flowering	dead_nf	FALSE	0	0
6D68	NA	JP	2020-06-26T00:00:00Z	6	D	68	2	31	0	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6D	178	2020				NA	vegetative > vegetative > flowering	vegetative	vegetative	flowering	dead_nf	FALSE	0	0
6D52	NA	JP	2020-06-26T00:00:00Z	6	D	52	1	35	2	2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6D	178	2020				NA	vegetative > vegetative > flowering	vegetative	vegetative	flowering	dead_nf	FALSE	0	0
4D47	NA	JP	2020-06-26T00:00:00Z	4	D	47	2	32	0	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	chewed	4D	178	2020				NA	vegetative > vegetative > flowering	vegetative	vegetative	flowering	dead_nf	FALSE	0	0
4C213	NA	JP	2020-06-26T00:00:00Z	4	C	213	1	35	2	0	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4C	178	2020				NA	vegetative > vegetative > flowering	vegetative	vegetative	flowering	vegetative	FALSE	0	1
4C195	NA	JP	2020-06-26T00:00:00Z	4	C	195	1	56	3	4	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4C	178	2020				NA	vegetative > vegetative > flowering	vegetative	vegetative	flowering	dead_nf	FALSE	0	0
4C641	outside plot	JP	2020-06-26T00:00:00Z	4	C	641	3	23	3	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4C	178	2020				NA	vegetative > flowering > flowering	vegetative	flowering	flowering	dead_nf	FALSE	0	0
