year	plotid	plant	plantid_uncorrected	photosynthesis	conductance	WUE	notes	plantid	plot	subplot	discard	separate	modify	plantid_new	transition_fixed	status_18_fixed	status_19_fixed	status_20_fixed	modified	flowered	survived	water	water4	sun_time	sun_date	warm_time	warm_date	snow	sun_date_normal_mean	melt_offset	water_begin	water_end	last_day	precip_prewater_mm	precip_postwater_mm	precip_est_mm	date	n_leaves	VWC
2018	2A	173	2A173	13.16435905	0.09644544122	69.592	NA	2A173	2	A				NA	no_record > dead_nf > dead_nf	no_record	dead_nf	dead_nf	FALSE	0	0	Control	Control	2018-04-24T21:00:00Z	114	2018-04-25T05:00:00Z	114	Early	119	-5	157	222	212	7.917959090348241	32.20676240123067	40.12472149157891	NA	NA	NA
2018	2B	130	2B130	19.760319215	0.1135804021	173.801	NA	2B130	2	B				NA	vegetative > flowering > dead_nf	vegetative	flowering	dead_nf	FALSE	1	1	Control	Mock rainout	2018-04-24T21:00:00Z	114	2018-04-25T05:00:00Z	114	Early	119	-5	157	222	212	7.917959090348241	32.20676240123067	40.12472149157891	NA	NA	NA
2018	2B	183	2B183	43.008247635	0.52599311125	81.868	NA	2B183	2	B				NA	vegetative > vegetative > flowering	vegetative	vegetative	flowering	FALSE	0	1	Control	Mock rainout	2018-04-24T21:00:00Z	114	2018-04-25T05:00:00Z	114	Early	119	-5	157	222	212	7.917959090348241	32.20676240123067	40.12472149157891	NA	NA	NA
2018	2B	184	2B184	9.2784890345	0.092543307895	101.241	NA	2B184	2	B				NA	vegetative > vegetative > flowering	vegetative	vegetative	flowering	FALSE	0	1	Control	Mock rainout	2018-04-24T21:00:00Z	114	2018-04-25T05:00:00Z	114	Early	119	-5	157	222	212	7.917959090348241	32.20676240123067	40.12472149157891	NA	NA	NA
2018	2B	190	2B190	10.6479568	0.096324602325	111.97	NA	2B190	2	B				NA	vegetative > vegetative > flowering	vegetative	vegetative	flowering	FALSE	0	1	Control	Mock rainout	2018-04-24T21:00:00Z	114	2018-04-25T05:00:00Z	114	Early	119	-5	157	222	212	7.917959090348241	32.20676240123067	40.12472149157891	NA	NA	NA
2018	2B	92	2B192	9.3708901375	0.044714245395	209.593	DRC updated plant number	2B92	2	B				NA	vegetative > flowering > flowering	vegetative	flowering	flowering	FALSE	1	1	Control	Mock rainout	2018-04-24T21:00:00Z	114	2018-04-25T05:00:00Z	114	Early	119	-5	157	222	212	7.917959090348241	32.20676240123067	40.12472149157891	NA	NA	NA
2018	2C	268	2C258	17.174618275	0.10310852459	166.823	DRC updated plant number	2C268	2	C				NA	vegetative > flowering > dead_nf	vegetative	flowering	dead_nf	FALSE	1	1	Reduction	Reduction	2018-04-24T21:00:00Z	114	2018-04-25T05:00:00Z	114	Early	119	-5	157	222	212	7.917959090348241	16.103381200615335	24.021340290963575	NA	NA	NA
2018	2C	267	2C267	13.71430571	0.09644544122	142.086	NA	2C267	2	C				NA	vegetative > vegetative > vegetative	vegetative	vegetative	vegetative	FALSE	0	1	Reduction	Reduction	2018-04-24T21:00:00Z	114	2018-04-25T05:00:00Z	114	Early	119	-5	157	222	212	7.917959090348241	16.103381200615335	24.021340290963575	NA	NA	NA
2018	2C	270	2C270	18.16618922	0.2259183857	80.99	NA	2C270	2	C				NA	vegetative > vegetative > flowering	vegetative	vegetative	flowering	FALSE	0	1	Reduction	Reduction	2018-04-24T21:00:00Z	114	2018-04-25T05:00:00Z	114	Early	119	-5	157	222	212	7.917959090348241	16.103381200615335	24.021340290963575	NA	NA	NA
2018	2C	272	2C272	6.300992523	0.033869293665	186.369	NA	2C272	2	C		pheno19		NA	vegetative > vegetative > tagnf	vegetative	vegetative	tagnf	FALSE	0	1	Reduction	Reduction	2018-04-24T21:00:00Z	114	2018-04-25T05:00:00Z	114	Early	119	-5	157	222	212	7.917959090348241	16.103381200615335	24.021340290963575	NA	NA	NA
